epoc (ms),timestamp (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1519456621731,2018-02-24T02.17.01.731,0.0,-1.00634765625,-0.0380859375,0.0283203125
1519456621731,2018-02-24T02.17.01.731,0.0,-1.01318359375,-0.03759765625,0.02587890625
1519456621731,2018-02-24T02.17.01.731,0.0,-1.0048828125,-0.03173828125,0.0224609375
1519456621762,2018-02-24T02.17.01.762,0.0315569639205933,-1.00341796875,-0.029296875,0.01708984375
1519456621762,2018-02-24T02.17.01.762,0.0315569639205933,-1.001953125,-0.03369140625,0.01025390625
1519456621762,2018-02-24T02.17.01.762,0.0315569639205933,-1.0,-0.037109375,0.00439453125
1519456621791,2018-02-24T02.17.01.791,0.0598649978637695,-0.99853515625,-0.0380859375,0.0029296875
1519456621791,2018-02-24T02.17.01.791,0.0598649978637695,-0.99755859375,-0.03857421875,-0.0048828125
1519456621791,2018-02-24T02.17.01.791,0.0598649978637695,-1.00146484375,-0.04345703125,-0.0087890625
1519456621821,2018-02-24T02.17.01.821,0.0898048877716064,-0.99658203125,-0.04541015625,-0.01171875
1519456621821,2018-02-24T02.17.01.821,0.0898048877716064,-0.99462890625,-0.04150390625,-0.017578125
1519456621821,2018-02-24T02.17.01.821,0.0898048877716064,-0.99560546875,-0.0390625,-0.02197265625
1519456621851,2018-02-24T02.17.01.851,0.119846940040588,-0.9912109375,-0.04541015625,-0.0205078125
1519456621851,2018-02-24T02.17.01.851,0.119846940040588,-0.99169921875,-0.0517578125,-0.02294921875
1519456621851,2018-02-24T02.17.01.851,0.119846940040588,-0.98876953125,-0.0498046875,-0.0283203125
1519456621881,2018-02-24T02.17.01.881,0.149906992912292,-0.9921875,-0.046875,-0.02685546875
1519456621881,2018-02-24T02.17.01.881,0.149906992912292,-1.0,-0.04541015625,-0.02197265625
1519456621881,2018-02-24T02.17.01.881,0.149906992912292,-0.99658203125,-0.04638671875,-0.0166015625
1519456621916,2018-02-24T02.17.01.916,0.185426950454712,-0.99609375,-0.046875,-0.01513671875
1519456621916,2018-02-24T02.17.01.916,0.185426950454712,-0.9990234375,-0.05029296875,-0.01953125
1519456621916,2018-02-24T02.17.01.916,0.185426950454712,-0.998046875,-0.0498046875,-0.01416015625
1519456621942,2018-02-24T02.17.01.942,0.210873961448669,-0.998046875,-0.0478515625,-0.01171875
1519456621942,2018-02-24T02.17.01.942,0.210873961448669,-1.00146484375,-0.0458984375,-0.015625
1519456621942,2018-02-24T02.17.01.942,0.210873961448669,-1.0,-0.04736328125,-0.00732421875
1519456621971,2018-02-24T02.17.01.971,0.240189909934998,-1.00146484375,-0.04296875,-0.005859375
1519456621971,2018-02-24T02.17.01.971,0.240189909934998,-1.00341796875,-0.04150390625,-0.00390625
1519456621971,2018-02-24T02.17.01.971,0.240189909934998,-1.0009765625,-0.0390625,-0.00537109375
1519456622001,2018-02-24T02.17.02.001,0.269922971725464,-1.0029296875,-0.04248046875,-0.0048828125
1519456622001,2018-02-24T02.17.02.001,0.269922971725464,-1.005859375,-0.04443359375,-0.00634765625
1519456622001,2018-02-24T02.17.02.001,0.269922971725464,-1.00634765625,-0.04638671875,-0.0078125
1519456622034,2018-02-24T02.17.02.034,0.302982926368713,-1.00732421875,-0.04443359375,-0.005859375
1519456622034,2018-02-24T02.17.02.034,0.302982926368713,-1.00634765625,-0.04150390625,-0.00390625
1519456622034,2018-02-24T02.17.02.034,0.302982926368713,-1.0048828125,-0.04443359375,-0.00341796875
1519456622066,2018-02-24T02.17.02.066,0.335745930671692,-1.0048828125,-0.044921875,-0.00634765625
1519456622066,2018-02-24T02.17.02.066,0.335745930671692,-1.00439453125,-0.04296875,-0.00634765625
1519456622066,2018-02-24T02.17.02.066,0.335745930671692,-1.0048828125,-0.04052734375,-0.01025390625
1519456622092,2018-02-24T02.17.02.092,0.360865950584412,-1.0048828125,-0.04443359375,-0.0087890625
1519456622092,2018-02-24T02.17.02.092,0.360865950584412,-1.0068359375,-0.04541015625,-0.009765625
1519456622092,2018-02-24T02.17.02.092,0.360865950584412,-1.0078125,-0.04052734375,-0.00927734375
1519456622121,2018-02-24T02.17.02.121,0.390205979347229,-1.00390625,-0.03955078125,-0.005859375
