epoc (ms),timestamp (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1520302727644,2018-03-05T21.18.47.644,0.0,-0.98193359375,-0.1484375,-0.11767578125
1520302727644,2018-03-05T21.18.47.644,0.0,-0.99169921875,-0.14990234375,-0.1181640625
1520302727644,2018-03-05T21.18.47.644,0.0,-0.9873046875,-0.1474609375,-0.1220703125
1520302727674,2018-03-05T21.18.47.674,0.0294880867004395,-0.9853515625,-0.14697265625,-0.1240234375
1520302727674,2018-03-05T21.18.47.674,0.0294880867004395,-0.9873046875,-0.146484375,-0.12939453125
1520302727674,2018-03-05T21.18.47.674,0.0294880867004395,-0.9873046875,-0.1474609375,-0.1279296875
1520302727704,2018-03-05T21.18.47.704,0.0595020055770874,-0.98876953125,-0.14794921875,-0.12744140625
1520302727704,2018-03-05T21.18.47.704,0.0595020055770874,-0.99267578125,-0.146484375,-0.125
1520302727704,2018-03-05T21.18.47.704,0.0595020055770874,-0.9892578125,-0.14599609375,-0.12255859375
1520302727734,2018-03-05T21.18.47.734,0.0893360376358032,-0.98681640625,-0.1455078125,-0.12060546875
1520302727734,2018-03-05T21.18.47.734,0.0893360376358032,-0.98876953125,-0.1455078125,-0.11962890625
1520302727734,2018-03-05T21.18.47.734,0.0893360376358032,-0.9873046875,-0.14501953125,-0.1220703125
1520302727764,2018-03-05T21.18.47.764,0.120045065879822,-0.9853515625,-0.14501953125,-0.1201171875
1520302727764,2018-03-05T21.18.47.764,0.120045065879822,-0.984375,-0.14501953125,-0.1201171875
1520302727764,2018-03-05T21.18.47.764,0.120045065879822,-0.98779296875,-0.14794921875,-0.1201171875
1520302727794,2018-03-05T21.18.47.794,0.149903059005737,-0.9892578125,-0.14794921875,-0.119140625
1520302727794,2018-03-05T21.18.47.794,0.149903059005737,-0.99169921875,-0.1474609375,-0.1171875
1520302727794,2018-03-05T21.18.47.794,0.149903059005737,-0.9892578125,-0.150390625,-0.12158203125
