epoc (ms),timestamp (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1519961077600,2018-03-01T22.24.37.600,0.0,-0.98388671875,-0.13330078125,-0.09765625
1519961077600,2018-03-01T22.24.37.600,0.0,-0.9912109375,-0.13671875,-0.0986328125
1519961077600,2018-03-01T22.24.37.600,0.0,-0.9892578125,-0.13671875,-0.099609375
1519961077630,2018-03-01T22.24.37.630,0.0301699638366699,-0.9892578125,-0.13427734375,-0.1005859375
1519961077630,2018-03-01T22.24.37.630,0.0301699638366699,-0.98876953125,-0.134765625,-0.09814453125
1519961077630,2018-03-01T22.24.37.630,0.0301699638366699,-0.9921875,-0.13671875,-0.09912109375
1519961077660,2018-03-01T22.24.37.660,0.0599449872970581,-0.99267578125,-0.13720703125,-0.1005859375
1519961077660,2018-03-01T22.24.37.660,0.0599449872970581,-0.9912109375,-0.1396484375,-0.10107421875
1519961077660,2018-03-01T22.24.37.660,0.0599449872970581,-0.98486328125,-0.13720703125,-0.099609375
1519961077719,2018-03-01T22.24.37.719,0.119792938232422,-0.98779296875,-0.1328125,-0.10205078125
1519961077719,2018-03-01T22.24.37.719,0.119792938232422,-0.99072265625,-0.12890625,-0.1015625
1519961077719,2018-03-01T22.24.37.719,0.119792938232422,-0.9873046875,-0.13232421875,-0.10205078125
1519961077721,2018-03-01T22.24.37.721,0.121281027793884,-0.9892578125,-0.1376953125,-0.10302734375
1519961077721,2018-03-01T22.24.37.721,0.121281027793884,-0.99072265625,-0.1416015625,-0.1025390625
1519961077721,2018-03-01T22.24.37.721,0.121281027793884,-0.9921875,-0.1376953125,-0.0986328125
1519961077752,2018-03-01T22.24.37.752,0.152011036872864,-0.99267578125,-0.1376953125,-0.10009765625
1519961077752,2018-03-01T22.24.37.752,0.152011036872864,-0.990234375,-0.1396484375,-0.10400390625
1519961077752,2018-03-01T22.24.37.752,0.152011036872864,-0.98974609375,-0.13525390625,-0.10302734375
1519961077780,2018-03-01T22.24.37.780,0.180214047431946,-0.9921875,-0.13427734375,-0.10400390625
1519961077780,2018-03-01T22.24.37.780,0.180214047431946,-0.99658203125,-0.13818359375,-0.10693359375
1519961077780,2018-03-01T22.24.37.780,0.180214047431946,-0.98681640625,-0.14404296875,-0.10986328125
1519961077810,2018-03-01T22.24.37.810,0.210602998733521,-0.98046875,-0.1455078125,-0.1064453125
1519961077810,2018-03-01T22.24.37.810,0.210602998733521,-0.98779296875,-0.140625,-0.107421875
1519961077810,2018-03-01T22.24.37.810,0.210602998733521,-0.98681640625,-0.13818359375,-0.10009765625
1519961077840,2018-03-01T22.24.37.840,0.240278959274292,-0.982421875,-0.14990234375,-0.1015625
1519961077840,2018-03-01T22.24.37.840,0.240278959274292,-1.00048828125,-0.158203125,-0.1123046875
1519961077840,2018-03-01T22.24.37.840,0.240278959274292,-1.001953125,-0.1357421875,-0.1025390625
1519961077871,2018-03-01T22.24.37.871,0.271199941635132,-0.982421875,-0.13134765625,-0.10400390625
1519961077871,2018-03-01T22.24.37.871,0.271199941635132,-0.98291015625,-0.146484375,-0.1044921875
1519961077871,2018-03-01T22.24.37.871,0.271199941635132,-0.990234375,-0.1416015625,-0.109375
1519961077903,2018-03-01T22.24.37.903,0.303763031959534,-0.98681640625,-0.138671875,-0.1044921875
1519961077903,2018-03-01T22.24.37.903,0.303763031959534,-0.9794921875,-0.1328125,-0.107421875
1519961077903,2018-03-01T22.24.37.903,0.303763031959534,-0.97998046875,-0.12451171875,-0.109375
1519961077935,2018-03-01T22.24.37.935,0.33554995059967,-0.98583984375,-0.11962890625,-0.10693359375
1519961077935,2018-03-01T22.24.37.935,0.33554995059967,-0.98583984375,-0.12109375,-0.1083984375
1519961077935,2018-03-01T22.24.37.935,0.33554995059967,-0.97216796875,-0.11865234375,-0.1103515625
1519961077960,2018-03-01T22.24.37.960,0.360190987586975,-0.96435546875,-0.1142578125,-0.11083984375
1519961077960,2018-03-01T22.24.37.960,0.360190987586975,-0.9697265625,-0.1103515625,-0.1103515625
1519961077960,2018-03-01T22.24.37.960,0.360190987586975,-0.97216796875,-0.10791015625,-0.10205078125
1519961077990,2018-03-01T22.24.37.990,0.390213012695312,-0.9755859375,-0.12158203125,-0.08544921875
1519961077990,2018-03-01T22.24.37.990,0.390213012695312,-0.9873046875,-0.13330078125,-0.0751953125
1519961077990,2018-03-01T22.24.37.990,0.390213012695312,-1.00048828125,-0.13232421875,-0.07080078125
1519961078051,2018-03-01T22.24.38.051,0.451138019561768,-1.00244140625,-0.12841796875,-0.06884765625
1519961078051,2018-03-01T22.24.38.051,0.451138019561768,-0.9912109375,-0.12255859375,-0.06298828125
1519961078051,2018-03-01T22.24.38.051,0.451138019561768,-0.98974609375,-0.11767578125,-0.05908203125
1519961078052,2018-03-01T22.24.38.052,0.452438950538635,-0.99560546875,-0.11328125,-0.05419921875
1519961078052,2018-03-01T22.24.38.052,0.452438950538635,-1.00390625,-0.11181640625,-0.05419921875
1519961078052,2018-03-01T22.24.38.052,0.452438950538635,-0.99755859375,-0.10791015625,-0.05810546875
1519961078080,2018-03-01T22.24.38.080,0.480103015899658,-0.990234375,-0.1142578125,-0.0576171875
1519961078080,2018-03-01T22.24.38.080,0.480103015899658,-0.99755859375,-0.12109375,-0.0556640625
1519961078080,2018-03-01T22.24.38.080,0.480103015899658,-1.00390625,-0.1220703125,-0.05810546875
1519961078110,2018-03-01T22.24.38.110,0.509878039360046,-1.00390625,-0.12060546875,-0.0546875
1519961078110,2018-03-01T22.24.38.110,0.509878039360046,-1.00048828125,-0.12060546875,-0.06005859375
1519961078110,2018-03-01T22.24.38.110,0.509878039360046,-0.99755859375,-0.11669921875,-0.064453125
1519961078140,2018-03-01T22.24.38.140,0.540279030799866,-1.00146484375,-0.1123046875,-0.06396484375
1519961078140,2018-03-01T22.24.38.140,0.540279030799866,-1.001953125,-0.11083984375,-0.06396484375
1519961078140,2018-03-01T22.24.38.140,0.540279030799866,-0.998046875,-0.1171875,-0.06640625
1519961078170,2018-03-01T22.24.38.170,0.570107936859131,-1.0009765625,-0.12255859375,-0.07080078125
1519961078170,2018-03-01T22.24.38.170,0.570107936859131,-1.00390625,-0.12646484375,-0.0810546875
1519961078170,2018-03-01T22.24.38.170,0.570107936859131,-0.99853515625,-0.1220703125,-0.08740234375
1519961078200,2018-03-01T22.24.38.200,0.600268006324768,-0.9931640625,-0.11962890625,-0.09423828125
1519961078200,2018-03-01T22.24.38.200,0.600268006324768,-0.98828125,-0.1181640625,-0.10009765625
1519961078200,2018-03-01T22.24.38.200,0.600268006324768,-0.9873046875,-0.11572265625,-0.1015625
1519961078230,2018-03-01T22.24.38.230,0.630023956298828,-0.986328125,-0.11474609375,-0.09521484375
1519961078230,2018-03-01T22.24.38.230,0.630023956298828,-0.990234375,-0.12158203125,-0.0927734375
1519961078230,2018-03-01T22.24.38.230,0.630023956298828,-1.00048828125,-0.12939453125,-0.09619140625
1519961078260,2018-03-01T22.24.38.260,0.660001993179321,-0.99462890625,-0.1298828125,-0.09912109375
1519961078260,2018-03-01T22.24.38.260,0.660001993179321,-0.9814453125,-0.12353515625,-0.09912109375
1519961078260,2018-03-01T22.24.38.260,0.660001993179321,-0.9892578125,-0.1142578125,-0.09619140625
1519961078290,2018-03-01T22.24.38.290,0.690062999725342,-1.0009765625,-0.09521484375,-0.0966796875
1519961078290,2018-03-01T22.24.38.290,0.690062999725342,-0.99560546875,-0.0869140625,-0.09765625
1519961078290,2018-03-01T22.24.38.290,0.690062999725342,-0.974609375,-0.1103515625,-0.1005859375
1519961078320,2018-03-01T22.24.38.320,0.719913959503174,-0.97265625,-0.13916015625,-0.10302734375
1519961078320,2018-03-01T22.24.38.320,0.719913959503174,-0.99072265625,-0.12841796875,-0.10986328125
1519961078320,2018-03-01T22.24.38.320,0.719913959503174,-0.9970703125,-0.08740234375,-0.115234375
1519961078350,2018-03-01T22.24.38.350,0.750025033950806,-0.98828125,-0.05419921875,-0.12353515625
1519961078350,2018-03-01T22.24.38.350,0.750025033950806,-0.9833984375,-0.05908203125,-0.126953125
1519961078350,2018-03-01T22.24.38.350,0.750025033950806,-0.9716796875,-0.09521484375,-0.12158203125
1519961078409,2018-03-01T22.24.38.409,0.809334993362427,-0.96728515625,-0.1201171875,-0.1220703125
1519961078409,2018-03-01T22.24.38.409,0.809334993362427,-0.98828125,-0.1005859375,-0.123046875
1519961078409,2018-03-01T22.24.38.409,0.809334993362427,-1.005859375,-0.04833984375,-0.13134765625
1519961078410,2018-03-01T22.24.38.410,0.810796022415161,-1.0,-0.0322265625,-0.12060546875
1519961078410,2018-03-01T22.24.38.410,0.810796022415161,-0.99267578125,-0.0439453125,-0.11767578125
1519961078410,2018-03-01T22.24.38.410,0.810796022415161,-0.99853515625,-0.0556640625,-0.11328125
1519961078440,2018-03-01T22.24.38.440,0.840137004852295,-0.99560546875,-0.060546875,-0.107421875
1519961078440,2018-03-01T22.24.38.440,0.840137004852295,-0.98388671875,-0.08251953125,-0.099609375
