epoc (ms),timestamp (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1519961263577,2018-03-01T22.27.43.577,0.0,-1.0078125,-0.005859375,-0.0625
1519961263577,2018-03-01T22.27.43.577,0.0,-1.0244140625,0.015625,-0.07568359375
1519961263577,2018-03-01T22.27.43.577,0.0,-1.03857421875,0.00732421875,-0.06689453125
1519961263607,2018-03-01T22.27.43.607,0.0297430753707886,-1.0380859375,-0.02587890625,-0.05322265625
1519961263607,2018-03-01T22.27.43.607,0.0297430753707886,-1.02294921875,-0.0498046875,-0.04150390625
1519961263607,2018-03-01T22.27.43.607,0.0297430753707886,-1.0078125,-0.06640625,-0.03662109375
1519961263637,2018-03-01T22.27.43.637,0.0598680973052979,-0.99267578125,-0.05419921875,-0.02392578125
1519961263637,2018-03-01T22.27.43.637,0.0598680973052979,-0.982421875,-0.0517578125,-0.017578125
1519961263637,2018-03-01T22.27.43.637,0.0598680973052979,-0.970703125,-0.07763671875,-0.02099609375
1519961263667,2018-03-01T22.27.43.667,0.0899060964584351,-0.96875,-0.109375,-0.0302734375
1519961263667,2018-03-01T22.27.43.667,0.0899060964584351,-0.990234375,-0.099609375,-0.0302734375
1519961263667,2018-03-01T22.27.43.667,0.0899060964584351,-1.00244140625,-0.0869140625,-0.01708984375
1519961263697,2018-03-01T22.27.43.697,0.119808077812195,-0.99560546875,-0.10546875,-0.017578125
1519961263697,2018-03-01T22.27.43.697,0.119808077812195,-0.9931640625,-0.1474609375,0.00341796875
1519961263697,2018-03-01T22.27.43.697,0.119808077812195,-0.99365234375,-0.14501953125,-0.0029296875
1519961263727,2018-03-01T22.27.43.727,0.149784088134766,-0.978515625,-0.05615234375,-0.01708984375
1519961263727,2018-03-01T22.27.43.727,0.149784088134766,-0.9638671875,0.01416015625,-0.00634765625
1519961263727,2018-03-01T22.27.43.727,0.149784088134766,-0.96826171875,0.00537109375,0.00390625
1519961263757,2018-03-01T22.27.43.757,0.180158019065857,-0.97216796875,-0.033203125,0.00927734375
1519961263757,2018-03-01T22.27.43.757,0.180158019065857,-0.97119140625,-0.04052734375,0.001953125
1519961263757,2018-03-01T22.27.43.757,0.180158019065857,-0.97802734375,-0.001953125,-0.00390625
1519961263787,2018-03-01T22.27.43.787,0.210182070732117,-1.0009765625,0.0498046875,-0.05810546875
1519961263787,2018-03-01T22.27.43.787,0.210182070732117,-1.03955078125,0.09619140625,-0.10595703125
1519961263787,2018-03-01T22.27.43.787,0.210182070732117,-1.0673828125,0.056640625,-0.080078125
1519961263817,2018-03-01T22.27.43.817,0.240137100219727,-1.05322265625,-0.03515625,-0.0703125
1519961263817,2018-03-01T22.27.43.817,0.240137100219727,-1.02099609375,-0.04296875,-0.06787109375
1519961263817,2018-03-01T22.27.43.817,0.240137100219727,-1.005859375,-0.0078125,-0.06103515625
1519961263848,2018-03-01T22.27.43.848,0.270624041557312,-0.990234375,0.021484375,-0.05029296875
1519961263848,2018-03-01T22.27.43.848,0.270624041557312,-0.98876953125,0.0234375,-0.0810546875
1519961263848,2018-03-01T22.27.43.848,0.270624041557312,-1.00341796875,0.00927734375,-0.07666015625
1519961263878,2018-03-01T22.27.43.878,0.30063009262085,-1.00537109375,-0.03515625,-0.046875
1519961263878,2018-03-01T22.27.43.878,0.30063009262085,-0.9921875,-0.0361328125,-0.0439453125
1519961263878,2018-03-01T22.27.43.878,0.30063009262085,-0.98291015625,-0.00732421875,-0.060546875
1519961263907,2018-03-01T22.27.43.907,0.330241084098816,-0.99267578125,0.0078125,-0.07373046875
1519961263907,2018-03-01T22.27.43.907,0.330241084098816,-1.0087890625,0.00341796875,-0.07958984375
1519961263907,2018-03-01T22.27.43.907,0.330241084098816,-1.0205078125,-0.01904296875,-0.06689453125
1519961263937,2018-03-01T22.27.43.937,0.360128998756409,-1.00341796875,-0.04931640625,-0.02783203125
1519961263937,2018-03-01T22.27.43.937,0.360128998756409,-0.99365234375,-0.056640625,-0.0400390625
1519961263937,2018-03-01T22.27.43.937,0.360128998756409,-0.99853515625,-0.0458984375,-0.041015625
1519961263967,2018-03-01T22.27.43.967,0.390170097351074,-1.01220703125,-0.0400390625,-0.0556640625
1519961263967,2018-03-01T22.27.43.967,0.390170097351074,-1.02392578125,-0.033203125,-0.04443359375
1519961263967,2018-03-01T22.27.43.967,0.390170097351074,-1.00732421875,-0.0537109375,-0.02490234375
1519961263999,2018-03-01T22.27.43.999,0.421533107757568,-0.9931640625,-0.0537109375,-0.021484375
1519961263999,2018-03-01T22.27.43.999,0.421533107757568,-0.98779296875,-0.02978515625,-0.0185546875
1519961263999,2018-03-01T22.27.43.999,0.421533107757568,-0.9892578125,-0.029296875,-0.0263671875
1519961264027,2018-03-01T22.27.44.027,0.450179100036621,-0.99462890625,-0.0458984375,-0.02587890625
1519961264027,2018-03-01T22.27.44.027,0.450179100036621,-0.99609375,-0.03955078125,-0.033203125
1519961264027,2018-03-01T22.27.44.027,0.450179100036621,-1.00048828125,-0.02490234375,-0.05078125
1519961264057,2018-03-01T22.27.44.057,0.479928016662598,-1.01220703125,-0.02978515625,-0.0458984375
1519961264057,2018-03-01T22.27.44.057,0.479928016662598,-1.01025390625,-0.03662109375,-0.0322265625
1519961264057,2018-03-01T22.27.44.057,0.479928016662598,-0.99951171875,-0.041015625,-0.021484375
1519961264087,2018-03-01T22.27.44.087,0.509968042373657,-0.9951171875,-0.037109375,-0.01708984375
1519961264087,2018-03-01T22.27.44.087,0.509968042373657,-0.98876953125,-0.0087890625,-0.0263671875
1519961264087,2018-03-01T22.27.44.087,0.509968042373657,-1.01416015625,0.0380859375,-0.09228515625
1519961264117,2018-03-01T22.27.44.117,0.540058016777039,-1.03662109375,0.0244140625,-0.05712890625
1519961264117,2018-03-01T22.27.44.117,0.540058016777039,-1.0205078125,-0.0263671875,-0.013671875
1519961264117,2018-03-01T22.27.44.117,0.540058016777039,-0.99560546875,-0.037109375,-0.029296875
1519961264147,2018-03-01T22.27.44.147,0.570147037506104,-0.99853515625,-0.01220703125,-0.04736328125
1519961264147,2018-03-01T22.27.44.147,0.570147037506104,-1.009765625,-0.0009765625,-0.03271484375
1519961264147,2018-03-01T22.27.44.147,0.570147037506104,-1.0029296875,-0.0126953125,-0.0341796875
1519961264177,2018-03-01T22.27.44.177,0.599924087524414,-1.00390625,-0.02783203125,-0.05029296875
1519961264177,2018-03-01T22.27.44.177,0.599924087524414,-1.001953125,-0.0302734375,-0.03466796875
1519961264177,2018-03-01T22.27.44.177,0.599924087524414,-0.99658203125,-0.048828125,-0.02734375
1519961264207,2018-03-01T22.27.44.207,0.629953026771545,-1.00341796875,-0.0439453125,-0.0400390625
1519961264207,2018-03-01T22.27.44.207,0.629953026771545,-1.0029296875,-0.0322265625,-0.0458984375
1519961264207,2018-03-01T22.27.44.207,0.629953026771545,-1.0,-0.01904296875,-0.0458984375
1519961264237,2018-03-01T22.27.44.237,0.660177111625671,-1.00244140625,-0.0244140625,-0.04638671875
1519961264237,2018-03-01T22.27.44.237,0.660177111625671,-1.00634765625,-0.0283203125,-0.0419921875
1519961264237,2018-03-01T22.27.44.237,0.660177111625671,-0.9970703125,-0.025390625,-0.0478515625
1519961264267,2018-03-01T22.27.44.267,0.689892053604126,-0.9892578125,-0.01806640625,-0.04443359375
1519961264267,2018-03-01T22.27.44.267,0.689892053604126,-0.9990234375,-0.01611328125,-0.04443359375
1519961264267,2018-03-01T22.27.44.267,0.689892053604126,-1.0068359375,-0.01416015625,-0.0625
1519961264297,2018-03-01T22.27.44.297,0.720044016838074,-1.0107421875,-0.00244140625,-0.06591796875
1519961264297,2018-03-01T22.27.44.297,0.720044016838074,-1.01171875,-0.00927734375,-0.07470703125
1519961264297,2018-03-01T22.27.44.297,0.720044016838074,-1.00927734375,-0.01318359375,-0.0712890625
1519961264330,2018-03-01T22.27.44.330,0.75279700756073,-1.00244140625,-0.025390625,-0.05615234375
1519961264330,2018-03-01T22.27.44.330,0.75279700756073,-1.0048828125,-0.03515625,-0.044921875
1519961264330,2018-03-01T22.27.44.330,0.75279700756073,-1.00439453125,-0.03564453125,-0.05615234375
1519961264357,2018-03-01T22.27.44.357,0.780003070831299,-1.0029296875,-0.021484375,-0.06103515625
1519961264357,2018-03-01T22.27.44.357,0.780003070831299,-1.00146484375,-0.01953125,-0.0556640625
1519961264357,2018-03-01T22.27.44.357,0.780003070831299,-1.0048828125,-0.02880859375,-0.048828125
1519961264387,2018-03-01T22.27.44.387,0.809882998466492,-1.00390625,-0.025390625,-0.04931640625
1519961264387,2018-03-01T22.27.44.387,0.809882998466492,-0.9970703125,-0.02685546875,-0.05224609375
1519961264387,2018-03-01T22.27.44.387,0.809882998466492,-0.998046875,-0.02392578125,-0.06103515625
1519961264417,2018-03-01T22.27.44.417,0.840147018432617,-1.001953125,-0.01513671875,-0.06494140625
1519961264417,2018-03-01T22.27.44.417,0.840147018432617,-1.0029296875,-0.0166015625,-0.0625
1519961264417,2018-03-01T22.27.44.417,0.840147018432617,-0.99755859375,-0.0205078125,-0.06396484375
1519961264451,2018-03-01T22.27.44.451,0.87336003780365,-0.9990234375,-0.01220703125,-0.0751953125
1519961264451,2018-03-01T22.27.44.451,0.87336003780365,-1.00390625,-0.01025390625,-0.06396484375
1519961264451,2018-03-01T22.27.44.451,0.87336003780365,-1.00439453125,-0.0107421875,-0.05078125
1519961264477,2018-03-01T22.27.44.477,0.899893045425415,-1.0087890625,-0.0244140625,-0.046875
1519961264477,2018-03-01T22.27.44.477,0.899893045425415,-1.0048828125,-0.0244140625,-0.0546875
1519961264477,2018-03-01T22.27.44.477,0.899893045425415,-1.00537109375,-0.0126953125,-0.0478515625
1519961264509,2018-03-01T22.27.44.509,0.931966066360474,-1.00390625,-0.01025390625,-0.0439453125
1519961264509,2018-03-01T22.27.44.509,0.931966066360474,-1.00048828125,-0.01171875,-0.0419921875
1519961264509,2018-03-01T22.27.44.509,0.931966066360474,-0.9990234375,-0.02099609375,-0.03515625
1519961264537,2018-03-01T22.27.44.537,0.960041046142578,-0.99072265625,-0.025390625,-0.03857421875
1519961264537,2018-03-01T22.27.44.537,0.960041046142578,-0.99072265625,-0.01953125,-0.0419921875
1519961264537,2018-03-01T22.27.44.537,0.960041046142578,-0.99267578125,-0.01416015625,-0.04296875
1519961264568,2018-03-01T22.27.44.568,0.991206049919128,-0.99560546875,-0.03173828125,-0.03515625
1519961264568,2018-03-01T22.27.44.568,0.991206049919128,-0.99755859375,-0.03369140625,-0.04443359375
1519961264568,2018-03-01T22.27.44.568,0.991206049919128,-1.00439453125,-0.03125,-0.0498046875
1519961264597,2018-03-01T22.27.44.597,1.0202020406723,-1.0068359375,-0.03564453125,-0.046875
1519961264597,2018-03-01T22.27.44.597,1.0202020406723,-1.00244140625,-0.02734375,-0.04931640625
1519961264597,2018-03-01T22.27.44.597,1.0202020406723,-1.0009765625,-0.00634765625,-0.0576171875
1519961264627,2018-03-01T22.27.44.627,1.05019402503967,-1.00732421875,0.00439453125,-0.04248046875
1519961264627,2018-03-01T22.27.44.627,1.05019402503967,-0.9921875,-0.01806640625,-0.0263671875
1519961264627,2018-03-01T22.27.44.627,1.05019402503967,-0.98681640625,-0.03515625,-0.02783203125
1519961264657,2018-03-01T22.27.44.657,1.08021807670593,-0.99609375,-0.0341796875,-0.03759765625
1519961264657,2018-03-01T22.27.44.657,1.08021807670593,-0.99951171875,-0.01416015625,-0.04443359375
1519961264657,2018-03-01T22.27.44.657,1.08021807670593,-1.00439453125,0.00537109375,-0.064453125
1519961264687,2018-03-01T22.27.44.687,1.11011207103729,-1.0078125,0.0,-0.052734375
1519961264687,2018-03-01T22.27.44.687,1.11011207103729,-1.00634765625,-0.02587890625,-0.04638671875
1519961264687,2018-03-01T22.27.44.687,1.11011207103729,-1.00537109375,-0.02734375,-0.0625
1519961264718,2018-03-01T22.27.44.718,1.14074110984802,-1.0048828125,-0.0244140625,-0.0517578125
1519961264718,2018-03-01T22.27.44.718,1.14074110984802,-0.9951171875,-0.0263671875,-0.03369140625
1519961264718,2018-03-01T22.27.44.718,1.14074110984802,-0.994140625,-0.0263671875,-0.04541015625
1519961264755,2018-03-01T22.27.44.755,1.17753708362579,-0.99951171875,-0.04052734375,-0.052734375
1519961264755,2018-03-01T22.27.44.755,1.17753708362579,-1.0107421875,-0.05126953125,-0.0498046875
1519961264755,2018-03-01T22.27.44.755,1.17753708362579,-1.01513671875,-0.04541015625,-0.0546875
