epoc (ms),timestamp (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1520280122931,2018-03-05T15.02.02.931,0.0,-0.9765625,0.0107421875,-0.18994140625
1520280122931,2018-03-05T15.02.02.931,0.0,-0.9873046875,0.0234375,-0.1953125
1520280122931,2018-03-05T15.02.02.931,0.0,-0.99169921875,0.02783203125,-0.197265625
1520280122961,2018-03-05T15.02.02.961,0.0299019813537598,-0.99072265625,0.02685546875,-0.19970703125
1520280122961,2018-03-05T15.02.02.961,0.0299019813537598,-0.98095703125,0.02392578125,-0.20361328125
1520280122961,2018-03-05T15.02.02.961,0.0299019813537598,-0.98095703125,0.0263671875,-0.20361328125
1520280122991,2018-03-05T15.02.02.991,0.0599039793014526,-0.98681640625,0.0244140625,-0.20849609375
1520280122991,2018-03-05T15.02.02.991,0.0599039793014526,-0.98828125,0.0146484375,-0.2109375
1520280122991,2018-03-05T15.02.02.991,0.0599039793014526,-0.986328125,0.01025390625,-0.21484375
1520280123021,2018-03-05T15.02.03.021,0.0900959968566895,-0.9814453125,0.0087890625,-0.2197265625
1520280123021,2018-03-05T15.02.03.021,0.0900959968566895,-0.98388671875,0.00927734375,-0.22509765625
1520280123021,2018-03-05T15.02.03.021,0.0900959968566895,-0.97998046875,0.00341796875,-0.220703125
1520280123051,2018-03-05T15.02.03.051,0.120071053504944,-0.974609375,-0.00244140625,-0.2109375
1520280123051,2018-03-05T15.02.03.051,0.120071053504944,-0.98388671875,-0.015625,-0.197265625
1520280123051,2018-03-05T15.02.03.051,0.120071053504944,-1.0009765625,-0.0224609375,-0.1923828125
1520280123081,2018-03-05T15.02.03.081,0.150259971618652,-0.9912109375,-0.0185546875,-0.19482421875
1520280123081,2018-03-05T15.02.03.081,0.150259971618652,-0.9794921875,-0.01708984375,-0.193359375
1520280123081,2018-03-05T15.02.03.081,0.150259971618652,-0.98388671875,-0.02392578125,-0.1943359375
1520280123112,2018-03-05T15.02.03.112,0.180567026138306,-0.984375,-0.02734375,-0.1953125
1520280123112,2018-03-05T15.02.03.112,0.180567026138306,-0.98095703125,-0.0166015625,-0.197265625
1520280123112,2018-03-05T15.02.03.112,0.180567026138306,-0.98876953125,-0.0146484375,-0.197265625
1520280123141,2018-03-05T15.02.03.141,0.210373044013977,-0.99072265625,-0.0263671875,-0.19970703125
1520280123141,2018-03-05T15.02.03.141,0.210373044013977,-0.98388671875,-0.03857421875,-0.19873046875
1520280123141,2018-03-05T15.02.03.141,0.210373044013977,-0.9755859375,-0.037109375,-0.203125
1520280123172,2018-03-05T15.02.03.172,0.240705013275146,-0.98828125,-0.03466796875,-0.20166015625
1520280123172,2018-03-05T15.02.03.172,0.240705013275146,-0.98583984375,-0.0185546875,-0.2099609375
1520280123172,2018-03-05T15.02.03.172,0.240705013275146,-0.984375,-0.021484375,-0.21875
1520280123202,2018-03-05T15.02.03.202,0.271470069885254,-0.9814453125,-0.009765625,-0.22607421875
1520280123202,2018-03-05T15.02.03.202,0.271470069885254,-0.97509765625,0.0078125,-0.23828125
1520280123202,2018-03-05T15.02.03.202,0.271470069885254,-0.98193359375,0.00634765625,-0.23876953125
1520280123232,2018-03-05T15.02.03.232,0.300631999969482,-0.98828125,-0.0087890625,-0.23681640625
1520280123232,2018-03-05T15.02.03.232,0.300631999969482,-0.9794921875,-0.00390625,-0.228515625
1520280123232,2018-03-05T15.02.03.232,0.300631999969482,-0.9765625,-0.00341796875,-0.22412109375
1520280123261,2018-03-05T15.02.03.261,0.330412030220032,-0.98046875,-0.0009765625,-0.22900390625
1520280123261,2018-03-05T15.02.03.261,0.330412030220032,-0.97802734375,0.001953125,-0.23291015625
1520280123261,2018-03-05T15.02.03.261,0.330412030220032,-0.97509765625,0.00341796875,-0.23388671875
1520280123291,2018-03-05T15.02.03.291,0.360259056091309,-0.9794921875,0.0048828125,-0.24560546875
1520280123291,2018-03-05T15.02.03.291,0.360259056091309,-0.98046875,0.02587890625,-0.2451171875
1520280123291,2018-03-05T15.02.03.291,0.360259056091309,-0.97802734375,0.0341796875,-0.255859375
1520280123321,2018-03-05T15.02.03.321,0.390434980392456,-0.982421875,0.0458984375,-0.25927734375
1520280123321,2018-03-05T15.02.03.321,0.390434980392456,-0.9853515625,0.044921875,-0.265625
1520280123321,2018-03-05T15.02.03.321,0.390434980392456,-0.98095703125,0.02734375,-0.26416015625
1520280123351,2018-03-05T15.02.03.351,0.4201420545578,-0.9833984375,-0.001953125,-0.25048828125
1520280123351,2018-03-05T15.02.03.351,0.4201420545578,-0.982421875,-0.02197265625,-0.2412109375
1520280123351,2018-03-05T15.02.03.351,0.4201420545578,-0.9833984375,-0.02099609375,-0.23486328125
1520280123381,2018-03-05T15.02.03.381,0.45012903213501,-0.986328125,-0.01806640625,-0.22412109375
1520280123381,2018-03-05T15.02.03.381,0.45012903213501,-0.99267578125,-0.0234375,-0.20947265625
1520280123381,2018-03-05T15.02.03.381,0.45012903213501,-0.98095703125,-0.03076171875,-0.2021484375
1520280123416,2018-03-05T15.02.03.416,0.485319018363953,-0.97509765625,-0.033203125,-0.20068359375
1520280123416,2018-03-05T15.02.03.416,0.485319018363953,-0.9814453125,-0.03076171875,-0.197265625
1520280123416,2018-03-05T15.02.03.416,0.485319018363953,-0.9814453125,-0.02392578125,-0.19921875
1520280123441,2018-03-05T15.02.03.441,0.510293006896973,-0.9794921875,-0.02294921875,-0.19921875
