epoc (ms),timestamp (-05:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1519456834666,2018-02-24T02.20.34.666,0.0,-0.99755859375,0.04345703125,0.017578125
1519456834666,2018-02-24T02.20.34.666,0.0,-1.00732421875,0.0419921875,0.01708984375
1519456834666,2018-02-24T02.20.34.666,0.0,-1.0048828125,0.041015625,0.01611328125
1519456834726,2018-02-24T02.20.34.726,0.0596159696578979,-1.0029296875,0.03955078125,0.01513671875
1519456834726,2018-02-24T02.20.34.726,0.0596159696578979,-1.00244140625,0.04150390625,0.0146484375
1519456834726,2018-02-24T02.20.34.726,0.0596159696578979,-1.00390625,0.04150390625,0.01708984375
1519456834726,2018-02-24T02.20.34.726,0.0600359439849854,-1.001953125,0.03857421875,0.01171875
1519456834726,2018-02-24T02.20.34.726,0.0600359439849854,-1.0029296875,0.0361328125,0.01123046875
1519456834726,2018-02-24T02.20.34.726,0.0600359439849854,-1.001953125,0.0380859375,0.013671875
1519456834756,2018-02-24T02.20.34.756,0.0902559757232666,-1.0009765625,0.04296875,0.0166015625
1519456834756,2018-02-24T02.20.34.756,0.0902559757232666,-1.00048828125,0.04443359375,0.0146484375
1519456834756,2018-02-24T02.20.34.756,0.0902559757232666,-1.00244140625,0.04443359375,0.017578125
1519456834786,2018-02-24T02.20.34.786,0.12053394317627,-1.001953125,0.041015625,0.0185546875
1519456834786,2018-02-24T02.20.34.786,0.12053394317627,-1.00390625,0.0419921875,0.0146484375
1519456834786,2018-02-24T02.20.34.786,0.12053394317627,-1.00390625,0.0419921875,0.01611328125
1519456834816,2018-02-24T02.20.34.816,0.149839997291565,-1.00244140625,0.03857421875,0.0146484375
1519456834816,2018-02-24T02.20.34.816,0.149839997291565,-1.00390625,0.04248046875,0.0166015625
1519456834816,2018-02-24T02.20.34.816,0.149839997291565,-1.00244140625,0.04248046875,0.015625
1519456834846,2018-02-24T02.20.34.846,0.179841995239258,-1.00244140625,0.0400390625,0.01513671875
1519456834846,2018-02-24T02.20.34.846,0.179841995239258,-1.001953125,0.0390625,0.01318359375
1519456834846,2018-02-24T02.20.34.846,0.179841995239258,-1.00146484375,0.0390625,0.0146484375
1519456834876,2018-02-24T02.20.34.876,0.210103034973145,-1.001953125,0.03857421875,0.013671875
1519456834876,2018-02-24T02.20.34.876,0.210103034973145,-1.00244140625,0.04345703125,0.0126953125
1519456834876,2018-02-24T02.20.34.876,0.210103034973145,-1.00146484375,0.04248046875,0.0146484375
1519456834937,2018-02-24T02.20.34.937,0.271016955375671,-1.00244140625,0.03857421875,0.01220703125
1519456834937,2018-02-24T02.20.34.937,0.271016955375671,-1.00244140625,0.0400390625,0.013671875
1519456834937,2018-02-24T02.20.34.937,0.271016955375671,-1.00390625,0.04248046875,0.013671875
1519456834939,2018-02-24T02.20.34.939,0.273234009742737,-1.00048828125,0.044921875,0.015625
1519456834939,2018-02-24T02.20.34.939,0.273234009742737,-1.00244140625,0.044921875,0.0146484375
1519456834939,2018-02-24T02.20.34.939,0.273234009742737,-1.0009765625,0.04345703125,0.0146484375
1519456834966,2018-02-24T02.20.34.966,0.299826979637146,-1.00390625,0.04248046875,0.01513671875
1519456834966,2018-02-24T02.20.34.966,0.299826979637146,-1.0048828125,0.0419921875,0.013671875
1519456834966,2018-02-24T02.20.34.966,0.299826979637146,-1.0,0.0390625,0.00927734375
1519456834996,2018-02-24T02.20.34.996,0.330520033836365,-1.00146484375,0.04052734375,0.01318359375
1519456834996,2018-02-24T02.20.34.996,0.330520033836365,-1.00390625,0.046875,0.015625
1519456834996,2018-02-24T02.20.34.996,0.330520033836365,-1.00390625,0.04052734375,0.01025390625
1519456835025,2018-02-24T02.20.35.025,0.359375,-0.998046875,0.0380859375,0.01171875
1519456835025,2018-02-24T02.20.35.025,0.359375,-0.9990234375,0.0400390625,0.013671875
1519456835025,2018-02-24T02.20.35.025,0.359375,-1.0048828125,0.0419921875,0.0126953125
1519456835055,2018-02-24T02.20.35.055,0.389261960983276,-1.00439453125,0.044921875,0.0107421875
1519456835055,2018-02-24T02.20.35.055,0.389261960983276,-1.00048828125,0.04541015625,0.0126953125
1519456835055,2018-02-24T02.20.35.055,0.389261960983276,-0.99951171875,0.0400390625,0.00927734375
1519456835085,2018-02-24T02.20.35.085,0.419296026229858,-1.0009765625,0.0390625,0.01123046875
1519456835085,2018-02-24T02.20.35.085,0.419296026229858,-1.00048828125,0.0390625,0.01123046875
1519456835085,2018-02-24T02.20.35.085,0.419296026229858,-1.00244140625,0.04150390625,0.009765625
1519456835145,2018-02-24T02.20.35.145,0.479128956794739,-1.00439453125,0.04443359375,0.01220703125
1519456835145,2018-02-24T02.20.35.145,0.479128956794739,-0.998046875,0.041015625,0.013671875
1519456835145,2018-02-24T02.20.35.145,0.479128956794739,-1.00244140625,0.044921875,0.013671875
1519456835146,2018-02-24T02.20.35.146,0.480378031730652,-1.00341796875,0.04736328125,0.01416015625
1519456835146,2018-02-24T02.20.35.146,0.480378031730652,-1.00244140625,0.04638671875,0.01220703125
1519456835146,2018-02-24T02.20.35.146,0.480378031730652,-1.00244140625,0.0439453125,0.01220703125
1519456835175,2018-02-24T02.20.35.175,0.509554982185364,-1.00146484375,0.044921875,0.0107421875
1519456835175,2018-02-24T02.20.35.175,0.509554982185364,-1.00341796875,0.04443359375,0.0107421875
1519456835175,2018-02-24T02.20.35.175,0.509554982185364,-1.0009765625,0.04248046875,0.01171875
1519456835235,2018-02-24T02.20.35.235,0.569509029388428,-1.00341796875,0.04248046875,0.01025390625
1519456835235,2018-02-24T02.20.35.235,0.569509029388428,-1.00244140625,0.04443359375,0.01123046875
1519456835235,2018-02-24T02.20.35.235,0.569509029388428,-1.001953125,0.04541015625,0.01123046875
1519456835236,2018-02-24T02.20.35.236,0.570487976074219,-1.00146484375,0.04443359375,0.01220703125
1519456835236,2018-02-24T02.20.35.236,0.570487976074219,-1.00048828125,0.04541015625,0.013671875
1519456835236,2018-02-24T02.20.35.236,0.570487976074219,-1.001953125,0.04541015625,0.01416015625
1519456835265,2018-02-24T02.20.35.265,0.599452018737793,-1.0029296875,0.0458984375,0.01416015625
1519456835265,2018-02-24T02.20.35.265,0.599452018737793,-1.001953125,0.046875,0.01318359375
1519456835265,2018-02-24T02.20.35.265,0.599452018737793,-1.0,0.0458984375,0.01318359375
1519456835296,2018-02-24T02.20.35.296,0.629609942436218,-1.00341796875,0.0439453125,0.01220703125
1519456835296,2018-02-24T02.20.35.296,0.629609942436218,-1.00390625,0.04541015625,0.013671875
1519456835296,2018-02-24T02.20.35.296,0.629609942436218,-1.00146484375,0.04296875,0.01171875
1519456835326,2018-02-24T02.20.35.326,0.660279035568237,-1.00341796875,0.0390625,0.01123046875
1519456835326,2018-02-24T02.20.35.326,0.660279035568237,-1.005859375,0.0361328125,0.0126953125
1519456835326,2018-02-24T02.20.35.326,0.660279035568237,-1.00732421875,0.03955078125,0.013671875
1519456835356,2018-02-24T02.20.35.356,0.689888954162598,-1.005859375,0.04541015625,0.01806640625
1519456835356,2018-02-24T02.20.35.356,0.689888954162598,-0.99853515625,0.04296875,0.0224609375
1519456835356,2018-02-24T02.20.35.356,0.689888954162598,-1.0,0.0517578125,0.009765625
1519456835385,2018-02-24T02.20.35.385,0.719547033309937,-1.00146484375,0.05810546875,0.01318359375
1519456835385,2018-02-24T02.20.35.385,0.719547033309937,-1.00390625,0.060546875,0.0146484375
1519456835385,2018-02-24T02.20.35.385,0.719547033309937,-1.00244140625,0.05712890625,0.01171875
1519456835415,2018-02-24T02.20.35.415,0.749401926994324,-0.99853515625,0.056640625,0.01123046875
1519456835415,2018-02-24T02.20.35.415,0.749401926994324,-1.00048828125,0.0537109375,0.0107421875
1519456835415,2018-02-24T02.20.35.415,0.749401926994324,-1.001953125,0.0498046875,0.013671875
