time,heading,pitch,roll,yaw,
15,184.05092,-175.10658,-81.301865,184.05092,
35,184.02516,-175.10641,-81.29158,184.02516,
52,184.0377,-175.1049,-81.28623,184.0377,
58,184.04672,-175.10292,-81.281044,184.04672,
68,184.09102,-175.10056,-81.27642,184.09102,
78,184.08797,-175.09789,-81.27262,184.08797,
90,184.08562,-175.09586,-81.26941,184.08562,
92,184.08345,-175.09396,-81.26655,184.08345,
101,184.03929,-175.09229,-81.26391,184.03929,
112,184.03734,-175.09059,-81.260765,184.03734,
123,184.0356,-175.0891,-81.25757,184.0356,
135,184.03174,-175.09268,-81.257195,184.03174,
147,184.102,-175.0961,-81.256584,184.102,
158,184.09279,-175.10028,-81.25641,184.09279,
169,184.08594,-175.10565,-81.2574,184.08594,
181,184.0751,-175.11191,-81.2595,184.0751,
184,184.06157,-175.11772,-81.26265,184.06157,
192,184.04332,-175.12619,-81.263306,184.04332,
203,184.01903,-175.13634,-81.261215,184.01903,
214,183.99165,-175.14804,-81.256714,183.99165,
225,183.92094,-175.1553,-81.25222,183.92094,
237,183.8797,-175.15155,-81.249756,183.8797,
248,183.8615,-175.15022,-81.247086,183.8615,
260,183.86032,-175.14925,-81.24191,183.86032,
261,183.83113,-175.14474,-81.24285,183.83113,
270,183.8017,-175.14139,-81.24241,183.8017,
282,183.80322,-175.14273,-81.24301,183.80322,
292,183.8414,-175.14725,-81.250885,183.8414,
304,183.79095,-175.15169,-81.25721,183.79095,
315,183.83511,-175.1565,-81.26242,183.83511,
326,183.88133,-175.16046,-81.26219,183.88133,
339,183.91101,-175.16248,-81.261406,183.91101,
340,183.92786,-175.16368,-81.26062,183.92786,
349,183.93231,-175.16553,-81.26453,183.93231,
360,183.95256,-175.16707,-81.26869,183.95256,
373,183.96904,-175.16843,-81.27331,183.96904,
383,183.98538,-175.16972,-81.27786,183.98538,
406,184.07268,-175.1695,-81.27681,184.07268,
408,184.06934,-175.16653,-81.2758,184.06934,
416,184.05954,-175.1642,-81.27555,184.05954,
428,184.05832,-175.1631,-81.27527,184.05832,
430,183.9011,-175.16243,-81.27493,183.9011,
439,183.90079,-175.16217,-81.274704,183.90079,
450,183.90025,-175.16171,-81.274055,183.90025,
462,183.89981,-175.16132,-81.27324,183.89981,
473,183.89932,-175.16092,-81.27205,183.89932,
484,183.89888,-175.16052,-81.27097,183.89888,
498,183.89871,-175.16039,-81.270386,183.89871,
500,183.90623,-175.16118,-81.27012,183.90623,
509,183.91429,-175.16208,-81.27012,183.91429,
519,183.91429,-175.16208,-81.27012,183.91429,
532,183.91429,-175.16208,-81.27012,183.91429,
562,183.91429,-175.16208,-81.27012,183.91429,
567,183.91429,-175.16208,-81.27012,183.91429,
568,183.90474,-175.16101,-81.27012,183.90474,
579,183.89725,-175.16017,-81.27012,183.89725,
581,183.89725,-175.16017,-81.27012,183.89725,
587,183.89725,-175.16017,-81.27012,183.89725,
599,183.89725,-175.16017,-81.27012,183.89725,
608,183.89725,-175.16017,-81.27012,183.89725,
619,183.89725,-175.16017,-81.27012,183.89725,
630,183.89725,-175.16017,-81.27012,183.89725,
641,183.89725,-175.16017,-81.27012,183.89725,
652,183.89725,-175.16017,-81.27012,183.89725,
666,183.89725,-175.16017,-81.27012,183.89725,
670,183.89725,-175.16017,-81.27012,183.89725,
675,183.89725,-175.16017,-81.27012,183.89725,
687,183.89725,-175.16017,-81.27012,183.89725,
703,183.89043,-175.15941,-81.27012,183.89043,
711,183.89043,-175.15941,-81.27012,183.89043,
723,183.89043,-175.15941,-81.27012,183.89043,
746,183.89725,-175.16017,-81.27012,183.89725,
748,183.90611,-175.16116,-81.27012,183.90611,
755,183.91293,-175.16193,-81.27012,183.91293,
759,183.92046,-175.16277,-81.27012,183.92046,
767,183.92715,-175.16353,-81.27012,183.92715,
779,183.92715,-175.16353,-81.27012,183.92715,
801,183.92715,-175.16353,-81.27012,183.92715,
803,183.92715,-175.16353,-81.27012,183.92715,
814,183.92715,-175.16353,-81.27012,183.92715,
825,183.92715,-175.16353,-81.27012,183.92715,
828,183.92715,-175.16353,-81.27012,183.92715,
835,183.92715,-175.16353,-81.27012,183.92715,
846,183.92715,-175.16353,-81.27012,183.92715,
858,183.91965,-175.16267,-81.27013,183.91965,
869,183.91965,-175.16267,-81.27013,183.91965,
881,183.91965,-175.16267,-81.27013,183.91965,
892,183.91965,-175.16267,-81.27013,183.91965,
903,183.91965,-175.16267,-81.27013,183.91965,
906,183.91965,-175.16267,-81.27013,183.91965,
913,183.91965,-175.16267,-81.27013,183.91965,
925,183.91965,-175.16267,-81.27013,183.91965,
938,183.91965,-175.16267,-81.27013,183.91965,
947,183.91965,-175.16267,-81.27013,183.91965,
960,183.91965,-175.16267,-81.27013,183.91965,
970,183.91965,-175.16267,-81.27013,183.91965,
981,183.91965,-175.16267,-81.27013,183.91965,
988,183.91965,-175.16267,-81.27013,183.91965,
992,183.91965,-175.16267,-81.27013,183.91965,
1003,183.91965,-175.16267,-81.27013,183.91965,
1014,183.91965,-175.16267,-81.27013,183.91965,
1026,183.91965,-175.16267,-81.27013,183.91965,
1039,183.91965,-175.16267,-81.27013,183.91965,
1070,183.91965,-175.16267,-81.27013,183.91965,
1073,183.91965,-175.16267,-81.27013,183.91965,
1079,183.91965,-175.16267,-81.27013,183.91965,
1086,183.91965,-175.16267,-81.27013,183.91965,
1092,183.91965,-175.16267,-81.27013,183.91965,
1103,183.91965,-175.16267,-81.27013,183.91965,
1114,183.91965,-175.16267,-81.27013,183.91965,
1125,183.91965,-175.16267,-81.27013,183.91965,
1137,183.91965,-175.16267,-81.27013,183.91965,
1148,183.91965,-175.16267,-81.27013,183.91965,
1152,183.91965,-175.16267,-81.27013,183.91965,
1161,183.91965,-175.16267,-81.27013,183.91965,
1172,183.91965,-175.16267,-81.27013,183.91965,
1182,183.91965,-175.16267,-81.27013,183.91965,
1193,183.91965,-175.16267,-81.27013,183.91965,
1205,183.91965,-175.16267,-81.27013,183.91965,
1216,183.91965,-175.16267,-81.27013,183.91965,
1227,183.91965,-175.16267,-81.27013,183.91965,
1229,183.91965,-175.16267,-81.27013,183.91965,
1244,183.91965,-175.16267,-81.27013,183.91965,
1254,183.91965,-175.16267,-81.27013,183.91965,
1260,183.91965,-175.16267,-81.27013,183.91965,
1272,183.91965,-175.16267,-81.27013,183.91965,
1283,183.91965,-175.16267,-81.27013,183.91965,
1294,183.91965,-175.16267,-81.27013,183.91965,
1306,183.91965,-175.16267,-81.27013,183.91965,
1307,183.91965,-175.16267,-81.27013,183.91965,
1319,183.91965,-175.16267,-81.27013,183.91965,
1333,183.91965,-175.16267,-81.27013,183.91965,
1342,183.91965,-175.16267,-81.27013,183.91965,
1353,183.91965,-175.16267,-81.27013,183.91965,
