time,x,y,z,
32,-1.0273438,-0.044433594,-0.15234375,
33,-1.0356445,-0.03857422,-0.13623047,
38,-1.0263672,-0.016601562,-0.11621094,
54,-1.0244141,0.04296875,-0.075683594,
60,-1.0341797,0.05078125,-0.055664062,
63,-1.0332031,0.033691406,-0.05029297,
81,-1.0209961,0.029296875,-0.041992188,
83,-1.0205078,0.015136719,-0.045898438,
105,-1.0219727,-0.010253906,-0.060546875,
115,-1.0224609,-0.025878906,-0.076660156,
117,-1.0175781,-0.028320312,-0.09423828,
128,-1.0112305,-0.0034179688,-0.107910156,
130,-1.0185547,0.0048828125,-0.11425781,
140,-1.0244141,-0.015136719,-0.11425781,
149,-1.0185547,-0.026367188,-0.11376953,
162,-1.0146484,-0.029785156,-0.11035156,
183,-1.0170898,-0.0234375,-0.10644531,
185,-1.0195312,-0.0043945312,-0.103027344,
195,-1.015625,0.013671875,-0.09326172,
207,-1.0136719,0.017578125,-0.08105469,
218,-1.0161133,0.0053710938,-0.07324219,
228,-1.0185547,0.0087890625,-0.080078125,
230,-1.0224609,0.005859375,-0.10205078,
242,-1.0239258,0.041503906,-0.125,
250,-1.0219727,0.095703125,-0.14746094,
262,-1.0146484,0.1459961,-0.16113281,
273,-0.9951172,0.17919922,-0.16064453,
286,-0.9711914,0.1850586,-0.13964844,
288,-0.9663086,0.17675781,-0.12451172,
297,-0.9760742,0.13964844,-0.10644531,
307,-0.9814453,0.11669922,-0.09423828,
318,-0.98339844,0.12011719,-0.09326172,
329,-0.98095703,0.1694336,-0.099609375,
340,-0.98828125,0.20166016,-0.11621094,
352,-1.0019531,0.2319336,-0.14355469,
363,-1.0107422,0.2290039,-0.171875,
374,-1.0371094,0.23583984,-0.20654297,
377,-1.0629883,0.26513672,-0.25048828,
386,-1.0751953,0.24707031,-0.29296875,
398,-1.0732422,0.24267578,-0.3486328,
408,-1.0585938,0.21533203,-0.39697266,
432,-1.0395508,0.16259766,-0.45947266,
434,-1.0205078,0.15722656,-0.51904297,
454,-1.0107422,0.19384766,-0.5625,
455,-0.99609375,0.20605469,-0.59765625,
