time,x,y,z,
20,-0.8051758,-0.064941406,-0.13720703,
40,-0.7402344,-0.11425781,-0.1484375,
41,-0.68310547,-0.20605469,-0.15722656,
42,-0.7055664,-0.27685547,-0.20507812,
61,-0.76953125,-0.29736328,-0.2763672,
63,-0.859375,-0.22753906,-0.3178711,
64,-0.93603516,-0.1171875,-0.37158203,
73,-0.94140625,-0.03173828,-0.45996094,
108,-0.91503906,0.049316406,-0.49560547,
109,-0.89697266,0.080566406,-0.5385742,
111,-0.8598633,0.06689453,-0.5966797,
122,-0.8491211,0.040039062,-0.5834961,
125,-0.8847656,-0.03125,-0.546875,
129,-0.92529297,-0.110839844,-0.5292969,
141,-0.92871094,-0.15185547,-0.51416016,
153,-0.90722656,-0.13378906,-0.46777344,
164,-0.8779297,-0.080078125,-0.453125,
175,-0.85595703,0.018066406,-0.40576172,
188,-0.86279297,0.03564453,-0.35791016,
198,-0.890625,0.01171875,-0.32763672,
209,-0.8964844,0.037109375,-0.30859375,
210,-0.87060547,0.11767578,-0.27197266,
220,-0.8588867,0.20800781,-0.18798828,
231,-0.86376953,0.27685547,-0.11035156,
242,-0.86865234,0.29101562,-0.033203125,
254,-0.8774414,0.25,0.030761719,
266,-0.8701172,0.1928711,0.080566406,
276,-0.8457031,0.14208984,0.1352539,
288,-0.86083984,0.087890625,0.25048828,
289,-0.9814453,0.08935547,0.2783203,
299,-1.0620117,0.09716797,0.18457031,
310,-1.0302734,0.13769531,0.088378906,
322,-0.9394531,0.16699219,-0.038085938,
333,-0.79345703,0.10595703,-0.16845703,
355,-0.69628906,0.032714844,-0.19433594,
357,-0.73583984,0.03466797,-0.19628906,
358,-0.9316406,0.12402344,-0.114746094,
378,-1.125,0.107421875,-0.13867188,
379,-1.0317383,-0.19726562,-0.3149414,
389,-0.7739258,-0.3930664,-0.46435547,
400,-0.6635742,-0.12695312,-0.49365234,
411,-0.7919922,0.16748047,-0.3623047,
423,-0.9033203,0.1796875,-0.3383789,
433,-0.7026367,-0.36132812,-0.5185547,
445,-0.4428711,-0.82714844,-0.86376953,
456,-0.40478516,-0.58447266,-1.0429688,
457,-0.77246094,-0.25195312,-1.0102539,
467,-1.284668,0.11767578,-0.9765625,
479,-1.2680664,0.3388672,-0.9291992,
490,-0.9511719,0.067871094,-1.0791016,
503,-0.7758789,-0.072753906,-1.1362305,
515,-0.73828125,-0.18261719,-1.1586914,
549,-0.8857422,-0.083496094,-1.0522461,
550,-0.46044922,-0.14111328,-0.9238281,
559,-0.33203125,-0.3881836,-0.8925781,
569,-0.28125,-0.43603516,-0.91503906,
580,-0.2763672,-0.31054688,-0.88623047,
593,-0.51220703,-0.083984375,-0.75097656,
603,-0.7607422,0.005859375,-0.6845703,
615,-0.90771484,-0.09423828,-0.70166016,
616,-0.9916992,-0.17578125,-0.6508789,
627,-0.9121094,-0.1796875,-0.58203125,
637,-0.8310547,-0.22851562,-0.5307617,
648,-0.76953125,-0.39892578,-0.46875,
659,-0.77001953,-0.6401367,-0.38476562,
670,-0.83740234,-0.79296875,-0.38330078,
682,-0.84228516,-0.75341797,-0.3720703,
694,-1.0024414,-0.59375,-0.4189453,
705,-0.88720703,-0.7504883,-0.5371094,
717,-0.76171875,-0.8095703,-0.61083984,
727,-0.69140625,-0.7583008,-0.5957031,
738,-0.62841797,-0.77490234,-0.6977539,
749,-0.5839844,-0.6826172,-0.87060547,
763,-0.6796875,-0.45898438,-1.0771484,
784,-0.6870117,-0.33544922,-1.3237305,
787,-0.68115234,-0.24169922,-1.5732422,
794,-0.8930664,0.01953125,-1.7592773,
798,-1.003418,0.017578125,-1.9770508,
807,-1.0532227,-0.041015625,-2.196289,
818,-1.0844727,-0.109375,-2.3393555,
829,-0.9926758,-0.3725586,-2.5493164,
841,-0.86035156,-0.45996094,-2.6831055,
852,-0.7988281,-0.56689453,-2.8706055,
854,-0.75341797,-0.6870117,-3.2509766,
862,-0.9199219,-0.78759766,-3.584961,
875,-1.2519531,-0.98339844,-3.7509766,
886,-1.6601562,-1.3525391,-3.8466797,
897,-2.1953125,-1.4516602,-3.640625,
909,-2.7734375,-1.2509766,-2.925293,
918,-3.0126953,-0.5107422,-1.5498047,
948,-1.9375,1.7084961,2.7216797,
949,-1.0776367,3.425293,3.4985352,
953,0.07714844,1.4672852,4.8881836,
969,-0.05126953,0.37402344,3.9731445,
976,-0.2998047,0.39208984,1.9785156,
986,-0.2602539,-0.083496094,-0.06738281,
997,0.2783203,-0.45898438,-1.5976562,
1007,0.7871094,-1.074707,-1.9824219,
1018,0.36621094,-0.64501953,-1.625,
1019,-0.03466797,0.23583984,-0.71191406,
1046,-0.390625,0.61035156,0.18261719,
1052,-0.25927734,0.7636719,0.32421875,
1065,0.049804688,0.7006836,0.47070312,
1075,0.21289062,0.48339844,0.59472656,
1086,0.17236328,0.14208984,0.52441406,
1098,0.10107422,-0.1665039,0.28271484,
1099,0.029785156,-0.21923828,0.03466797,
1109,0.019042969,-0.10498047,-0.100097656,
1121,0.014160156,0.012207031,-0.22607422,
1135,-4.8828125E-4,0.14697266,-0.3256836,
1144,0.00390625,0.27929688,-0.29541016,
1154,-0.005859375,0.3100586,-0.1953125,
1166,-0.030273438,0.2788086,-0.08496094,
1178,-0.0546875,0.22216797,0.0390625,
1179,-0.05810547,0.11230469,0.12109375,
1188,-0.053222656,0.029296875,0.118652344,
1198,-0.03564453,-0.011230469,0.06640625,
1211,-0.021972656,-0.032226562,0.024414062,
1222,-0.008300781,-0.03857422,-0.016113281,
1234,-0.0043945312,-0.024902344,-0.07080078,
1246,0.0048828125,0.0063476562,-0.099121094,
