time,heading,pitch,roll,yaw,
20,96.01385,156.44356,-60.31739,96.01385,
21,95.87705,156.16539,-60.68238,95.87705,
41,95.72396,155.9344,-61.01133,95.72396,
42,95.421684,155.50491,-61.585857,95.421684,
62,95.26401,155.292,-61.83321,95.26401,
63,95.13934,155.09338,-62.04145,95.13934,
72,95.006714,154.91512,-62.229996,95.006714,
81,94.90559,154.71025,-62.41122,94.90559,
93,94.85696,154.48438,-62.58293,94.85696,
106,94.79629,154.27101,-62.755905,94.79629,
108,94.727776,154.05885,-62.932766,94.727776,
116,94.711266,153.8245,-63.11163,94.711266,
128,94.70297,153.5816,-63.30256,94.70297,
138,94.6838,168.45398,-63.501152,94.6838,
149,94.71921,168.43706,-63.70498,94.71921,
160,94.856064,168.40083,-63.91908,94.856064,
172,95.06122,168.35085,-64.13687,95.06122,
183,95.25451,168.30603,-64.3479,95.25451,
187,95.4046,168.2765,-64.55331,95.4046,
195,95.53094,168.25725,-64.74498,95.53094,
205,95.8874,168.25304,-64.91584,95.8874,
217,95.9741,168.27095,-65.06538,95.9741,
228,96.188675,168.2759,-65.17877,96.188675,
240,96.61349,168.24437,-65.25217,96.61349,
251,97.30384,168.17635,-65.2812,97.30384,
262,98.09384,168.08011,-65.25444,98.09384,
264,98.98888,167.96706,-65.162674,98.98888,
273,99.920586,167.84924,-65.0089,99.920586,
285,100.87436,167.72673,-64.78813,100.87436,
307,101.73548,167.61847,-64.51088,101.73548,
308,102.41028,167.56413,-64.177124,102.41028,
318,102.88616,167.55876,-63.791286,102.88616,
329,103.52095,151.33348,-63.343124,103.52095,
341,103.72911,151.99088,-62.83759,103.72911,
343,103.77714,152.78766,-62.265575,103.77714,
353,103.76408,153.61644,-61.646084,103.76408,
364,103.97093,154.44017,-60.983974,103.97093,
375,103.88077,155.3295,-60.25452,103.88077,
386,103.753525,156.07678,-59.463776,103.753525,
398,103.918785,156.52,-58.629253,103.918785,
408,104.21801,157.01646,-57.75047,104.21801,
420,104.21592,157.58592,-56.896946,104.21592,
422,103.86677,158.35661,-56.072327,103.86677,
431,103.324394,159.25922,-55.21545,103.324394,
454,103.151474,159.94623,-54.355976,103.151474,
456,103.43804,160.33516,-53.542522,103.43804,
465,103.67725,160.68733,-52.742607,103.67725,
476,103.51808,161.21663,-51.92563,103.51808,
487,103.16174,161.79988,-51.146595,103.16174,
500,102.590866,162.46378,-50.395824,102.590866,
506,102.19838,163.03185,-49.69259,102.19838,
512,102.009964,163.46185,-49.03682,102.009964,
525,101.969795,163.75224,-48.46956,101.969795,
549,101.832466,164.10464,-47.909397,101.832466,
550,101.54979,164.5256,-47.36353,101.54979,
558,101.47984,164.84433,-46.842873,101.47984,
566,101.525856,165.03177,-46.366756,101.525856,
589,102.06754,165.10303,-45.963226,102.06754,
592,102.55525,165.25737,-45.5785,102.55525,
593,102.90443,165.50734,-45.20393,102.90443,
600,103.28816,165.75432,-44.864204,103.28816,
612,103.58448,165.98282,-44.527153,103.58448,
625,104.036224,166.1278,-44.189514,104.036224,
635,104.652725,166.1675,-43.87437,104.652725,
645,105.30145,166.16844,-43.553032,105.30145,
659,77.50517,165.95978,-42.836895,77.50517,
668,77.627106,165.8148,-42.46729,77.627106,
679,77.68885,165.66463,-42.11225,77.68885,
691,77.67525,165.45969,-41.772484,77.67525,
701,77.57563,165.15422,-41.452694,77.57563,
713,77.30041,164.94,-41.14917,77.30041,
724,76.64873,164.8718,-40.849102,76.64873,
736,76.117584,164.72403,-40.576733,76.117584,
737,75.46729,164.49088,-40.363407,75.46729,
747,74.64705,164.3068,-40.19163,74.64705,
761,73.648476,164.14581,-40.080444,73.648476,
770,72.7117,163.9337,-40.06758,72.7117,
782,71.79564,163.72867,-40.166237,71.79564,
796,70.94105,163.58357,-40.384384,70.94105,
807,69.851776,163.43204,-40.76541,69.851776,
816,69.21028,163.2152,-41.328033,69.21028,
818,68.72736,162.93398,-42.095825,68.72736,
837,103.62001,162.667,-43.116776,103.62001,
839,102.35837,162.3958,-44.382664,102.35837,
849,101.32669,161.9263,-45.900112,101.32669,
861,100.18649,161.33871,-47.7547,100.18649,
871,99.02388,160.57803,-49.929733,99.02388,
896,97.79459,159.61899,-52.41687,97.79459,
898,97.02797,158.14304,-55.21491,97.02797,
905,96.69878,155.97667,-58.37833,96.69878,
908,96.41632,153.00763,-61.829155,96.41632,
916,96.579346,167.52303,-65.609024,96.579346,
930,99.51364,166.97159,-69.47031,99.51364,
940,104.36696,166.39702,-72.19288,104.36696,
969,106.97686,166.48491,-73.20642,106.97686,
974,107.32246,166.58513,-72.923256,107.32246,
976,108.55679,166.34352,-72.10004,108.55679,
984,108.22861,166.37234,-70.9141,108.22861,
997,107.185875,166.69882,-69.89031,107.185875,
1004,107.46426,166.80608,-69.34642,107.46426,
1027,109.42108,166.49855,-69.19915,109.42108,
1045,110.85539,166.24603,-69.319115,110.85539,
1046,108.00934,166.95253,-70.20503,108.00934,
1049,106.03143,167.43274,-70.79387,106.03143,
1065,104.704926,167.803,-71.35778,104.704926,
1072,103.93063,168.11157,-71.88721,103.93063,
1084,103.752205,168.31755,-72.30886,103.752205,
1094,103.82591,168.44301,-72.57951,103.82591,
1106,103.78974,168.54512,-72.736435,103.78974,
1134,103.59267,168.62727,-72.81973,103.59267,
1135,103.25363,168.70581,-72.8705,103.25363,
1153,102.87312,168.77788,-72.91207,102.87312,
1155,102.59951,168.82507,-72.9591,102.59951,
1165,102.52689,168.8346,-73.02076,102.52689,
1166,102.66586,168.80424,-73.10629,102.66586,
1173,102.93814,168.74908,-73.21085,102.93814,
1185,103.30731,168.69017,-73.32945,103.30731,
1197,103.805504,168.61098,-73.43748,103.805504,
1198,104.35892,168.51764,-73.52851,104.35892,
1207,104.887794,168.41829,-73.596405,104.887794,
1218,105.297005,168.32054,-73.63774,105.297005,
1231,105.47641,168.23943,-73.654434,105.47641,
1246,105.45975,168.17506,-73.651,105.45975,
1255,105.410286,168.1041,-73.63051,105.410286,
1268,105.44981,168.01074,-73.598305,105.44981,
1279,105.59981,167.90135,-73.563416,105.59981,
1283,105.83247,167.78972,-73.53673,105.83247,
1288,106.104,167.68512,-73.52501,106.104,
1297,106.33222,167.59929,-73.53613,106.33222,
1308,106.43579,167.54456,-73.57508,106.43579,
1330,106.46212,167.5113,-73.641136,106.46212,
1333,106.51689,167.47476,-73.72184,106.51689,
1348,106.66756,167.41936,-73.80748,106.66756,
1355,106.85222,167.35818,-73.90741,106.85222,
1358,107.04339,167.29912,-74.02462,107.04339,
1366,107.19615,167.24608,-74.1518,107.19615,
1379,107.20983,167.21658,-74.275536,107.20983,
1391,107.400925,167.20267,-74.388336,107.400925,
1399,107.414894,167.20068,-74.47377,107.414894,
1413,107.32449,167.22679,-74.531,107.32449,
1423,107.07798,167.28168,-74.544685,107.07798,
1433,107.16111,167.32822,-74.47845,107.16111,
1435,107.45592,167.27931,-74.26192,107.45592,
1456,108.01166,167.15053,-73.83925,108.01166,
1458,108.32564,167.00899,-73.18642,108.32564,
1470,108.0518,166.93022,-72.31184,108.0518,
1481,107.237976,166.77328,-70.46625,107.237976,
1491,106.77839,166.495,-66.446724,106.77839,
1502,105.779976,150.92165,-62.905487,105.779976,
1514,109.29309,151.9012,-60.660286,109.29309,
1516,112.1017,152.30583,-59.157387,112.1017,
1525,107.85449,156.88748,-56.912964,107.85449,
1543,105.14218,158.80634,-54.642002,105.14218,
1552,101.7404,159.84995,-53.495956,101.7404,
1559,96.70753,163.06563,-52.320515,96.70753,
