time,x,y,z,
14,-1.0126953,-0.15820312,-0.09423828,
16,-1.0136719,-0.15673828,-0.095703125,
30,-1.0141602,-0.1538086,-0.095703125,
32,-1.0170898,-0.15527344,-0.09423828,
41,-1.015625,-0.1538086,-0.091796875,
44,-1.0151367,-0.15332031,-0.09082031,
53,-1.0141602,-0.15673828,-0.087402344,
65,-1.0161133,-0.15625,-0.07910156,
66,-1.0136719,-0.15576172,-0.072265625,
77,-1.012207,-0.1586914,-0.068359375,
86,-1.0136719,-0.16357422,-0.0703125,
109,-1.0126953,-0.16259766,-0.072753906,
120,-1.0126953,-0.16015625,-0.07470703,
122,-1.0151367,-0.15820312,-0.072265625,
132,-1.0175781,-0.15820312,-0.07128906,
135,-1.0175781,-0.15820312,-0.06982422,
144,-1.0166016,-0.1586914,-0.068359375,
154,-1.0170898,-0.16113281,-0.06640625,
156,-1.0151367,-0.16015625,-0.06738281,
166,-1.0146484,-0.16015625,-0.07128906,
177,-1.015625,-0.16064453,-0.06542969,
187,-1.0151367,-0.15820312,-0.063964844,
199,-1.0151367,-0.1616211,-0.064941406,
222,-1.0161133,-0.16259766,-0.064453125,
224,-1.0185547,-0.16113281,-0.068847656,
233,-1.0170898,-0.16113281,-0.06591797,
236,-1.0141602,-0.16113281,-0.06591797,
267,-1.0131836,-0.15771484,-0.067871094,
268,-1.0146484,-0.1538086,-0.072753906,
280,-1.0126953,-0.15478516,-0.071777344,
285,-1.0131836,-0.15673828,-0.07421875,
301,-1.0117188,-0.15820312,-0.07421875,
312,-1.0131836,-0.1586914,-0.07373047,
314,-1.0117188,-0.15966797,-0.071777344,
323,-1.0126953,-0.15625,-0.068847656,
334,-1.0141602,-0.16259766,-0.06298828,
338,-1.0131836,-0.16259766,-0.06201172,
347,-1.0146484,-0.16210938,-0.059570312,
358,-1.0151367,-0.16064453,-0.05517578,
373,-1.0131836,-0.16015625,-0.0546875,
391,-1.0146484,-0.1616211,-0.056640625,
392,-1.015625,-0.16259766,-0.056640625,
402,-1.015625,-0.16357422,-0.05517578,
414,-1.0146484,-0.16552734,-0.057128906,
424,-1.0166016,-0.16357422,-0.057128906,
426,-1.0161133,-0.1616211,-0.057128906,
448,-1.0161133,-0.16259766,-0.056640625,
450,-1.0146484,-0.1640625,-0.055664062,
459,-1.0141602,-0.16552734,-0.057617188,
469,-1.0126953,-0.16503906,-0.05859375,
471,-1.012207,-0.16259766,-0.061523438,
504,-1.0146484,-0.15966797,-0.060058594,
506,-1.0161133,-0.16113281,-0.06201172,
516,-1.0146484,-0.16210938,-0.06298828,
540,-1.0141602,-0.1616211,-0.061523438,
549,-1.0166016,-0.15966797,-0.060546875,
556,-1.0175781,-0.15966797,-0.0625,
560,-1.0185547,-0.16210938,-0.060546875,
562,-1.0166016,-0.16455078,-0.060546875,
572,-1.0126953,-0.16748047,-0.059570312,
604,-1.0136719,-0.1665039,-0.060058594,
606,-1.0126953,-0.16210938,-0.05859375,
617,-1.0141602,-0.16113281,-0.06298828,
618,-1.012207,-0.1640625,-0.06689453,
650,-1.0146484,-0.16259766,-0.064941406,
662,-1.0146484,-0.16455078,-0.06591797,
683,-1.0136719,-0.16552734,-0.063964844,
685,-1.0146484,-0.1665039,-0.06591797,
753,-1.0126953,-0.16748047,-0.06542969,
785,-1.0117188,-0.16748047,-0.064453125,
787,-1.0151367,-0.16357422,-0.064453125,
797,-1.0151367,-0.16259766,-0.064941406,
799,-1.0131836,-0.16455078,-0.0625,
814,-1.0136719,-0.16845703,-0.061523438,
819,-1.0131836,-0.17089844,-0.056640625,
820,-1.0126953,-0.16992188,-0.057128906,
830,-1.0141602,-0.17382812,-0.05810547,
831,-1.0117188,-0.171875,-0.055664062,
841,-1.0131836,-0.16503906,-0.053222656,
862,-1.012207,-0.16748047,-0.053222656,
864,-1.0136719,-0.171875,-0.057128906,
