time,x,y,z,
9,-0.9628906,-0.27539062,-0.10058594,
13,-0.9589844,-0.28710938,-0.099121094,
24,-0.94189453,-0.2890625,-0.100097656,
34,-0.94677734,-0.27978516,-0.09716797,
44,-0.9506836,-0.27441406,-0.095703125,
56,-0.9472656,-0.28271484,-0.104003906,
68,-0.94921875,-0.28759766,-0.10986328,
79,-0.94970703,-0.29785156,-0.12158203,
90,-0.9511719,-0.30615234,-0.12695312,
102,-0.9501953,-0.2993164,-0.12792969,
103,-0.9453125,-0.2993164,-0.12890625,
112,-0.9448242,-0.2998047,-0.12646484,
124,-0.95166016,-0.2841797,-0.119140625,
135,-0.95166016,-0.2685547,-0.11376953,
146,-0.9458008,-0.2626953,-0.115722656,
158,-0.9404297,-0.26904297,-0.12207031,
170,-0.9355469,-0.27490234,-0.12841797,
173,-0.9394531,-0.28125,-0.13769531,
181,-0.94140625,-0.2866211,-0.140625,
192,-0.94189453,-0.28271484,-0.13867188,
203,-0.9477539,-0.28320312,-0.13085938,
214,-0.9667969,-0.2890625,-0.12695312,
225,-0.96533203,-0.31347656,-0.13134766,
237,-0.9584961,-0.32470703,-0.1328125,
248,-0.9458008,-0.31884766,-0.13427734,
259,-0.9404297,-0.31201172,-0.13916016,
261,-0.9448242,-0.31054688,-0.1430664,
271,-0.9501953,-0.296875,-0.14746094,
282,-0.9580078,-0.29052734,-0.1508789,
293,-0.96435547,-0.29101562,-0.1508789,
304,-0.9550781,-0.2915039,-0.14892578,
315,-0.94189453,-0.2919922,-0.1508789,
327,-0.9379883,-0.27978516,-0.14208984,
339,-0.9423828,-0.265625,-0.125,
344,-0.94091797,-0.25683594,-0.10839844,
350,-0.9428711,-0.25878906,-0.09863281,
360,-0.94921875,-0.26757812,-0.0859375,
372,-0.95654297,-0.27148438,-0.072265625,
383,-0.9633789,-0.2783203,-0.07714844,
394,-0.96435547,-0.2841797,-0.084472656,
405,-0.95996094,-0.28222656,-0.091308594,
417,-0.95214844,-0.2866211,-0.099609375,
419,-0.95166016,-0.2841797,-0.10644531,
428,-0.9501953,-0.27441406,-0.10644531,
439,-0.9458008,-0.27490234,-0.10595703,
451,-0.94433594,-0.28125,-0.111328125,
462,-0.9511719,-0.28271484,-0.11230469,
473,-0.9526367,-0.27978516,-0.111816406,
484,-0.9477539,-0.2861328,-0.111328125,
497,-0.9482422,-0.2866211,-0.11328125,
500,-0.94873047,-0.28857422,-0.11669922,
510,-0.9477539,-0.2939453,-0.12109375,
537,-0.94140625,-0.28759766,-0.1274414,
538,-0.9448242,-0.28857422,-0.1303711,
543,-0.9472656,-0.28808594,-0.12988281,
552,-0.9482422,-0.2944336,-0.12597656,
564,-0.94628906,-0.2939453,-0.12890625,
575,-0.9433594,-0.2836914,-0.12158203,
577,-0.94970703,-0.28759766,-0.11621094,
586,-0.9584961,-0.28710938,-0.11328125,
597,-0.95458984,-0.28955078,-0.11230469,
609,-0.9458008,-0.2836914,-0.106933594,
620,-0.9404297,-0.28271484,-0.10644531,
631,-0.9394531,-0.28173828,-0.10546875,
644,-0.94091797,-0.28710938,-0.11328125,
656,-0.94384766,-0.28564453,-0.11621094,
668,-0.9550781,-0.28222656,-0.111328125,
672,-0.9604492,-0.296875,-0.10839844,
677,-0.9560547,-0.2939453,-0.111328125,
688,-0.9663086,-0.30419922,-0.115722656,
703,-0.97021484,-0.3125,-0.114746094,
710,-0.9501953,-0.3076172,-0.118652344,
722,-0.93359375,-0.2998047,-0.11816406,
733,-0.9345703,-0.28076172,-0.111816406,
744,-0.9375,-0.27148438,-0.11279297,
754,-0.9326172,-0.28759766,-0.115722656,
765,-0.9555664,-0.2939453,-0.119628906,
777,-0.96484375,-0.30810547,-0.12597656,
788,-0.9584961,-0.31835938,-0.13085938,
800,-0.9536133,-0.3095703,-0.12939453,
811,-0.95214844,-0.2919922,-0.12451172,
824,-0.94873047,-0.27539062,-0.11425781,
827,-0.9477539,-0.2607422,-0.10107422,
833,-0.94140625,-0.27734375,-0.09814453,
844,-0.9375,-0.29052734,-0.09814453,
856,-0.9536133,-0.29541016,-0.09863281,
867,-0.96435547,-0.30078125,-0.10107422,
878,-0.95166016,-0.30419922,-0.104003906,
889,-0.9453125,-0.30078125,-0.107421875,
901,-0.95166016,-0.2890625,-0.10498047,
903,-0.9550781,-0.27685547,-0.104003906,
913,-0.9526367,-0.27539062,-0.10888672,
923,-0.94189453,-0.2861328,-0.111816406,
935,-0.92871094,-0.29492188,-0.11425781,
946,-0.9326172,-0.29882812,-0.11376953,
957,-0.94677734,-0.296875,-0.111816406,
968,-0.95458984,-0.29882812,-0.111328125,
980,-0.9638672,-0.29492188,-0.1171875,
982,-0.96435547,-0.2861328,-0.12060547,
999,-0.96777344,-0.2836914,-0.12402344,
1002,-0.96191406,-0.2861328,-0.12646484,
1013,-0.94140625,-0.2998047,-0.12695312,
1033,-0.9326172,-0.30078125,-0.12451172,
1036,-0.9379883,-0.30029297,-0.115722656,
1046,-0.9458008,-0.29785156,-0.11035156,
1059,-0.9482422,-0.29638672,-0.11279297,
1061,-0.95410156,-0.29541016,-0.11230469,
1069,-0.9555664,-0.29833984,-0.1171875,
1081,-0.9526367,-0.29785156,-0.12451172,
1092,-0.9448242,-0.30029297,-0.13867188,
1105,-0.94873047,-0.3100586,-0.13378906,
1116,-0.94677734,-0.2939453,-0.12207031,
1127,-0.94628906,-0.2866211,-0.1171875,
1138,-0.95166016,-0.30371094,-0.11376953,
1150,-0.9550781,-0.2939453,-0.11425781,
1152,-0.9511719,-0.29101562,-0.114746094,
1161,-0.9482422,-0.2841797,-0.10595703,
1173,-0.95458984,-0.27001953,-0.104003906,
1183,-0.9511719,-0.2734375,-0.099609375,
1195,-0.94384766,-0.27685547,-0.09863281,
1205,-0.9404297,-0.27001953,-0.09863281,
1217,-0.9472656,-0.26464844,-0.09765625,
1239,-0.95703125,-0.25634766,-0.095214844,
1243,-0.9614258,-0.28125,-0.111816406,
1251,-0.9658203,-0.2861328,-0.115234375,
1260,-0.9526367,-0.28271484,-0.119140625,
1272,-0.9506836,-0.26464844,-0.1015625,
1284,-0.9458008,-0.26757812,-0.08544922,
1296,-0.9458008,-0.27392578,-0.080078125,
1308,-0.9526367,-0.27392578,-0.076660156,
1311,-0.9536133,-0.2705078,-0.07421875,
1318,-0.9511719,-0.26708984,-0.07470703,
1330,-0.94873047,-0.2734375,-0.076660156,
1341,-0.9536133,-0.27246094,-0.078125,
1353,-0.95947266,-0.2680664,-0.08105469,
1364,-0.9589844,-0.27197266,-0.08105469,
1375,-0.9555664,-0.27197266,-0.0859375,
1386,-0.94873047,-0.2763672,-0.088378906,
1389,-0.95410156,-0.28125,-0.091796875,
1399,-0.9560547,-0.2866211,-0.09765625,
1409,-0.953125,-0.2866211,-0.100097656,
1420,-0.9536133,-0.28710938,-0.10107422,
1444,-0.95166016,-0.29248047,-0.10253906,
1446,-0.94873047,-0.29345703,-0.103515625,
1453,-0.9472656,-0.28466797,-0.100097656,
1465,-0.9477539,-0.28076172,-0.09472656,
1468,-0.9506836,-0.27441406,-0.09033203,
1476,-0.9526367,-0.27148438,-0.09033203,
1487,-0.953125,-0.2763672,-0.08496094,
1499,-0.9511719,-0.27734375,-0.083984375,
1510,-0.95458984,-0.27197266,-0.08300781,
1538,-0.95410156,-0.27685547,-0.08935547,
1539,-0.9555664,-0.27978516,-0.09082031,
1552,-0.95166016,-0.27783203,-0.09277344,
1564,-0.9526367,-0.28125,-0.08935547,
1567,-0.95410156,-0.27978516,-0.088378906,
1569,-0.953125,-0.2788086,-0.08886719,
1575,-0.9472656,-0.28027344,-0.09082031,
1586,-0.9501953,-0.28173828,-0.08935547,
1597,-0.95410156,-0.28222656,-0.087890625,
1609,-0.953125,-0.28222656,-0.091796875,
1620,-0.9555664,-0.29345703,-0.09667969,
1632,-0.9584961,-0.28857422,-0.09765625,
1633,-0.9580078,-0.2939453,-0.099609375,
1644,-0.96191406,-0.2993164,-0.10058594,
1657,-0.95214844,-0.29541016,-0.09814453,
1667,-0.9458008,-0.29638672,-0.09765625,
1678,-0.94628906,-0.29296875,-0.08544922,
1690,-0.9458008,-0.2919922,-0.076660156,
1700,-0.94628906,-0.28710938,-0.06933594,
1712,-0.94628906,-0.28564453,-0.06933594,
1714,-0.94873047,-0.29248047,-0.07421875,
1721,-0.9501953,-0.29345703,-0.08251953,
1733,-0.9501953,-0.2915039,-0.09033203,
1744,-0.95458984,-0.29296875,-0.08935547,
1755,-0.9526367,-0.29101562,-0.08984375,
1766,-0.9458008,-0.29003906,-0.08935547,
1778,-0.94433594,-0.29882812,-0.09277344,
1788,-0.9428711,-0.30322266,-0.091796875,
1790,-0.9458008,-0.2998047,-0.09277344,
1800,-0.94873047,-0.29882812,-0.091308594,
1811,-0.9477539,-0.29492188,-0.08544922,
1822,-0.9458008,-0.29101562,-0.078125,
1834,-0.94189453,-0.29296875,-0.07763672,
1845,-0.9404297,-0.29052734,-0.08105469,
1856,-0.9423828,-0.2861328,-0.078125,
1869,-0.9458008,-0.29052734,-0.08105469,
1876,-0.95654297,-0.28710938,-0.08154297,
1881,-0.9501953,-0.30029297,-0.0859375,
1893,-0.9472656,-0.30273438,-0.08642578,
1903,-0.95458984,-0.29638672,-0.0859375,
1915,-0.9526367,-0.30859375,-0.09472656,
1926,-0.9506836,-0.31054688,-0.096191406,
1938,-0.9428711,-0.31298828,-0.09863281,
1949,-0.9404297,-0.3154297,-0.09667969,
1962,-0.9448242,-0.30615234,-0.09472656,
1964,-0.9526367,-0.29589844,-0.092285156,
1971,-0.9584961,-0.29785156,-0.09472656,
1982,-0.9501953,-0.30908203,-0.09765625,
1994,-0.93603516,-0.3232422,-0.09814453,
2005,-0.9370117,-0.31591797,-0.09033203,
2016,-0.94628906,-0.2993164,-0.08544922,
2049,-0.9458008,-0.2915039,-0.08154297,
2050,-0.9433594,-0.29296875,-0.084472656,
2054,-0.93603516,-0.30371094,-0.083984375,
2064,-0.94189453,-0.30371094,-0.084472656,
2071,-0.94921875,-0.30273438,-0.087402344,
2081,-0.9472656,-0.29541016,-0.08691406,
2093,-0.94433594,-0.29345703,-0.08544922,
2104,-0.94384766,-0.29345703,-0.083496094,
2116,-0.9472656,-0.2919922,-0.075683594,
2117,-0.9501953,-0.29785156,-0.07080078,
2127,-0.9526367,-0.29736328,-0.07128906,
2138,-0.9501953,-0.2915039,-0.07714844,
2149,-0.9501953,-0.29589844,-0.078125,
2161,-0.95410156,-0.29638672,-0.07861328,
2172,-0.9555664,-0.28955078,-0.07519531,
2183,-0.95410156,-0.2919922,-0.07373047,
2196,-0.95458984,-0.2939453,-0.072265625,
2199,-0.95654297,-0.29003906,-0.07324219,
2208,-0.9511719,-0.29541016,-0.08105469,
2219,-0.94873047,-0.29785156,-0.080078125,
2231,-0.94433594,-0.30029297,-0.08544922,
2255,-0.93603516,-0.30126953,-0.083496094,
2257,-0.94091797,-0.29589844,-0.079589844,
2264,-0.95458984,-0.2861328,-0.08251953,
2275,-0.95996094,-0.28320312,-0.0859375,
2278,-0.9526367,-0.28808594,-0.087890625,
2286,-0.94677734,-0.2944336,-0.087402344,
2297,-0.94628906,-0.29345703,-0.091308594,
2308,-0.94628906,-0.28564453,-0.084472656,
2320,-0.95458984,-0.28710938,-0.08496094,
2331,-0.9614258,-0.29003906,-0.08886719,
2342,-0.94970703,-0.29589844,-0.08984375,
2354,-0.94091797,-0.30273438,-0.087402344,
2357,-0.94873047,-0.30322266,-0.0859375,
2365,-0.9526367,-0.29638672,-0.08642578,
2375,-0.9550781,-0.29248047,-0.083496094,
2399,-0.9560547,-0.29736328,-0.088378906,
2401,-0.95458984,-0.2998047,-0.09277344,
2410,-0.9458008,-0.30615234,-0.095703125,
2421,-0.94970703,-0.30322266,-0.09716797,
2432,-0.95751953,-0.2939453,-0.096191406,
2444,-0.9667969,-0.29296875,-0.10107422,
2447,-0.9213867,-0.3022461,-0.12207031,
2455,-0.9472656,-0.25683594,-0.07519531,
2465,-0.9614258,-0.26123047,-0.06347656,
2477,-0.9477539,-0.28710938,-0.07324219,
2488,-0.9604492,-0.29003906,-0.068847656,
2500,-0.9589844,-0.2763672,-0.06689453,
2511,-0.95166016,-0.27685547,-0.0703125,
2528,-0.94873047,-0.28320312,-0.071777344,
2545,-0.9555664,-0.28222656,-0.072265625,
2546,-0.9589844,-0.28271484,-0.068847656,
2547,-0.95654297,-0.28173828,-0.06640625,
2561,-0.95214844,-0.27734375,-0.064941406,
2567,-0.95166016,-0.2758789,-0.064941406,
2577,-0.9604492,-0.28271484,-0.071777344,
2588,-0.9609375,-0.2915039,-0.07519531,
2600,-0.95166016,-0.28955078,-0.07324219,
2601,-0.9506836,-0.2861328,-0.07080078,
2611,-0.9526367,-0.28564453,-0.06689453,
2622,-0.9584961,-0.28173828,-0.061035156,
2633,-0.9609375,-0.27929688,-0.067871094,
2645,-0.9604492,-0.2705078,-0.06689453,
2657,-0.95410156,-0.2680664,-0.07324219,
2670,-0.95214844,-0.27490234,-0.078125,
2680,-0.96191406,-0.27001953,-0.068359375,
2684,-0.9609375,-0.2578125,-0.059570312,
2693,-0.95410156,-0.25195312,-0.060058594,
2701,-0.9560547,-0.25927734,-0.052734375,
2713,-0.94873047,-0.27148438,-0.053710938,
2725,-0.9458008,-0.2705078,-0.05078125,
2736,-0.9536133,-0.27783203,-0.05126953,
2747,-0.95996094,-0.28222656,-0.055664062,
2758,-0.9589844,-0.27734375,-0.053222656,
2760,-0.94970703,-0.2758789,-0.055664062,
2772,-0.95214844,-0.27001953,-0.05908203,
2781,-0.96533203,-0.27685547,-0.0625,
2792,-0.95654297,-0.2836914,-0.072753906,
2804,-0.96484375,-0.27294922,-0.076660156,
2815,-0.95410156,-0.2783203,-0.08496094,
2825,-0.9453125,-0.30322266,-0.09423828,
2840,-0.9506836,-0.29541016,-0.083496094,
2849,-0.9477539,-0.27783203,-0.075683594,
2853,-0.9453125,-0.28173828,-0.07861328,
2860,-0.95214844,-0.28808594,-0.076660156,
2871,-0.9511719,-0.2866211,-0.076171875,
2882,-0.9477539,-0.29248047,-0.07861328,
2893,-0.94921875,-0.29003906,-0.079589844,
2905,-0.9511719,-0.28564453,-0.078125,
2917,-0.95458984,-0.28076172,-0.072265625,
2929,-0.95996094,-0.27978516,-0.07324219,
2933,-0.9526367,-0.2890625,-0.079589844,
2940,-0.94433594,-0.29345703,-0.076171875,
2950,-0.9448242,-0.30371094,-0.076171875,
2968,-0.9448242,-0.30615234,-0.07763672,
2972,-0.95214844,-0.2939453,-0.072265625,
2982,-0.95703125,-0.28515625,-0.06689453,
2993,-0.9555664,-0.28222656,-0.06933594,
3005,-0.9511719,-0.28222656,-0.071777344,
3006,-0.9482422,-0.2915039,-0.080566406,
3016,-0.94970703,-0.29638672,-0.07910156,
3027,-0.9536133,-0.30078125,-0.08105469,
3046,-0.953125,-0.29833984,-0.08105469,
3051,-0.94628906,-0.29638672,-0.07861328,
3062,-0.94091797,-0.29833984,-0.080566406,
3072,-0.94677734,-0.2993164,-0.078125,
3083,-0.953125,-0.29492188,-0.07763672,
3085,-0.94970703,-0.29248047,-0.083496094,
3094,-0.9428711,-0.29541016,-0.087890625,
3106,-0.94433594,-0.30029297,-0.08935547,
3117,-0.94873047,-0.30517578,-0.09326172,
3128,-0.95410156,-0.30566406,-0.09082031,
3140,-0.9609375,-0.29248047,-0.083496094,
3154,-0.9506836,-0.29052734,-0.083496094,
3163,-0.94384766,-0.30419922,-0.08935547,
3165,-0.94970703,-0.30078125,-0.083496094,
3175,-0.9511719,-0.29052734,-0.07763672,
3185,-0.94873047,-0.29345703,-0.07714844,
3196,-0.95166016,-0.29589844,-0.068847656,
3219,-0.9477539,-0.30273438,-0.076171875,
3223,-0.95214844,-0.30859375,-0.076171875,
3230,-0.95214844,-0.3076172,-0.07373047,
3241,-0.94970703,-0.30078125,-0.07421875,
3253,-0.9482422,-0.296875,-0.07519531,
3255,-0.9477539,-0.2919922,-0.07421875,
3264,-0.95166016,-0.2836914,-0.07714844,
3276,-0.94628906,-0.2836914,-0.07714844,
3288,-0.94384766,-0.29248047,-0.07910156,
3299,-0.9472656,-0.29248047,-0.07910156,
3313,-0.9526367,-0.29541016,-0.07910156,
3321,-0.9501953,-0.296875,-0.079589844,
3333,-0.9482422,-0.2919922,-0.07861328,
3335,-0.9501953,-0.2919922,-0.072753906,
3344,-0.9453125,-0.2939453,-0.071777344,
3356,-0.9453125,-0.2890625,-0.0703125,
3367,-0.95214844,-0.29101562,-0.06738281,
3377,-0.9604492,-0.28466797,-0.067871094,
3389,-0.95214844,-0.2890625,-0.075683594,
3400,-0.94140625,-0.3022461,-0.078125,
3414,-0.93896484,-0.3046875,-0.07763672,
3417,-0.9404297,-0.30517578,-0.08105469,
3422,-0.9472656,-0.30273438,-0.08105469,
3434,-0.9550781,-0.29296875,-0.080078125,
3445,-0.9477539,-0.29296875,-0.08691406,
3456,-0.9404297,-0.30029297,-0.09033203,
3468,-0.9394531,-0.30615234,-0.09423828,
3478,-0.9399414,-0.3100586,-0.096191406,
3490,-0.9433594,-0.31201172,-0.08984375,
3493,-0.94677734,-0.3046875,-0.083496094,
3502,-0.95214844,-0.29882812,-0.083984375,
3514,-0.95166016,-0.29492188,-0.08105469,
3524,-0.94970703,-0.2944336,-0.08251953,
3554,-0.9433594,-0.3076172,-0.09326172,
3555,-0.94433594,-0.31298828,-0.09375,
3558,-0.9448242,-0.31054688,-0.09472656,
3571,-0.94921875,-0.31201172,-0.095214844,
3580,-0.95166016,-0.3046875,-0.09277344,
3594,-0.9472656,-0.2993164,-0.087890625,
3596,-0.9428711,-0.30029297,-0.087402344,
3602,-0.9477539,-0.29882812,-0.088378906,
3612,-0.9453125,-0.3017578,-0.091308594,
3623,-0.94189453,-0.3046875,-0.08886719,
3634,-0.9423828,-0.30566406,-0.09033203,
3646,-0.9477539,-0.30615234,-0.09033203,
3648,-0.9501953,-0.3022461,-0.09082031,
3659,-0.94677734,-0.29638672,-0.087890625,
3670,-0.9472656,-0.29785156,-0.08691406,
3681,-0.9453125,-0.29589844,-0.087402344,
3693,-0.94677734,-0.2944336,-0.09277344,
3703,-0.95214844,-0.29638672,-0.091796875,
3715,-0.95166016,-0.29345703,-0.091796875,
3725,-0.94384766,-0.2998047,-0.095703125,
3737,-0.9428711,-0.30615234,-0.09472656,
3742,-0.9453125,-0.30371094,-0.09277344,
3750,-0.94873047,-0.30126953,-0.09472656,
3760,-0.9536133,-0.29492188,-0.09033203,
3770,-0.9550781,-0.2919922,-0.09326172,
3782,-0.9555664,-0.2919922,-0.09667969,
3792,-0.953125,-0.2998047,-0.09716797,
3804,-0.9536133,-0.29638672,-0.09667969,
3815,-0.9482422,-0.2998047,-0.10449219,
3817,-0.9453125,-0.30566406,-0.10888672,
3827,-0.9423828,-0.3046875,-0.09716797,
3839,-0.9448242,-0.30810547,-0.091796875,
3850,-0.9526367,-0.2915039,-0.08544922,
3861,-0.9555664,-0.2758789,-0.07763672,
3872,-0.953125,-0.27490234,-0.08300781,
3883,-0.9448242,-0.28564453,-0.09375,
3897,-0.9423828,-0.28515625,-0.09814453,
3899,-0.94140625,-0.29003906,-0.1015625,
3907,-0.94433594,-0.29052734,-0.10253906,
3918,-0.94970703,-0.2861328,-0.10058594,
3928,-0.95166016,-0.28320312,-0.100097656,
3941,-0.95458984,-0.28564453,-0.10644531,
3951,-0.9628906,-0.28222656,-0.10595703,
3962,-0.95703125,-0.28222656,-0.114746094,
3974,-0.9477539,-0.29492188,-0.12011719,
3977,-0.9453125,-0.29882812,-0.11767578,
3986,-0.9428711,-0.30126953,-0.12060547,
3997,-0.94628906,-0.30029297,-0.115234375,
4007,-0.95166016,-0.2939453,-0.109375,
4018,-0.95458984,-0.28564453,-0.10986328,
4035,-0.94921875,-0.2836914,-0.111328125,
4062,-0.94677734,-0.2861328,-0.10986328,
4063,-0.9511719,-0.2861328,-0.11230469,
4064,-0.9584961,-0.28222656,-0.107421875,
4068,-0.9614258,-0.2758789,-0.103515625,
4075,-0.9506836,-0.27539062,-0.10644531,
4085,-0.9453125,-0.2866211,-0.10253906,
4096,-0.9477539,-0.29052734,-0.1015625,
4107,-0.95751953,-0.28222656,-0.10449219,
4118,-0.96533203,-0.27783203,-0.10644531,
4130,-0.95458984,-0.2788086,-0.107421875,
4154,-0.9477539,-0.2763672,-0.107421875,
4155,-0.94970703,-0.27246094,-0.10595703,
4158,-0.95703125,-0.27246094,-0.103515625,
4165,-0.9633789,-0.265625,-0.099609375,
4175,-0.96240234,-0.2685547,-0.10058594,
4186,-0.95166016,-0.2788086,-0.1015625,
4197,-0.94091797,-0.28173828,-0.1015625,
4209,-0.94628906,-0.2758789,-0.09814453,
4220,-0.9580078,-0.2705078,-0.095214844,
4222,-0.9658203,-0.2685547,-0.09716797,
4233,-0.9638672,-0.27197266,-0.10253906,
4243,-0.95654297,-0.2758789,-0.10986328,
4254,-0.95166016,-0.27734375,-0.11279297,
4265,-0.9482422,-0.27294922,-0.107421875,
4276,-0.9511719,-0.2705078,-0.1015625,
4287,-0.9536133,-0.2709961,-0.09765625,
4299,-0.9526367,-0.27392578,-0.09423828,
4300,-0.95703125,-0.2734375,-0.092285156,
4311,-0.9609375,-0.2685547,-0.09423828,
4321,-0.95703125,-0.2680664,-0.09716797,
4332,-0.95214844,-0.27001953,-0.104003906,
4343,-0.94970703,-0.2783203,-0.11035156,
4355,-0.94970703,-0.28222656,-0.11230469,
4368,-0.95166016,-0.28125,-0.11230469,
4391,-0.95458984,-0.28320312,-0.11035156,
4396,-0.95654297,-0.28125,-0.11035156,
4404,-0.9511719,-0.2841797,-0.110839844,
4414,-0.9482422,-0.28759766,-0.110839844,
4422,-0.95166016,-0.28710938,-0.11425781,
4433,-0.95654297,-0.2866211,-0.11230469,
4444,-0.95751953,-0.28271484,-0.10839844,
4455,-0.95410156,-0.28076172,-0.10644531,
4456,-0.9526367,-0.2783203,-0.10888672,
4466,-0.95751953,-0.2734375,-0.10253906,
4477,-0.95751953,-0.2734375,-0.099121094,
4489,-0.9511719,-0.27783203,-0.099609375,
4524,-0.9472656,-0.27734375,-0.096191406,
4526,-0.9555664,-0.27392578,-0.09375,
4527,-0.953125,-0.2788086,-0.09277344,
4565,-0.95703125,-0.27685547,-0.09326172,
4569,-0.95458984,-0.2763672,-0.09863281,
4571,-0.9536133,-0.27246094,-0.096191406,
4576,-0.9555664,-0.2705078,-0.09667969,
4591,-0.95166016,-0.27441406,-0.09765625,
4594,-0.9511719,-0.2866211,-0.09863281,
4602,-0.9550781,-0.29052734,-0.103027344,
4613,-0.9614258,-0.2788086,-0.099609375,
4624,-0.953125,-0.28125,-0.09716797,
4625,-0.9506836,-0.2836914,-0.10107422,
4635,-0.94970703,-0.28515625,-0.10644531,
4648,-0.9482422,-0.28759766,-0.103515625,
4658,-0.94873047,-0.2866211,-0.10107422,
4670,-0.9482422,-0.28515625,-0.09814453,
4681,-0.9506836,-0.28125,-0.099609375,
4692,-0.9589844,-0.2763672,-0.095703125,
4703,-0.95703125,-0.2705078,-0.092285156,
4704,-0.9501953,-0.2763672,-0.088378906,
4716,-0.9448242,-0.2866211,-0.087890625,
4728,-0.94628906,-0.2836914,-0.083984375,
4738,-0.953125,-0.28076172,-0.080078125,
4749,-0.95703125,-0.28027344,-0.083984375,
4761,-0.9580078,-0.28027344,-0.087402344,
4773,-0.9526367,-0.28222656,-0.09472656,
4783,-0.94189453,-0.29492188,-0.10546875,
4795,-0.94921875,-0.2939453,-0.103515625,
4809,-0.96191406,-0.29003906,-0.104003906,
4812,-0.95458984,-0.29589844,-0.107910156,
4817,-0.9506836,-0.30273438,-0.107421875,
4841,-0.95654297,-0.31103516,-0.10546875,
4842,-0.95458984,-0.30126953,-0.10058594,
4851,-0.9458008,-0.28564453,-0.09375,
4863,-0.9404297,-0.28173828,-0.08691406,
4865,-0.9448242,-0.28808594,-0.08105469,
4877,-0.9511719,-0.2861328,-0.076171875,
4885,-0.95410156,-0.27978516,-0.06689453,
4896,-0.95947266,-0.27685547,-0.071777344,
4907,-0.95214844,-0.27685547,-0.076171875,
4919,-0.9394531,-0.2861328,-0.07910156,
4931,-0.9458008,-0.29248047,-0.083496094,
4941,-0.94677734,-0.2944336,-0.08544922,
4952,-0.95214844,-0.28173828,-0.083496094,
4954,-0.9580078,-0.27929688,-0.08935547,
4963,-0.94628906,-0.28125,-0.09082031,
4974,-0.9404297,-0.28710938,-0.08935547,
4986,-0.9433594,-0.29345703,-0.09033203,
4997,-0.95654297,-0.29296875,-0.08691406,
5019,-0.9638672,-0.28320312,-0.08251953,
5022,-0.9550781,-0.2788086,-0.08251953,
5030,-0.94873047,-0.2836914,-0.08496094,
5032,-0.9433594,-0.2919922,-0.083984375,
5060,-0.9453125,-0.28710938,-0.079589844,
5061,-0.953125,-0.27978516,-0.07763672,
5062,-0.9589844,-0.28466797,-0.08544922,
5074,-0.9604492,-0.2866211,-0.096191406,
5085,-0.9550781,-0.2919922,-0.106933594,
5096,-0.9355469,-0.32177734,-0.12646484,
5108,-0.9379883,-0.3203125,-0.118652344,
5109,-0.9448242,-0.30810547,-0.107910156,
