time,heading,pitch,roll,yaw,
9,208.59874,164.48137,-73.72629,208.59874,
14,208.54787,164.49254,-73.737755,208.54787,
24,208.50502,164.49548,-73.74363,208.50502,
35,208.50961,164.4921,-73.742065,208.50961,
45,208.51292,164.49039,-73.742325,208.51292,
56,208.50514,164.48833,-73.739716,208.50514,
68,208.49992,164.48491,-73.73431,208.49992,
80,208.50006,164.47838,-73.72445,208.50006,
102,208.53499,164.46118,-73.70138,208.53499,
104,208.55438,164.45938,-73.69653,208.55438,
113,208.58751,164.45636,-73.69057,208.58751,
125,208.62936,164.45328,-73.68595,208.62936,
136,208.6542,164.45415,-73.68654,208.6542,
147,208.6541,164.4614,-73.69279,208.6541,
159,208.6404,164.46272,-73.69062,208.6404,
172,208.61131,164.46515,-73.69062,208.61131,
173,208.58061,164.46771,-73.69062,208.58061,
182,208.54907,164.4724,-73.69208,208.54907,
193,208.52013,164.47687,-73.69339,208.52013,
204,208.49161,164.48094,-73.69466,208.49161,
215,208.45938,164.48468,-73.6956,208.45938,
226,208.42415,164.48749,-73.69537,208.42415,
238,208.40959,164.48871,-73.69537,208.40959,
248,208.4191,164.48792,-73.69537,208.4191,
260,208.44632,164.48561,-73.69537,208.44632,
262,208.4843,164.4824,-73.69537,208.4843,
271,208.53363,164.47826,-73.69537,208.53363,
282,208.58165,164.47287,-73.69539,208.58165,
294,208.62459,164.46915,-73.69696,208.62459,
304,208.66,164.47192,-73.7051,208.66,
316,208.70927,164.46773,-73.70691,208.70927,
327,208.77373,164.46393,-73.70991,208.77373,
340,208.83975,164.46266,-73.71719,208.83975,
344,208.8919,164.46564,-73.7296,208.8919,
350,208.93436,164.46184,-73.73384,208.93436,
361,208.95851,164.45955,-73.73806,208.95851,
372,208.975,164.45792,-73.74174,208.975,
384,208.97113,164.45792,-73.74558,208.97113,
395,208.96692,164.45792,-73.74976,208.96692,
406,208.96356,164.45792,-73.75307,208.96356,
418,208.98218,164.45035,-73.746704,208.98218,
420,209.01466,164.44565,-73.74762,209.01466,
428,209.05524,164.44144,-73.74933,209.05524,
440,209.09955,164.43639,-73.75012,209.09955,
451,209.14572,164.43007,-73.74891,209.14572,
463,209.20009,164.42168,-73.74573,209.20009,
474,209.24892,164.41296,-73.74168,209.24892,
485,209.28679,164.40381,-73.736,209.28679,
499,209.31424,164.39528,-73.72994,209.31424,
502,209.32747,164.38774,-73.723495,209.32747,
510,209.33485,164.38033,-73.716446,209.33485,
538,209.3336,164.37405,-73.70977,209.3336,
539,209.33076,164.36874,-73.70378,209.33076,
548,209.32516,164.36449,-73.69849,209.32516,
553,209.30733,164.3661,-73.70028,209.30733,
565,209.29721,164.36693,-73.70186,209.29721,
576,209.30255,164.36156,-73.6965,209.30255,
578,209.29852,164.35611,-73.692474,209.29852,
587,209.29086,164.35211,-73.69019,209.29086,
598,209.28741,164.34676,-73.68642,209.28741,
610,209.29236,164.34164,-73.68209,209.29236,
622,209.29698,164.33678,-73.67822,209.29698,
632,209.30115,164.3323,-73.67495,209.30115,
645,209.2889,164.32935,-73.67152,209.2889,
658,209.2691,164.33217,-73.67507,209.2691,
671,209.24855,164.33624,-73.678276,209.24855,
672,209.21837,164.3396,-73.68178,209.21837,
679,209.1931,164.33662,-73.6793,209.1931,
701,209.1588,164.33911,-73.682335,209.1588,
704,209.1306,164.34026,-73.68507,209.1306,
714,209.11505,164.34007,-73.685844,209.11505,
722,209.11633,164.33887,-73.684814,209.11633,
733,209.12263,164.33835,-73.68489,209.12263,
744,209.11676,164.34195,-73.69085,209.11676,
745,209.09348,164.3436,-73.69268,209.09348,
754,209.0629,164.3458,-73.69481,209.0629,
766,209.03722,164.3476,-73.69714,209.03722,
779,209.01038,164.34944,-73.69996,209.01038,
789,208.99106,164.3507,-73.70279,208.99106,
800,208.98824,164.3507,-73.70545,208.98824,
812,208.99295,164.3501,-73.7081,208.99295,
826,208.99686,164.34956,-73.710915,208.99686,
829,208.99403,164.34958,-73.713554,208.99403,
834,208.97394,164.35088,-73.716515,208.97394,
845,208.956,164.35197,-73.71981,208.956,
856,208.94423,164.35265,-73.72261,208.94423,
868,208.93164,164.35379,-73.72745,208.93164,
878,208.92015,164.35358,-73.73071,208.92015,
890,208.92155,164.35219,-73.73045,208.92155,
902,208.92905,164.3516,-73.73126,208.92905,
903,208.93578,164.35326,-73.73466,208.93578,
914,208.93071,164.35788,-73.74023,208.93071,
924,208.91971,164.36111,-73.74339,208.91971,
936,208.91936,164.3614,-73.74385,208.91936,
947,208.91962,164.36116,-73.74374,208.91962,
958,208.91243,164.3614,-73.74358,208.91243,
970,208.89093,164.3625,-73.74572,208.89093,
981,208.86967,164.3639,-73.74806,208.86967,
983,208.845,164.36598,-73.752365,208.845,
1002,208.81827,164.36894,-73.75785,208.81827,
1003,208.7831,164.37924,-73.76946,208.7831,
1014,208.75912,164.38782,-73.77888,208.75912,
1033,208.75085,164.39386,-73.78647,208.75085,
1038,208.74854,164.39961,-73.79455,208.74854,
1047,208.74829,164.405,-73.80314,208.74829,
1060,208.73856,164.41124,-73.81242,208.73856,
1061,208.72804,164.41824,-73.82246,208.72804,
1070,208.71478,164.42635,-73.835014,208.71478,
1081,208.69556,164.43803,-73.85308,208.69556,
1093,208.67561,164.45114,-73.87127,208.67561,
1106,208.67062,164.46043,-73.88488,208.67062,
1117,208.67896,164.47113,-73.9023,208.67896,
1131,208.68031,164.48482,-73.92318,208.68031,
1140,208.67404,164.49951,-73.9449,208.67404,
