time,heading,pitch,roll,yaw,
12,155.0773,-174.66667,-81.21906,155.0773,
24,155.06685,-174.67508,-81.24212,155.06685,
28,155.04668,-174.68219,-81.26434,155.04668,
39,155.01808,-174.68388,-81.28227,155.01808,
49,154.99979,-174.68764,-81.30026,154.99979,
51,154.98787,-174.69241,-81.317375,154.98787,
61,154.97229,-174.69586,-81.33183,154.97229,
72,154.9503,-174.69958,-81.34396,154.9503,
84,154.92926,-174.7056,-81.35977,154.92926,
95,154.90839,-174.71127,-81.37429,154.90839,
106,154.87839,-174.7143,-81.37979,154.87839,
117,154.83533,-174.71587,-81.38127,154.83533,
119,154.7869,-174.71666,-81.379135,154.7869,
130,154.74066,-174.71623,-81.37385,154.74066,
152,154.69598,-174.71158,-81.3673,154.69598,
153,154.66486,-174.70828,-81.36731,154.66486,
163,154.6412,-174.70578,-81.36731,154.6412,
174,154.61995,-174.70352,-81.36731,154.61995,
185,154.61075,-174.70245,-81.37444,154.61075,
196,154.62157,-174.70346,-81.38443,154.62157,
198,154.65111,-174.70639,-81.39702,154.65111,
208,154.69235,-174.71497,-81.40561,154.69235,
221,154.7313,-174.7219,-81.41835,154.7313,
231,154.76839,-174.72673,-81.43152,154.76839,
242,154.79514,-174.72932,-81.44314,154.79514,
253,154.7963,-174.72905,-81.45386,154.7963,
265,154.78764,-174.7279,-81.4648,154.78764,
275,154.7757,-174.72733,-81.47592,154.7757,
276,154.77072,-174.73001,-81.48669,154.77072,
286,154.77898,-174.73589,-81.498604,154.77898,
298,154.79648,-174.74301,-81.512405,154.79648,
309,154.81775,-174.75163,-81.52732,154.81775,
320,154.84668,-174.76163,-81.5449,154.84668,
332,154.8897,-174.77243,-81.5638,154.8897,
344,154.95174,-174.78447,-81.58323,154.95174,
353,155.0305,-174.7924,-81.597885,155.0305,
355,155.12401,-174.80185,-81.60996,155.12401,
365,155.22551,-174.81216,-81.618484,155.22551,
377,155.3239,-174.8223,-81.61848,155.3239,
388,155.40987,-174.83115,-81.61847,155.40987,
400,155.47655,-174.83807,-81.612785,155.47655,
412,155.51555,-174.8435,-81.618324,155.51555,
423,155.53273,-174.84729,-81.613594,155.53273,
432,155.53291,-174.84932,-81.601364,155.53291,
434,155.52054,-174.84827,-81.583755,155.52054,
444,155.49852,-174.8462,-81.566925,155.49852,
456,155.46747,-174.84319,-81.55119,155.46747,
467,155.44263,-174.84616,-81.540565,155.44263,
479,155.42152,-174.8441,-81.528625,155.42152,
493,155.42043,-174.8441,-81.52019,155.42043,
505,155.42574,-174.85008,-81.518135,155.42574,
512,155.45206,-174.86375,-81.50884,155.45206,
518,155.47565,-174.87468,-81.49889,155.47565,
538,155.48349,-174.88266,-81.48978,155.48349,
539,155.4828,-174.89102,-81.48277,155.4828,
549,155.483,-174.90186,-81.483925,155.483,
558,155.4994,-174.91656,-81.488655,155.4994,
569,155.51707,-174.9323,-81.496956,155.51707,
