time,x,y,z,
23,-1.0092773,0.068359375,-0.24804688,
28,-1.0112305,0.0859375,-0.24853516,
43,-0.99658203,0.057128906,-0.22851562,
54,-1.0,0.026855469,-0.21728516,
55,-1.0068359,0.0087890625,-0.20019531,
66,-1.0004883,-0.013183594,-0.18310547,
76,-0.99658203,-0.015136719,-0.17529297,
87,-1.0092773,0.0053710938,-0.171875,
98,-1.0209961,0.021484375,-0.17285156,
110,-1.0229492,0.029296875,-0.1796875,
121,-1.0244141,0.041992188,-0.18164062,
133,-1.0317383,0.057617188,-0.18701172,
135,-1.0380859,0.057128906,-0.18798828,
145,-1.0336914,0.03857422,-0.19042969,
155,-1.019043,0.0234375,-0.19384766,
167,-1.0112305,0.029296875,-0.20166016,
178,-1.0205078,0.040039062,-0.20507812,
189,-1.034668,0.048339844,-0.2084961,
200,-1.0400391,0.037597656,-0.20898438,
212,-1.0297852,0.028808594,-0.20800781,
214,-1.0239258,0.03125,-0.19873047,
224,-1.0200195,0.022460938,-0.18603516,
235,-1.0170898,0.023925781,-0.17333984,
246,-1.0249023,0.024414062,-0.16552734,
256,-1.019043,0.041503906,-0.15625,
268,-1.0078125,0.057617188,-0.14013672,
279,-1.0112305,0.055664062,-0.1328125,
290,-1.0146484,0.018554688,-0.1381836,
293,-1.0253906,0.0014648438,-0.1484375,
302,-1.0297852,-4.8828125E-4,-0.16748047,
313,-1.0078125,0.0029296875,-0.18457031,
325,-0.99658203,0.010253906,-0.19433594,
343,-0.9975586,0.029785156,-0.19580078,
346,-1.0009766,0.041503906,-0.203125,
357,-1.015625,0.019042969,-0.21142578,
368,-1.0322266,0.0126953125,-0.21191406,
370,-1.0410156,0.00390625,-0.22265625,
380,-1.0307617,0.016601562,-0.21777344,
391,-1.0239258,0.045898438,-0.2163086,
402,-1.0166016,0.047851562,-0.20898438,
414,-1.0161133,0.022949219,-0.2084961,
425,-1.0219727,-0.017578125,-0.20019531,
436,-1.0151367,0.0,-0.19482422,
447,-1.0043945,0.019042969,-0.18847656,
448,-0.9946289,0.020507812,-0.19091797,
459,-0.9970703,0.020019531,-0.19580078,
470,-1.0063477,0.028320312,-0.20410156,
482,-1.0205078,0.021484375,-0.2084961,
493,-1.0361328,0.040527344,-0.20996094,
505,-1.0541992,0.015625,-0.21972656,
517,-1.0444336,0.022949219,-0.21923828,
550,-1.0249023,0.056152344,-0.21386719,
551,-0.98876953,0.0107421875,-0.19189453,
552,-0.9790039,0.0126953125,-0.18408203,
563,-0.9873047,0.01953125,-0.1796875,
571,-1.0068359,0.0043945312,-0.17919922,
583,-1.0151367,-0.017089844,-0.18261719,
