time,heading,pitch,roll,yaw,
21,48.922127,165.03778,-74.41676,48.922127,
23,49.033405,165.03561,-74.41707,49.033405,
28,49.146786,165.02798,-74.40726,49.146786,
42,49.23984,165.02194,-74.39591,49.23984,
43,49.39043,165.00572,-74.37688,49.39043,
50,49.484116,164.98865,-74.35967,49.484116,
62,49.565556,164.97249,-74.34213,49.565556,
73,49.647354,164.96141,-74.32846,49.647354,
84,49.789585,164.95193,-74.319405,49.789585,
96,49.98108,164.93831,-74.3107,49.98108,
97,50.18858,164.91797,-74.29625,50.18858,
107,50.37955,164.8989,-74.282,50.37955,
118,50.522984,164.88332,-74.26876,50.522984,
129,50.632103,164.87035,-74.2542,50.632103,
140,50.71163,164.85924,-74.23739,50.71163,
152,50.7595,164.84692,-74.21838,50.7595,
164,50.80854,164.83348,-74.20105,50.80854,
175,50.822556,164.81949,-74.18755,50.822556,
176,50.815315,164.80621,-74.17562,50.815315,
186,50.777092,164.79437,-74.16354,50.777092,
197,50.67221,164.78474,-74.15529,50.67221,
208,50.6209,164.7733,-74.15099,50.6209,
219,50.625435,164.76007,-74.14664,50.625435,
231,50.676308,164.74496,-74.137474,50.676308,
242,50.74196,164.72604,-74.12491,50.74196,
256,50.854164,164.7027,-74.109215,50.854164,
258,50.969185,164.67534,-74.089455,50.969185,
264,51.031174,164.65004,-74.070015,51.031174,
276,51.049263,164.62839,-74.05241,51.049263,
287,51.094997,164.61037,-74.040215,51.094997,
298,51.01809,164.59793,-74.035,51.01809,
309,50.947193,164.58826,-74.03046,50.947193,
332,50.884274,164.5805,-74.02445,50.884274,
340,50.75231,164.56929,-74.01379,50.75231,
345,50.795315,164.53452,-73.97901,50.795315,
354,50.831352,164.51477,-73.95939,50.831352,
365,50.87266,164.49483,-73.93961,50.87266,
376,50.924187,164.47408,-73.918434,50.924187,
388,50.965824,164.45335,-73.89823,50.965824,
398,50.99596,164.43414,-73.88446,50.99596,
410,51.012215,164.4173,-73.87612,51.012215,
421,51.014183,164.40767,-73.8735,51.014183,
423,51.008965,164.40767,-73.878044,51.008965,
433,51.017487,164.40118,-73.87599,51.017487,
444,50.96268,164.39207,-73.87077,50.96268,
456,50.991615,164.37997,-73.86025,50.991615,
467,51.014866,164.36661,-73.84798,51.014866,
478,51.024128,164.35457,-73.838684,51.024128,
489,50.850204,164.3461,-73.82991,50.850204,
505,50.87504,164.32228,-73.81052,50.87504,
506,50.89307,164.32101,-73.81052,50.89307,
517,50.9161,164.31944,-73.81052,50.9161,
