time,heading,pitch,roll,yaw,
23,4.799153,-179.47961,-80.58962,4.799153,
28,4.7741,-179.40947,-80.55965,4.7741,
43,4.8190427,-179.41557,-80.627686,4.8190427,
55,4.8194795,-179.41557,-80.664406,4.8194795,
65,4.850024,-179.42018,-80.69928,4.850024,
67,4.9287353,-179.43654,-80.7346,4.9287353,
77,5.0537,-179.46361,-80.76899,5.0537,
88,5.217351,-179.49815,-80.802345,5.217351,
100,5.382067,-179.5358,-80.83516,5.382067,
111,5.5353637,-179.57263,-80.865074,5.5353637,
123,5.6645904,-179.6065,-80.89247,5.6645904,
134,5.760896,-179.63611,-80.91768,5.760896,
144,5.91646,-179.65709,-80.94087,5.91646,
145,5.917526,-179.66986,-80.960945,5.917526,
157,5.9180994,-179.68176,-80.97953,5.9180994,
167,5.934792,-179.69089,-80.997856,5.934792,
180,5.7927794,-179.69914,-81.01575,5.7927794,
190,5.790894,-179.69965,-81.03406,5.790894,
202,5.773682,-179.69995,-81.05275,5.773682,
213,5.753765,-179.70506,-81.0721,5.753765,
223,5.6721582,-179.71301,-81.09384,5.6721582,
226,5.644756,-179.72215,-81.118034,5.644756,
236,5.631915,-179.73157,-81.14596,5.631915,
248,5.642898,-179.74954,-81.17065,5.642898,
258,5.729887,-179.77159,-81.19112,5.729887,
269,5.7412796,-179.79288,-81.20352,5.7412796,
280,5.7058177,-179.80426,-81.20396,5.7058177,
293,5.6319423,-179.80905,-81.20432,5.6319423,
302,5.437501,-179.81772,-81.20479,5.437501,
303,5.3538995,-179.82382,-81.193756,5.3538995,
316,5.2831664,-179.83057,-81.178444,5.2831664,
326,5.2254653,-179.84056,-81.16195,5.2254653,
346,5.235601,-179.85109,-81.14395,5.235601,
348,5.185522,-179.85895,-81.12734,5.185522,
358,5.122329,-179.86351,-81.11251,5.122329,
369,5.0821133,-179.87265,-81.10251,5.0821133,
379,5.0759387,-179.8857,-81.10272,5.0759387,
382,5.117002,-179.90817,-81.10296,5.117002,
393,5.173501,-179.9344,-81.10315,5.173501,
404,5.2048926,-179.95454,-81.10327,5.2048926,
415,5.3537083,-179.95248,-81.09322,5.3537083,
426,5.344966,-179.96233,-81.09054,5.344966,
437,5.3790345,-179.9803,-81.08978,5.3790345,
448,5.420125,-179.99915,-81.089806,5.420125,
459,5.46056,179.98581,-81.0898,5.46056,
461,5.4799848,179.97446,-81.08978,5.4799848,
472,5.493372,179.96988,-81.087105,5.493372,
483,5.5023603,179.96703,-81.082924,5.5023603,
494,5.4948196,179.96976,-81.08527,5.4948196,
507,5.4946833,179.96202,-81.09851,5.4946833,
518,5.520337,179.94933,-81.114746,5.520337,
551,5.5083437,179.92755,-81.14209,5.5083437,
552,5.5001473,179.9133,-81.16586,5.5001473,
564,5.511595,179.90198,-81.174805,5.511595,
574,5.5711813,179.8951,-81.18496,5.5711813,
585,5.5657444,179.8892,-81.19198,5.5657444,
596,5.5830383,179.87814,-81.19184,5.5830383,
606,5.6047583,179.86755,-81.19171,5.6047583,
607,5.621861,179.86125,-81.19117,5.621861,
623,5.6204405,179.86246,-81.1903,5.6204405,
629,5.6291285,179.86523,-81.18808,5.6291285,
641,5.646231,179.85678,-81.187965,5.646231,
651,5.585852,179.85986,-81.187965,5.585852,
662,5.534462,179.86661,-81.187965,5.534462,
674,5.4978523,179.87141,-81.19448,5.4978523,
684,5.4978523,179.87141,-81.19448,5.4978523,
