time,x,y,z,
10,-0.94873047,-0.16503906,-0.2529297,
12,-0.95410156,-0.17236328,-0.23828125,
36,-0.9526367,-0.1616211,-0.22363281,
43,-0.9555664,-0.15136719,-0.22558594,
46,-0.94970703,-0.15039062,-0.22802734,
47,-0.9453125,-0.15771484,-0.23095703,
57,-0.94873047,-0.16552734,-0.24267578,
60,-0.94873047,-0.16699219,-0.24707031,
88,-0.94628906,-0.16845703,-0.25146484,
89,-0.9453125,-0.16992188,-0.24658203,
99,-0.9458008,-0.16992188,-0.24316406,
100,-0.94677734,-0.16992188,-0.24853516,
101,-0.9555664,-0.16992188,-0.25390625,
110,-0.95751953,-0.16552734,-0.25732422,
111,-0.95410156,-0.1640625,-0.25439453,
121,-0.9501953,-0.17041016,-0.2553711,
122,-0.94970703,-0.17480469,-0.2529297,
145,-0.94921875,-0.17871094,-0.25683594,
146,-0.95166016,-0.1694336,-0.2553711,
147,-0.95166016,-0.1665039,-0.24658203,
156,-0.9472656,-0.1640625,-0.23291016,
158,-0.94677734,-0.16259766,-0.21582031,
166,-0.9482422,-0.16894531,-0.2055664,
168,-0.94921875,-0.17138672,-0.19921875,
169,-0.95410156,-0.16455078,-0.20263672,
191,-0.9560547,-0.1616211,-0.2109375,
193,-0.9589844,-0.16210938,-0.21679688,
201,-0.95751953,-0.17089844,-0.22705078,
213,-0.95410156,-0.16992188,-0.2290039,
215,-0.94921875,-0.1694336,-0.22998047,
223,-0.9453125,-0.16748047,-0.23339844,
225,-0.9482422,-0.16552734,-0.23339844,
227,-0.953125,-0.16601562,-0.23583984,
236,-0.94970703,-0.17089844,-0.23632812,
257,-0.94873047,-0.1743164,-0.22558594,
258,-0.9501953,-0.1821289,-0.21875,
268,-0.9550781,-0.17382812,-0.21679688,
280,-0.9526367,-0.16308594,-0.21289062,
282,-0.9477539,-0.16259766,-0.21289062,
303,-0.9536133,-0.16503906,-0.21484375,
305,-0.9580078,-0.16601562,-0.21972656,
313,-0.9536133,-0.16015625,-0.22705078,
324,-0.9477539,-0.15722656,-0.22851562,
347,-0.9472656,-0.16064453,-0.22216797,
349,-0.94628906,-0.16357422,-0.21533203,
370,-0.94677734,-0.16503906,-0.2109375,
371,-0.9555664,-0.17041016,-0.21875,
373,-0.96777344,-0.17285156,-0.23779297,
381,-0.9638672,-0.171875,-0.24902344,
391,-0.9550781,-0.16845703,-0.24804688,
403,-0.94921875,-0.17773438,-0.24609375,
415,-0.953125,-0.1850586,-0.24707031,
437,-0.95214844,-0.1665039,-0.25048828,
438,-0.94970703,-0.15332031,-0.25585938,
439,-0.94921875,-0.15771484,-0.25439453,
449,-0.94921875,-0.16113281,-0.24707031,
459,-0.9472656,-0.16748047,-0.23583984,
482,-0.9560547,-0.171875,-0.2319336,
511,-0.9589844,-0.15966797,-0.2290039,
521,-0.96435547,-0.1616211,-0.23925781,
522,-0.95751953,-0.16796875,-0.24804688,
536,-0.9506836,-0.16210938,-0.2553711,
537,-0.95703125,-0.1665039,-0.23730469,
540,-0.9526367,-0.16601562,-0.22753906,
560,-0.95703125,-0.15625,-0.20947266,
571,-0.9584961,-0.14501953,-0.19335938,
