time,x,y,z,
47,-0.9785156,-0.041015625,-0.19433594,
58,-0.9770508,-0.04345703,-0.18896484,
71,-0.9736328,-0.044921875,-0.16992188,
82,-0.9707031,-0.049316406,-0.16796875,
84,-0.96972656,-0.056640625,-0.16699219,
85,-0.97021484,-0.061035156,-0.16601562,
93,-0.97021484,-0.06298828,-0.1616211,
103,-0.97314453,-0.064453125,-0.15771484,
105,-0.97021484,-0.072265625,-0.15820312,
106,-0.9790039,-0.07861328,-0.14990234,
128,-0.9790039,-0.07470703,-0.15478516,
129,-0.9711914,-0.0625,-0.16259766,
138,-0.9736328,-0.05908203,-0.171875,
140,-0.9736328,-0.0546875,-0.18457031,
142,-0.9746094,-0.04345703,-0.19677734,
150,-0.97265625,-0.0390625,-0.20654297,
151,-0.9716797,-0.03857422,-0.21972656,
152,-0.9716797,-0.03515625,-0.22949219,
163,-0.97509766,-0.041992188,-0.23632812,
164,-0.97314453,-0.05126953,-0.2397461,
172,-0.9741211,-0.055664062,-0.23730469,
174,-0.97753906,-0.055664062,-0.23486328,
176,-0.9716797,-0.056152344,-0.22851562,
184,-0.9667969,-0.056152344,-0.22216797,
185,-0.9707031,-0.0625,-0.21484375,
194,-0.98095703,-0.06689453,-0.20703125,
206,-0.9770508,-0.064453125,-0.203125,
208,-0.97216797,-0.057617188,-0.1953125,
217,-0.9736328,-0.047851562,-0.19091797,
228,-0.97216797,-0.044921875,-0.18896484,
239,-0.97021484,-0.04296875,-0.19042969,
251,-0.9746094,-0.04345703,-0.19677734,
262,-0.97314453,-0.04248047,-0.1977539,
264,-0.9716797,-0.040039062,-0.2006836,
273,-0.96972656,-0.045898438,-0.20117188,
285,-0.9736328,-0.05126953,-0.20263672,
296,-0.97265625,-0.059570312,-0.20361328,
307,-0.97021484,-0.06201172,-0.19873047,
330,-0.97265625,-0.06347656,-0.19384766,
332,-0.97314453,-0.06201172,-0.1928711,
333,-0.9736328,-0.063964844,-0.19433594,
352,-0.97216797,-0.064941406,-0.19189453,
353,-0.97216797,-0.057617188,-0.19335938,
362,-0.9741211,-0.0546875,-0.1977539,
386,-0.9741211,-0.05126953,-0.20703125,
388,-0.97314453,-0.049804688,-0.20947266,
397,-0.9707031,-0.055664062,-0.21142578,
408,-0.9711914,-0.055664062,-0.21142578,
431,-0.9746094,-0.05517578,-0.20703125,
432,-0.9741211,-0.05517578,-0.20947266,
434,-0.9741211,-0.053710938,-0.21435547,
443,-0.9746094,-0.056152344,-0.21191406,
453,-0.97265625,-0.05859375,-0.21289062,
464,-0.9707031,-0.05517578,-0.21191406,
476,-0.97265625,-0.05419922,-0.21240234,
487,-0.9736328,-0.05517578,-0.21142578,
501,-0.9711914,-0.05419922,-0.20605469,
503,-0.97021484,-0.057617188,-0.19921875,
510,-0.9716797,-0.056152344,-0.19433594,
541,-0.97314453,-0.057617188,-0.19140625,
542,-0.9770508,-0.056640625,-0.18896484,
544,-0.97558594,-0.056152344,-0.19042969,
555,-0.9770508,-0.05517578,-0.19433594,
568,-0.97314453,-0.049316406,-0.20166016,
579,-0.97216797,-0.05078125,-0.20263672,
590,-0.9741211,-0.057128906,-0.20458984,
594,-0.9716797,-0.052246094,-0.2084961,
601,-0.97314453,-0.05029297,-0.21582031,
612,-0.9741211,-0.051757812,-0.22314453,
624,-0.9741211,-0.053710938,-0.22363281,
634,-0.9760742,-0.05029297,-0.22753906,
647,-0.9765625,-0.048339844,-0.22949219,
657,-0.9692383,-0.05419922,-0.22460938,
669,-0.96728516,-0.056640625,-0.21923828,
671,-0.97314453,-0.0625,-0.20947266,
680,-0.97265625,-0.060058594,-0.20019531,
692,-0.96777344,-0.056640625,-0.19433594,
703,-0.97265625,-0.05419922,-0.19042969,
714,-0.9736328,-0.057128906,-0.1928711,
