time,heading,pitch,roll,yaw,
36,33.18314,176.16048,-78.3033,33.18314,
37,33.1297,176.16904,-78.29647,33.1297,
41,33.054596,176.18108,-78.28624,33.054596,
43,32.979572,176.19316,-78.27484,32.979572,
52,32.9678,176.2033,-78.26478,32.9678,
64,32.910126,176.21262,-78.25509,32.910126,
75,32.86062,176.21565,-78.24401,32.86062,
87,32.822235,176.21706,-78.23147,32.822235,
107,32.794914,176.2216,-78.21721,32.794914,
109,32.78751,176.223,-78.201225,32.78751,
119,32.808273,176.21991,-78.18554,32.808273,
121,32.84917,176.21356,-78.17013,32.84917,
132,32.912064,176.2066,-78.163666,32.912064,
144,32.968536,176.20018,-78.15735,32.968536,
166,33.02632,176.19667,-78.15537,33.02632,
167,33.071507,176.19931,-78.16175,33.071507,
179,33.146557,176.20528,-78.168304,33.146557,
188,33.174973,176.21695,-78.17873,33.174973,
191,33.189587,176.23293,-78.19159,33.189587,
200,33.1962,176.24918,-78.20466,33.1962,
211,33.42195,176.26381,-78.21659,33.42195,
226,33.416214,176.27644,-78.22477,33.416214,
233,33.403454,176.28769,-78.22741,33.403454,
245,33.392582,176.29727,-78.22838,33.392582,
256,33.607185,176.30855,-78.22768,33.607185,
266,33.58399,176.32214,-78.227745,33.58399,
269,33.557625,176.33496,-78.23021,33.557625,
289,33.531178,176.34496,-78.233604,33.531178,
299,33.47244,176.35257,-78.23283,33.47244,
302,33.455475,176.35843,-78.23088,33.455475,
312,33.439407,176.36389,-78.228355,33.439407,
324,33.420883,176.36993,-78.22654,33.420883,
335,33.405148,176.37758,-78.22654,33.405148,
345,33.379986,176.38824,-78.23339,33.379986,
347,33.338375,176.40137,-78.25266,33.338375,
379,33.294117,176.41328,-78.2704,33.294117,
380,33.25595,176.42142,-78.28261,33.25595,
391,33.23475,176.42708,-78.291695,33.23475,
392,33.23079,176.43027,-78.29833,33.23079,
402,33.22598,176.43414,-78.304634,33.22598,
424,33.2586,176.43803,-78.311844,33.2586,
426,33.252728,176.44319,-78.31543,33.252728,
447,33.245842,176.44875,-78.3263,33.245842,
448,33.232864,176.454,-78.334526,33.232864,
459,33.236115,176.45663,-78.34113,33.236115,
469,33.23333,176.45885,-78.34747,33.23333,
471,33.23087,176.4608,-78.353226,33.23087,
481,33.2271,176.46385,-78.35945,33.2271,
492,33.316902,176.47041,-78.36991,33.316902,
504,33.28647,176.48222,-78.38299,33.28647,
510,33.247562,176.49756,-78.40016,33.247562,
542,33.112354,176.53763,-78.44157,33.112354,
550,33.077984,176.5458,-78.44946,33.077984,
562,33.05353,176.5513,-78.45692,33.05353,
577,33.04001,176.55458,-78.46333,33.04001,
580,33.036865,176.55705,-78.47165,33.036865,
605,33.024162,176.56256,-78.4827,33.024162,
608,32.99717,176.5706,-78.491776,32.99717,
642,32.975613,176.57875,-78.49839,32.975613,
650,32.94635,176.5842,-78.50255,32.94635,
653,32.930996,176.58662,-78.50476,32.930996,
708,32.92843,176.5887,-78.50837,32.92843,
711,32.902885,176.6021,-78.51932,32.902885,
