time,x,y,z,
15,-1.0180664,-0.1484375,-0.010253906,
18,-1.015625,-0.14453125,-0.009277344,
38,-1.0131836,-0.1508789,-0.009277344,
43,-1.0180664,-0.14550781,-0.012207031,
53,-1.0170898,-0.14550781,-0.014160156,
63,-1.0146484,-0.1484375,-0.017089844,
65,-1.0151367,-0.15039062,-0.021484375,
76,-1.0141602,-0.14990234,-0.020019531,
86,-1.015625,-0.15332031,-0.01953125,
109,-1.0175781,-0.1508789,-0.021972656,
110,-1.0170898,-0.1508789,-0.024902344,
121,-1.0180664,-0.15283203,-0.0234375,
131,-1.0185547,-0.1508789,-0.020507812,
142,-1.015625,-0.15039062,-0.023925781,
144,-1.0170898,-0.14892578,-0.022949219,
154,-1.0175781,-0.1508789,-0.024902344,
166,-1.0161133,-0.15136719,-0.0234375,
177,-1.015625,-0.15136719,-0.023925781,
188,-1.0146484,-0.15185547,-0.025878906,
199,-1.0131836,-0.15185547,-0.025390625,
210,-1.015625,-0.15136719,-0.02734375,
222,-1.0175781,-0.15185547,-0.027832031,
223,-1.0166016,-0.15283203,-0.026855469,
234,-1.0136719,-0.15185547,-0.020019531,
244,-1.0136719,-0.15332031,-0.017089844,
256,-1.015625,-0.15185547,-0.018066406,
267,-1.0151367,-0.15527344,-0.018066406,
278,-1.0146484,-0.15527344,-0.018554688,
289,-1.0126953,-0.15625,-0.015625,
302,-1.0092773,-0.15722656,-0.015136719,
303,-1.012207,-0.1586914,-0.012207031,
313,-1.0131836,-0.15478516,-0.014160156,
323,-1.0136719,-0.15478516,-0.011230469,
346,-1.0166016,-0.15478516,-0.009765625,
348,-1.0161133,-0.15527344,-0.011230469,
358,-1.0151367,-0.1538086,-0.0146484375,
368,-1.015625,-0.1538086,-0.016113281,
380,-1.0195312,-0.1538086,-0.018554688,
382,-1.0205078,-0.15332031,-0.01953125,
391,-1.0224609,-0.14697266,-0.0234375,
402,-1.0244141,-0.14746094,-0.027832031,
413,-1.0205078,-0.1508789,-0.037109375,
424,-1.0166016,-0.14892578,-0.038085938,
435,-1.0151367,-0.14697266,-0.038085938,
446,-1.0126953,-0.1538086,-0.037597656,
458,-1.0161133,-0.14892578,-0.029785156,
460,-1.0175781,-0.14648438,-0.025390625,
470,-1.0175781,-0.14648438,-0.0234375,
481,-1.015625,-0.15136719,-0.01953125,
492,-1.0141602,-0.15429688,-0.016113281,
503,-1.015625,-0.1538086,-0.013183594,
547,-1.0166016,-0.15625,-0.011230469,
549,-1.0161133,-0.15625,-0.01171875,
550,-1.0141602,-0.15429688,-0.013183594,
553,-1.0141602,-0.15478516,-0.014160156,
563,-1.0166016,-0.15576172,-0.013671875,
570,-1.0170898,-0.15771484,-0.012207031,
582,-1.0161133,-0.15722656,-0.012207031,
593,-1.0170898,-0.15478516,-0.013183594,
603,-1.0161133,-0.15576172,-0.017578125,
620,-1.0175781,-0.15185547,-0.015136719,
628,-1.0161133,-0.15332031,-0.01953125,
630,-1.0141602,-0.15429688,-0.022949219,
639,-1.0170898,-0.15039062,-0.021484375,
648,-1.0151367,-0.15185547,-0.0234375,
671,-1.0131836,-0.15527344,-0.021972656,
672,-1.0170898,-0.1508789,-0.023925781,
683,-1.0141602,-0.1484375,-0.024414062,
685,-1.0166016,-0.15039062,-0.024414062,
697,-1.0170898,-0.15478516,-0.025878906,
705,-1.0170898,-0.15625,-0.026367188,
720,-1.0180664,-0.15332031,-0.022949219,
731,-1.0161133,-0.15771484,-0.021484375,
741,-1.0161133,-0.15527344,-0.017089844,
766,-1.0146484,-0.15527344,-0.016601562,
769,-1.0151367,-0.1586914,-0.017578125,
779,-1.0161133,-0.15576172,-0.016601562,
782,-1.0151367,-0.15478516,-0.014160156,
789,-1.0146484,-0.15917969,-0.013671875,
797,-1.0141602,-0.16503906,-0.017578125,
808,-1.0151367,-0.16113281,-0.016601562,
820,-1.0151367,-0.1586914,-0.0146484375,
831,-1.0161133,-0.15478516,-0.017089844,
843,-1.0185547,-0.15527344,-0.016601562,
846,-1.0161133,-0.15429688,-0.019042969,
855,-1.0200195,-0.15625,-0.020507812,
864,-1.0273438,-0.15917969,-0.020019531,
875,-1.0219727,-0.15332031,-0.016113281,
886,-1.0112305,-0.15283203,-0.015625,
897,-1.012207,-0.15722656,-0.021972656,
909,-1.0131836,-0.15722656,-0.022460938,
921,-1.0102539,-0.15625,-0.022949219,
923,-1.0131836,-0.15625,-0.028808594,
944,-1.0146484,-0.1586914,-0.028320312,
947,-1.0117188,-0.15625,-0.025878906,
960,-1.0126953,-0.15429688,-0.026855469,
965,-1.0107422,-0.15722656,-0.026855469,
976,-1.012207,-0.15429688,-0.024902344,
988,-1.015625,-0.15478516,-0.0234375,
999,-1.0141602,-0.16015625,-0.025390625,
1002,-1.0131836,-0.16064453,-0.026367188,
1022,-1.0126953,-0.16113281,-0.026855469,
1051,-1.0141602,-0.15966797,-0.025878906,
1053,-1.0170898,-0.15917969,-0.023925781,
1054,-1.0185547,-0.15576172,-0.0234375,
1059,-1.0151367,-0.15625,-0.021484375,
1067,-1.0180664,-0.1538086,-0.024414062,
1078,-1.0185547,-0.1586914,-0.027832031,
1079,-1.015625,-0.15527344,-0.029785156,
1111,-1.0126953,-0.15332031,-0.030761719,
1113,-1.0126953,-0.16113281,-0.027832031,
1123,-1.0107422,-0.15771484,-0.02734375,
1146,-1.0146484,-0.15136719,-0.024902344,
1150,-1.0166016,-0.15283203,-0.023925781,
1161,-1.0166016,-0.15673828,-0.022949219,
1163,-1.015625,-0.16113281,-0.023925781,
1170,-1.0112305,-0.16259766,-0.026367188,
1182,-1.0102539,-0.16308594,-0.025878906,
1190,-1.012207,-0.15527344,-0.029785156,
1191,-1.0166016,-0.1508789,-0.028320312,
1202,-1.0170898,-0.15576172,-0.03466797,
1211,-1.0180664,-0.16064453,-0.036132812,
1222,-1.0141602,-0.15966797,-0.037597656,
1234,-1.0146484,-0.15820312,-0.03466797,
1236,-1.0170898,-0.16015625,-0.032714844,
1246,-1.0131836,-0.15917969,-0.032714844,
1270,-1.0097656,-0.16015625,-0.028808594,
1272,-1.012207,-0.16503906,-0.028320312,
1282,-1.015625,-0.16015625,-0.028808594,
1292,-1.0131836,-0.1586914,-0.027832031,
1303,-1.0136719,-0.15332031,-0.021484375,
1315,-1.0200195,-0.15771484,-0.016601562,
1326,-1.0180664,-0.16357422,-0.014160156,
1328,-1.0146484,-0.1640625,-0.009765625,
1339,-1.012207,-0.1665039,-0.010253906,
1348,-1.0126953,-0.16210938,-0.009765625,
1360,-1.0083008,-0.15332031,-0.0053710938,
1373,-1.0097656,-0.15625,-0.0043945312,
1381,-1.0185547,-0.15917969,-0.0063476562,
1393,-1.0253906,-0.15673828,-0.0073242188,
1395,-1.0263672,-0.14794922,-0.0107421875,
1405,-1.0234375,-0.13720703,-0.018066406,
1415,-1.0219727,-0.1430664,-0.026855469,
1427,-1.0161133,-0.15527344,-0.02734375,
1438,-1.0024414,-0.17822266,-0.038085938,
1450,-1.0014648,-0.20703125,-0.044921875,
1461,-1.0058594,-0.20507812,-0.04296875,
1484,-1.003418,-0.17675781,-0.038085938,
1489,-1.0004883,-0.16064453,-0.03515625,
1496,-1.0063477,-0.16259766,-0.041503906,
1500,-1.0092773,-0.1772461,-0.05126953,
1507,-1.0063477,-0.18945312,-0.05810547,
1517,-0.99902344,-0.18115234,-0.060546875,
1559,-0.99609375,-0.15283203,-0.05908203,
1561,-0.9951172,-0.13964844,-0.06933594,
1568,-1.0004883,-0.1484375,-0.076171875,
1574,-1.0244141,-0.15332031,-0.08935547,
1577,-1.0449219,-0.140625,-0.09863281,
1586,-1.0463867,-0.123535156,-0.109375,
1605,-1.015625,-0.13427734,-0.12402344,
1608,-1.0,-0.15429688,-0.13964844,
1618,-1.0019531,-0.16210938,-0.14013672,
1620,-0.99609375,-0.14013672,-0.12109375,
1630,-0.98583984,-0.12060547,-0.11621094,
1651,-0.9897461,-0.12060547,-0.115722656,
1653,-1.0053711,-0.1328125,-0.11816406,
1663,-1.0141602,-0.14208984,-0.118652344,
1674,-1.0131836,-0.15625,-0.11376953,
1697,-1.0151367,-0.18701172,-0.10253906,
1700,-1.0239258,-0.1743164,-0.08105469,
1709,-1.0209961,-0.13720703,-0.06640625,
1712,-1.0014648,-0.11816406,-0.067871094,
1722,-0.9916992,-0.096191406,-0.0703125,
1730,-1.0117188,-0.087890625,-0.06738281,
1740,-1.0361328,-0.08251953,-0.07128906,
1752,-1.0375977,-0.091308594,-0.08154297,
1763,-1.0239258,-0.10449219,-0.080078125,
1774,-0.99658203,-0.13574219,-0.076660156,
1777,-0.9863281,-0.11425781,-0.0703125,
1790,-1.0004883,-0.080566406,-0.06542969,
1801,-1.0185547,-0.04638672,-0.08642578,
1820,-1.0102539,-0.03515625,-0.095214844,
1822,-1.0073242,-0.07470703,-0.10205078,
1831,-1.0234375,-0.07861328,-0.10644531,
1842,-1.0395508,-0.030273438,-0.125,
1852,-1.0517578,0.0,-0.1484375,
1870,-1.050293,0.019042969,-0.15429688,
1884,-1.0292969,0.0043945312,-0.15039062,
1888,-1.0327148,-0.025390625,-0.13769531,
1890,-1.0595703,0.009277344,-0.12841797,
1900,-1.0654297,0.03857422,-0.1274414,
1910,-1.0493164,0.025390625,-0.119628906,
1922,-1.0400391,0.0024414062,-0.11035156,
1933,-1.0390625,-0.001953125,-0.103515625,
1936,-1.0478516,0.0048828125,-0.10058594,
1946,-1.0551758,0.0024414062,-0.1015625,
1956,-1.0493164,0.00390625,-0.09375,
1965,-1.0483398,0.0034179688,-0.10205078,
1976,-1.0356445,0.013183594,-0.115234375,
1988,-1.0288086,-0.016601562,-0.12841797,
1999,-1.0224609,-0.060058594,-0.13183594,
2012,-1.0180664,-0.041503906,-0.12939453,
2015,-1.0,-0.036132812,-0.13671875,
2024,-0.9916992,-0.049804688,-0.16113281,
2054,-0.9916992,-0.041992188,-0.18115234,
2055,-0.98291016,-0.041992188,-0.20019531,
2058,-0.98339844,-0.041992188,-0.21826172,
2067,-0.9790039,-0.052734375,-0.23535156,
2079,-0.97802734,-0.05126953,-0.24414062,
2090,-0.9760742,-0.041503906,-0.2602539,
2101,-0.9873047,-0.019042969,-0.28320312,
2102,-0.99658203,-0.027832031,-0.32421875,
2112,-1.0019531,-0.055664062,-0.3491211,
2122,-1.0058594,-0.04345703,-0.35986328,
2134,-1.0024414,-0.027832031,-0.36035156,
2145,-0.9995117,-0.045898438,-0.34472656,
2157,-0.9980469,-0.057128906,-0.31298828,
2169,-1.0024414,-0.044921875,-0.28076172,
