time,heading,pitch,roll,yaw,
18,37.895145,-177.25699,-82.12595,37.895145,
38,37.797665,-177.23578,-82.133316,37.797665,
43,37.948147,-177.237,-82.137215,37.948147,
49,37.923462,-177.23756,-82.14046,37.923462,
60,37.896435,-177.2381,-82.14284,37.896435,
71,37.869484,-177.2393,-82.14469,37.869484,
83,37.915916,-177.24129,-82.14625,37.915916,
94,37.881317,-177.24274,-82.14772,37.881317,
96,37.83748,-177.24452,-82.15008,37.83748,
105,37.79257,-177.24577,-82.15246,37.79257,
117,37.79659,-177.24768,-82.15463,37.79659,
128,37.765175,-177.25087,-82.15715,37.765175,
139,37.731525,-177.2531,-82.15928,37.731525,
150,37.69915,-177.25473,-82.16103,37.69915,
162,37.663597,-177.25047,-82.16697,37.663597,
173,37.915604,-177.24721,-82.174774,37.915604,
175,37.896072,-177.24493,-82.18449,37.896072,
185,37.8858,-177.24367,-82.193954,37.8858,
196,37.88159,-177.24808,-82.204636,37.88159,
208,38.033783,-177.25233,-82.21551,38.033783,
220,38.02407,-177.2507,-82.2244,38.02407,
229,38.01341,-177.24884,-82.232056,38.01341,
241,38.00245,-177.24675,-82.23976,38.00245,
253,38.03924,-177.25145,-82.24914,38.03924,
257,38.043285,-177.25568,-82.2531,38.043285,
263,38.031883,-177.25246,-82.255394,38.031883,
274,38.017773,-177.24947,-82.25789,38.017773,
286,38.030865,-177.2488,-82.26054,38.030865,
298,38.03013,-177.24811,-82.26426,38.03013,
308,38.0456,-177.25409,-82.27096,38.0456,
320,38.067017,-177.26105,-82.27653,38.067017,
331,38.09419,-177.26761,-82.28147,38.09419,
354,38.118935,-177.27464,-82.28579,38.118935,
355,38.14308,-177.27678,-82.28717,38.14308,
358,38.176914,-177.28024,-82.28784,38.176914,
365,38.345207,-177.28412,-82.28804,38.345207,
376,38.38907,-177.29395,-82.29019,38.38907,
387,38.429214,-177.30373,-82.29235,38.429214,
399,38.455196,-177.30609,-82.29214,38.455196,
410,38.3445,-177.30824,-82.291824,38.3445,
421,38.366573,-177.31032,-82.2913,38.366573,
423,38.38636,-177.31195,-82.29042,38.38636,
433,38.402084,-177.31319,-82.28947,38.402084,
444,38.33265,-177.31393,-82.288635,38.33265,
455,38.33214,-177.31349,-82.287895,38.33214,
466,38.33195,-177.31334,-82.287476,38.33195,
477,38.331894,-177.31328,-82.28734,38.331894,
489,38.44865,-177.31305,-82.28716,38.44865,
501,38.448265,-177.31271,-82.287125,38.448265,
503,38.448147,-177.3126,-82.28718,38.448147,
512,38.44799,-177.31245,-82.28762,38.44799,
547,38.66559,-177.31203,-82.2883,38.66559,
550,38.665104,-177.31158,-82.288956,38.665104,
551,38.664722,-177.31125,-82.28973,38.664722,
563,38.66431,-177.31088,-82.29038,38.66431,
567,38.605644,-177.3107,-82.291046,38.605644,
580,38.61222,-177.31122,-82.2916,38.61222,
581,38.611675,-177.31075,-82.292145,38.611675,
590,38.61121,-177.31033,-82.292786,38.61121,
601,38.610626,-177.30981,-82.29352,38.610626,
612,38.60853,-177.30919,-82.29407,38.60853,
623,38.59867,-177.30736,-82.294754,38.59867,
634,38.58392,-177.30487,-82.29601,38.58392,
657,38.572243,-177.30246,-82.29781,38.572243,
658,38.566357,-177.30006,-82.30079,38.566357,
667,38.56508,-177.29892,-82.30383,38.56508,
669,38.563896,-177.29814,-82.30114,38.563896,
679,38.562828,-177.29755,-82.29625,38.562828,
703,38.576855,-177.29668,-82.29015,38.576855,
705,38.575535,-177.29596,-82.28269,38.575535,
726,38.57451,-177.29553,-82.273834,38.57451,
731,38.573723,-177.29533,-82.26483,38.573723,
740,38.588684,-177.29529,-82.256935,38.588684,
749,38.594826,-177.29587,-82.24882,38.594826,
751,38.593937,-177.29556,-82.23953,38.593937,
773,38.593147,-177.29535,-82.230125,38.593147,
775,38.59216,-177.29492,-82.22144,38.59216,
793,38.59133,-177.2947,-82.21209,38.59133,
796,38.590553,-177.29451,-82.20217,38.590553,
805,38.589096,-177.2938,-82.19127,38.589096,
820,38.586754,-177.29164,-82.181755,38.586754,
828,38.57681,-177.28969,-82.173065,38.57681,
831,38.567596,-177.28731,-82.16518,38.567596,
839,38.55086,-177.28365,-82.15636,38.55086,
850,38.858524,-177.27959,-82.14708,38.858524,
862,38.836285,-177.27533,-82.13787,38.836285,
872,38.817253,-177.2712,-82.130264,38.817253,
882,38.799377,-177.26767,-82.12034,38.799377,
894,38.83116,-177.2656,-82.107315,38.83116,
906,38.82322,-177.26477,-82.09185,38.82322,
908,38.822556,-177.26515,-82.074875,38.822556,
919,38.821915,-177.26558,-82.056786,38.821915,
929,38.829903,-177.26584,-82.03779,38.829903,
954,38.821335,-177.2651,-82.01814,38.821335,
