time,heading,pitch,roll,yaw,
15,344.5381,173.417,-75.455536,344.5381,
17,344.52612,173.50552,-75.4491,344.52612,
40,344.4485,173.67404,-75.42719,344.4485,
51,344.4413,173.84258,-75.40908,344.4413,
70,344.43356,173.92778,-75.40508,344.43356,
80,344.4285,174.01653,-75.41066,344.4285,
82,344.3984,174.10762,-75.42397,344.3984,
93,344.34964,174.20236,-75.44619,344.34964,
103,344.28067,174.30222,-75.47817,344.28067,
147,344.24643,174.40836,-75.5239,344.24643,
149,344.2213,174.48474,-75.44907,344.2213,
150,344.1909,174.56929,-75.38503,344.1909,
159,344.1328,174.67218,-75.33715,344.1328,
160,344.0443,174.78654,-75.41539,344.0443,
171,343.92758,174.9068,-75.50295,343.92758,
173,343.78455,175.03177,-75.60054,343.78455,
217,343.62732,175.15826,-75.70611,343.62732,
219,343.45984,175.28557,-75.819695,343.45984,
227,343.46204,175.40901,-75.87559,343.46204,
231,343.2927,175.53839,-76.0023,343.2927,
235,343.1284,175.66917,-76.13507,343.1284,
239,342.9527,175.80203,-76.27121,342.9527,
240,342.92914,175.93474,-76.407684,342.92914,
252,342.745,176.06313,-76.53785,342.745,
284,342.56662,176.1881,-76.664246,342.56662,
286,342.4118,176.30182,-76.77995,342.4118,
296,342.28513,176.40616,-76.88544,342.28513,
297,342.16287,176.50148,-76.97773,342.16287,
306,342.05087,176.58887,-77.058235,342.05087,
307,341.95547,176.66824,-77.12617,341.95547,
351,341.8917,176.73833,-77.18203,341.8917,
353,341.84393,176.79858,-77.227196,341.84393,
362,341.77066,176.89192,-77.33901,341.77066,
364,341.73938,176.96483,-77.42683,341.73938,
365,341.7177,177.03305,-77.50339,341.7177,
374,341.6893,177.12105,-77.59008,341.6893,
375,341.7406,177.13002,-77.58342,341.7406,
385,341.7756,177.13437,-77.56558,341.7756,
407,341.8986,177.12842,-77.5339,341.8986,
430,341.9334,177.12297,-77.491646,341.9334,
431,341.97617,177.1075,-77.43575,341.97617,
441,342.01498,177.09035,-77.37152,342.01498,
442,342.05283,177.07562,-77.302895,342.05283,
444,342.0626,177.06258,-77.233696,342.0626,
453,342.0622,177.05319,-77.168564,342.0622,
464,342.04068,177.04886,-77.11207,342.04068,
500,341.7757,177.05145,-77.06654,341.7757,
503,341.68906,177.06216,-77.03464,341.68906,
510,341.57816,177.08183,-77.01702,341.57816,
515,341.45374,177.10379,-77.00997,341.45374,
534,341.3209,177.1334,-77.01171,341.3209,
564,341.19043,177.16684,-77.02289,341.19043,
566,341.06546,177.20287,-77.04007,341.06546,
567,340.955,177.23799,-77.06086,340.955,
577,340.8939,177.27109,-77.08057,340.8939,
578,340.80737,177.30347,-77.09932,340.80737,
587,340.7302,177.33519,-77.118286,340.7302,
592,340.66287,177.36278,-77.13598,340.66287,
600,340.56018,177.39047,-77.15223,340.56018,
635,340.47437,177.42102,-77.16749,340.47437,
637,340.3962,177.44855,-77.1777,340.3962,
645,340.3296,177.472,-77.182144,340.3296,
647,340.26053,177.49786,-77.2075,340.26053,
649,340.14087,177.5237,-77.23695,340.14087,
660,340.07465,177.54991,-77.271355,340.07465,
666,340.0236,177.57248,-77.31202,340.0236,
689,339.9847,177.59164,-77.35693,339.9847,
691,339.9134,177.6073,-77.40364,339.9134,
699,339.8761,177.61916,-77.44883,339.8761,
701,339.85458,177.6225,-77.486725,339.85458,
711,339.85294,177.6225,-77.51751,339.85294,
722,339.93842,177.61647,-77.540016,339.93842,
758,339.99875,177.59778,-77.551636,339.99875,
759,340.06342,177.57402,-77.5545,340.06342,
767,340.1393,177.54498,-77.55056,340.1393,
770,340.24103,177.50883,-77.539116,340.24103,
772,340.35605,177.46736,-77.52476,340.35605,
782,340.477,177.42441,-77.50958,340.477,
789,340.59143,177.38351,-77.495186,340.59143,
801,340.60623,177.34262,-77.48247,340.60623,
812,340.7157,177.3025,-77.47675,340.7157,
823,340.82178,177.26381,-77.47119,340.82178,
835,340.94443,177.21767,-77.45347,340.94443,
847,341.28683,177.16963,-77.429756,341.28683,
849,341.42227,177.12326,-77.40627,341.42227,
857,341.54388,177.08414,-77.39668,341.54388,
868,341.65536,177.04945,-77.39694,341.65536,
880,341.726,177.0193,-77.40083,341.726,
891,341.82013,176.99052,-77.39708,341.82013,
902,341.9063,176.96167,-77.39286,341.9063,
915,341.9859,176.9321,-77.37806,341.9859,
927,342.16782,176.90282,-77.356346,342.16782,
930,342.22818,176.87427,-77.32846,342.22818,
939,342.28085,176.84804,-77.297935,342.28085,
949,342.32297,176.82556,-77.2674,342.32297,
984,342.27414,176.8057,-77.24117,342.27414,
988,342.29474,176.78682,-77.21879,342.29474,
994,342.31375,176.76915,-77.20194,342.31375,
997,342.33243,176.75146,-77.18976,342.33243,
1004,342.34354,176.7343,-77.178986,342.34354,
1015,342.35123,176.71825,-77.17428,342.35123,
1038,342.37704,176.6844,-77.1612,342.37704,
1041,342.36887,176.66614,-77.14993,342.36887,
1049,342.38818,176.64787,-77.13688,342.38818,
1060,342.4069,176.63019,-77.12397,342.4069,
1070,342.43365,176.61086,-77.10936,342.43365,
1105,342.46335,176.59042,-77.09402,342.46335,
1106,342.48602,176.5702,-77.07828,342.48602,
1118,342.50995,176.54808,-77.0622,342.50995,
1124,342.53363,176.52617,-77.047554,342.53363,
1126,342.5554,176.50577,-77.034676,342.5554,
1128,342.54678,176.4886,-77.02294,342.54678,
1139,342.55,176.47397,-77.011314,342.55,
1150,342.5475,176.46133,-77.00008,342.5475,
1162,342.54187,176.45003,-76.98826,342.54187,
1176,342.6056,176.43709,-76.976555,342.6056,
1179,342.60056,176.42491,-76.9655,342.60056,
1186,342.5886,176.41383,-76.95334,342.5886,
1197,342.57227,176.40237,-76.93921,342.57227,
1208,342.61865,176.38992,-76.92336,342.61865,
1221,342.60934,176.37614,-76.90455,342.60934,
1230,342.6002,176.36076,-76.881676,342.6002,
1241,342.59286,176.34572,-76.85661,342.59286,
1263,342.74084,176.33022,-76.82978,342.74084,
1265,342.74805,176.31409,-76.803406,342.74805,
1274,342.76758,176.29723,-76.77792,342.76758,
1276,342.7858,176.28163,-76.75115,342.7858,
1287,342.72153,176.26776,-76.72527,342.72153,
1297,342.72693,176.25592,-76.70164,342.72693,
1320,342.73138,176.24333,-76.67906,342.73138,
1332,342.73914,176.23007,-76.65609,342.73914,
1338,342.7566,176.21425,-76.631805,342.7566,
1343,342.77396,176.19934,-76.60625,342.77396,
1345,342.7907,176.18507,-76.57878,342.7907,
1355,342.79623,176.17325,-76.55176,342.79623,
1366,342.80594,176.15956,-76.52529,342.80594,
1376,342.82138,176.14664,-76.49841,342.82138,
1399,342.83694,176.13362,-76.471016,342.83694,
1402,342.85202,176.12119,-76.444115,342.85202,
1410,342.73193,176.10922,-76.41982,342.73193,
1422,342.74664,176.09697,-76.39848,342.74664,
1426,342.7598,176.08594,-76.379486,342.7598,
1434,342.7727,176.07495,-76.36033,342.7727,
1468,342.704,176.06384,-76.34087,342.704,
1469,342.71652,176.05328,-76.31997,342.71652,
1477,342.7287,176.04317,-76.298,342.7287,
1478,342.74124,176.03288,-76.27528,342.74124,
1489,342.7656,176.02097,-76.24987,342.7656,
1500,342.78113,176.00833,-76.22348,342.78113,
