time,heading,pitch,roll,yaw,
17,356.52097,167.53117,-72.4041,356.52097,
33,356.3608,167.70685,-72.558685,356.3608,
34,356.27185,167.81253,-72.64513,356.27185,
51,356.16406,167.92412,-72.73547,356.16406,
55,356.06168,168.03468,-72.8268,356.06168,
65,356.13272,168.12532,-72.89622,356.13272,
77,356.07852,168.21545,-72.96871,356.07852,
109,356.00455,168.31557,-73.05726,356.00455,
110,355.86426,168.42485,-73.14352,355.86426,
113,355.7198,168.53964,-73.229454,355.7198,
122,355.55072,168.64983,-73.31134,355.55072,
123,355.37466,168.75677,-73.391174,355.37466,
133,355.16418,168.86765,-73.472466,355.16418,
144,355.00912,168.98198,-73.55286,355.00912,
155,354.74332,169.09673,-73.631836,354.74332,
167,354.4605,169.21515,-73.713234,354.4605,
179,354.1701,169.33392,-73.79357,354.1701,
180,353.668,169.4519,-73.87351,353.668,
189,353.4261,169.55988,-73.945076,353.4261,
213,353.18262,169.66856,-74.02034,353.18262,
214,352.94873,169.7712,-74.09245,352.94873,
224,352.68823,169.87405,-74.16373,352.68823,
236,352.4224,169.97687,-74.232155,352.4224,
251,352.16168,170.07535,-74.296585,352.16168,
257,351.9058,170.17303,-74.36198,351.9058,
258,351.67337,170.2689,-74.42824,351.67337,
268,351.4645,170.35945,-74.49254,351.4645,
280,351.2919,170.43846,-74.5508,351.2919,
291,351.12067,170.51433,-74.60599,351.12067,
302,350.97885,170.58736,-74.6552,350.97885,
324,350.84738,170.6506,-74.69829,350.84738,
326,350.7615,170.70409,-74.743546,350.7615,
338,350.70932,170.75067,-74.79039,350.70932,
339,350.68674,170.78995,-74.83933,350.68674,
347,350.68814,170.81868,-74.88845,350.68814,
359,350.71292,170.83643,-74.93718,350.71292,
369,350.72446,170.8521,-74.98584,350.72446,
392,350.6295,170.8671,-75.033035,350.6295,
394,350.67438,170.87872,-75.07763,350.67438,
404,350.74606,170.88315,-75.118164,350.74606,
415,350.82706,170.88371,-75.15578,350.82706,
417,350.8921,170.88455,-75.1867,350.8921,
426,350.94028,170.88606,-75.21065,350.94028,
459,350.98108,170.88702,-75.22525,350.98108,
471,351.02777,170.88509,-75.229744,351.02777,
473,351.10358,170.87827,-75.22186,351.10358,
482,351.1277,170.87483,-75.207214,351.1277,
483,351.13272,170.87483,-75.187355,351.13272,
485,351.11658,170.87852,-75.16464,351.11658,
506,351.08243,170.886,-75.138596,351.08243,
521,351.0087,170.90509,-75.113235,351.0087,
533,350.9133,170.929,-75.0852,350.9133,
534,350.81366,170.95422,-75.053246,350.81366,
550,350.71634,170.98119,-75.01649,350.71634,
552,350.6187,171.00417,-74.981316,350.6187,
561,350.5123,171.029,-74.94317,350.5123,
585,350.4031,171.0494,-74.89448,350.4031,
589,350.22577,171.07106,-74.84068,350.22577,
596,350.10986,171.09357,-74.78724,350.10986,
599,350.01105,171.1133,-74.73164,350.01105,
607,349.94067,171.12805,-74.676865,349.94067,
643,349.88623,171.13914,-74.62828,349.88623,
644,349.8247,171.15182,-74.58799,349.8247,
660,349.72934,171.1701,-74.55845,349.72934,
664,349.60965,171.19244,-74.53675,349.60965,
667,349.56033,171.21524,-74.519775,349.56033,
674,349.46225,171.23357,-74.50345,349.46225,
676,349.4297,171.24028,-74.483505,349.4297,
685,349.46298,171.22958,-74.45459,349.46298,
696,349.49344,171.20624,-74.42144,349.49344,
707,349.60898,171.17519,-74.38756,349.60898,
718,349.7481,171.13913,-74.3532,349.7481,
764,349.9208,171.09595,-74.320145,349.9208,
767,350.4442,170.98737,-74.25943,350.4442,
780,350.7257,170.92177,-74.23104,350.7257,
785,351.03607,170.84978,-74.20733,351.03607,
787,351.46524,170.77588,-74.194145,351.46524,
788,351.76447,170.70236,-74.18622,351.76447,
797,352.0305,170.63603,-74.18749,352.0305,
808,352.2543,170.58018,-74.198784,352.2543,
810,352.5233,170.53255,-74.2205,352.5233,
819,352.677,170.49428,-74.249504,352.677,
831,352.84192,170.42885,-74.21191,352.84192,
843,352.93213,170.40405,-74.24916,352.93213,
854,353.01096,170.38574,-74.28559,353.01096,
865,353.0483,170.37209,-74.32021,353.0483,
876,353.0651,170.3621,-74.35208,353.0651,
887,353.06375,170.35503,-74.37925,353.06375,
889,353.14468,170.35081,-74.40112,353.14468,
898,353.1355,170.34428,-74.41388,353.1355,
909,353.1302,170.33507,-74.41623,353.1302,
926,353.12866,170.3244,-74.407715,353.12866,
934,353.11746,170.3134,-74.39904,353.11746,
947,353.1362,170.29749,-74.37992,353.1362,
957,353.1819,170.2751,-74.355515,353.1819,
967,353.23566,170.25072,-74.32897,353.23566,
969,353.3028,170.22426,-74.300896,353.3028,
980,353.39597,170.19579,-74.27131,353.39597,
991,353.49106,170.16621,-74.24256,353.49106,
1001,353.60144,170.13268,-74.21346,353.60144,
1011,353.71097,170.09975,-74.18567,353.71097,
1023,353.838,170.06891,-74.158844,353.838,
1045,353.9412,170.0276,-74.1173,353.9412,
1049,354.0271,169.99174,-74.07964,354.0271,
1050,354.07846,169.96559,-74.05093,354.07846,
1057,354.0935,169.94682,-74.0275,354.0935,
1067,354.07727,169.93372,-74.0061,354.07727,
1078,354.0327,169.92494,-73.98519,354.0327,
1089,353.9705,169.91896,-73.964096,353.9705,
1101,353.83508,169.91124,-73.939674,353.83508,
1115,353.77682,169.8781,-73.871635,353.77682,
1126,353.77194,169.85634,-73.83827,353.77194,
1138,353.74496,169.83737,-73.810326,353.74496,
1157,353.74542,169.81485,-73.78062,353.74542,
1170,353.76468,169.78859,-73.751755,353.76468,
1172,353.7864,169.77184,-73.72531,353.7864,
1182,353.8533,169.75273,-73.69798,353.8533,
1194,353.8846,169.73543,-73.67265,353.8846,
1196,353.92416,169.71318,-73.64326,353.92416,
1205,353.95862,169.6979,-73.61981,353.95862,
1217,353.9779,169.68178,-73.59669,353.9779,
1226,354.0241,169.6657,-73.57302,354.0241,
1240,354.06735,169.64574,-73.54422,354.06735,
1249,354.09918,169.62984,-73.517586,354.09918,
1260,353.94446,169.61746,-73.49124,353.94446,
1282,353.94073,169.60913,-73.46588,353.94073,
1284,353.91425,169.6032,-73.437935,353.91425,
1304,353.87622,169.59917,-73.40793,353.87622,
1305,353.84204,169.59395,-73.376,353.84204,
1307,353.81116,169.59015,-73.34891,353.81116,
1317,353.79523,169.58499,-73.3239,353.79523,
1330,353.79086,169.57867,-73.30239,353.79086,
1340,353.83322,169.57162,-73.28378,353.83322,
1350,353.84427,169.56458,-73.26657,353.84427,
1355,353.86533,169.55576,-73.24967,353.86533,
1362,353.89636,169.5412,-73.226685,353.89636,
1376,354.06607,169.53053,-73.20768,354.06607,
1385,354.09912,169.51868,-73.1882,354.09912,
1398,354.1318,169.50627,-73.16845,354.1318,
1408,354.16284,169.49295,-73.14778,354.16284,
1422,354.15112,169.47623,-73.123055,354.15112,
1430,354.1846,169.45686,-73.093864,354.1846,
1433,354.2052,169.44746,-73.080284,354.2052,
1440,354.20746,169.44746,-73.07279,354.20746,
1453,354.20883,169.44746,-73.06682,354.20883,
1463,354.22278,169.43832,-73.04596,354.22278,
1475,354.231,169.43346,-73.03243,354.231,
1497,354.23474,169.43178,-73.02501,354.23474,
1499,354.21988,169.42807,-73.01543,354.21988,
1518,354.21158,169.42262,-73.00927,354.21158,
1520,354.20996,169.41522,-73.00213,354.20996,
1523,354.20947,169.40282,-72.98866,354.20947,
1543,354.20752,169.39758,-72.9841,354.20752,
1544,354.21854,169.39554,-72.9841,354.21854,
1556,354.2327,169.39288,-72.9841,354.2327,
1588,354.025,169.3741,-72.93934,354.025,
1595,354.0203,169.35551,-72.915146,354.0203,
1597,354.0169,169.33168,-72.88292,354.0169,
1607,353.85635,169.29869,-72.83753,353.85635,
1618,353.82187,169.29556,-72.8411,353.82187,
1629,353.81918,169.28526,-72.8512,353.81918,
1658,353.84918,169.28137,-72.88942,353.84918,
1665,353.73743,169.28967,-72.910095,353.73743,
1666,353.62225,169.29672,-72.925285,353.62225,
1688,353.52008,169.30135,-72.93516,353.52008,
1690,353.4363,169.29527,-72.937416,353.4363,
1698,353.40945,169.27908,-72.9333,353.40945,
1711,353.38647,169.2567,-72.922516,353.38647,
1724,353.35754,169.23318,-72.907455,353.35754,
1733,353.28955,169.20952,-72.8896,353.28955,
1745,353.27655,169.18762,-72.87695,353.27655,
1748,353.30316,169.15466,-72.854256,353.30316,
1777,353.3484,169.11642,-72.83005,353.3484,
1781,353.51694,169.07184,-72.79576,353.51694,
1784,353.62433,169.02118,-72.76421,353.62433,
1790,353.74243,168.96613,-72.71964,353.74243,
1801,353.85422,168.91035,-72.670715,353.85422,
1812,353.97244,168.8521,-72.61782,353.97244,
1825,354.09927,168.7889,-72.56263,354.09927,
1827,354.2067,168.72755,-72.50963,354.2067,
1837,354.2899,168.67026,-72.45917,354.2899,
1845,354.35352,168.61908,-72.41431,354.35352,
1857,354.42252,168.56656,-72.37029,354.42252,
1879,354.49106,168.51448,-72.32844,354.49106,
1893,354.5797,168.45901,-72.28738,354.5797,
1896,354.69586,168.39862,-72.24661,354.69586,
1917,354.83408,168.33,-72.20221,354.83408,
1918,355.13425,168.18039,-72.11077,355.13425,
1925,355.2436,168.10902,-72.062325,355.2436,
1937,355.33618,168.03807,-72.009995,355.33618,
1947,355.44485,167.96423,-71.95638,355.44485,
1960,355.6074,167.87645,-71.89739,355.6074,
1970,355.7739,167.78679,-71.8332,355.7739,
1973,355.9086,167.70038,-71.76192,355.9086,
1993,356.0823,167.59973,-71.67719,356.0823,
1996,356.27423,167.48442,-71.57409,356.27423,
2004,356.43796,167.36551,-71.44797,356.43796,
2024,356.53635,167.24953,-71.286606,356.53635,
2044,356.5499,167.14174,-71.08726,356.5499,
2046,356.50687,167.03851,-70.84571,356.50687,
2048,356.44476,166.93024,-70.54293,356.44476,
2051,356.4026,166.81012,-70.16942,356.4026,
2068,356.4398,166.66434,-69.71651,356.4398,
2069,356.60815,166.46957,-69.14865,356.60815,
2080,356.61124,166.22493,-68.45485,356.61124,
2093,356.96442,165.94322,-67.648155,356.96442,
2103,357.3357,165.62932,-66.71615,357.3357,
2114,357.6333,165.32745,-65.70917,357.6333,
2137,357.75446,165.04582,-64.6384,357.75446,
2139,358.03516,164.7965,-63.52983,358.03516,
2148,358.68695,144.69412,-62.407978,358.68695,
2150,0.12790526,144.87541,-61.199856,0.12790526,
2160,1.7023691,144.66875,-59.93207,1.7023691,
2173,3.510461,144.54234,-58.602684,3.510461,
2183,4.8943443,144.67137,-57.254616,4.8943443,
2196,5.94738,145.00989,-55.920948,5.94738,
2206,6.731476,145.52844,-54.585003,6.731476,
2219,7.521141,146.07681,-53.30152,7.521141,
2222,8.411263,146.53767,-52.11267,8.411263,
2229,9.463032,146.89958,-50.97527,9.463032,
