time,x,y,z,
20,-0.8798828,-0.04638672,-0.20703125,
41,-0.88720703,-0.03466797,-0.203125,
42,-0.9394531,-0.095214844,-0.23144531,
61,-0.9169922,-0.14794922,-0.29052734,
63,-0.91259766,-0.1772461,-0.29345703,
69,-0.921875,-0.2265625,-0.34179688,
80,-0.90234375,-0.24511719,-0.4111328,
92,-0.9042969,-0.21484375,-0.44189453,
105,-0.9291992,-0.22265625,-0.47753906,
107,-0.93310547,-0.2578125,-0.50341797,
115,-0.9375,-0.2607422,-0.484375,
127,-0.9453125,-0.27392578,-0.48486328,
138,-0.93896484,-0.32470703,-0.5029297,
149,-0.93359375,-0.34375,-0.4970703,
160,-0.93066406,-0.3095703,-0.46484375,
171,-0.92529297,-0.25097656,-0.4169922,
183,-0.9291992,-0.22363281,-0.36279297,
184,-0.93310547,-0.23925781,-0.31103516,
194,-0.9160156,-0.25146484,-0.27783203,
205,-0.89160156,-0.28955078,-0.22363281,
216,-0.85839844,-0.38378906,-0.17285156,
227,-0.82714844,-0.42871094,-0.125,
239,-0.79541016,-0.4033203,-0.068359375,
250,-0.7807617,-0.35498047,-0.013671875,
261,-0.7890625,-0.2890625,0.049316406,
263,-0.80126953,-0.22216797,0.08886719,
273,-0.8256836,-0.13574219,0.107421875,
284,-0.8256836,-0.045410156,0.09716797,
306,-0.82910156,0.06298828,0.076171875,
308,-0.83740234,0.095214844,0.032714844,
317,-0.81640625,0.07910156,-0.036621094,
329,-0.7631836,0.087890625,-0.06738281,
340,-0.73095703,0.04638672,-0.052246094,
342,-0.72314453,-0.014160156,-0.084472656,
352,-0.73339844,-0.020019531,-0.10253906,
363,-0.8652344,-0.018554688,0.019042969,
374,-1.2392578,-0.07910156,-0.005859375,
385,-1.4423828,-0.11230469,-0.14160156,
397,-1.2553711,0.051757812,-0.17333984,
407,-0.9614258,0.095214844,-0.29101562,
419,-0.7792969,0.28857422,-0.40820312,
421,-0.70458984,0.22363281,-0.48486328,
430,-0.6308594,-0.15917969,-0.54785156,
453,-0.578125,-0.33447266,-0.5678711,
455,-0.6855469,-0.16259766,-0.6791992,
464,-0.8149414,-0.06640625,-0.8149414,
475,-0.96191406,-0.1616211,-0.95410156,
486,-1.0024414,-0.21191406,-1.0063477,
499,-0.75683594,-0.39013672,-1.0654297,
502,-0.6538086,-0.4169922,-1.0239258,
510,-0.63183594,-0.4091797,-1.0556641,
523,-0.5463867,-0.39111328,-1.0952148,
549,-0.6298828,-0.49072266,-1.0488281,
550,-0.78466797,-0.77734375,-1.0,
555,-0.8823242,-0.8833008,-0.8911133,
566,-0.8354492,-0.88720703,-0.80078125,
577,-0.6850586,-0.6713867,-0.78125,
590,-0.62158203,-0.45703125,-0.765625,
593,-0.69091797,-0.31884766,-0.77441406,
599,-0.7036133,-0.19482422,-0.8417969,
610,-0.80078125,-0.118652344,-0.84228516,
622,-0.8510742,-0.061035156,-0.8251953,
634,-0.74609375,0.05419922,-0.85498047,
644,-0.68603516,0.1694336,-0.79296875,
659,-0.9453125,0.26171875,-0.6879883,
667,-0.95751953,0.3100586,-0.6821289,
678,-0.90185547,0.3671875,-0.7685547,
690,-0.73876953,0.4111328,-0.8491211,
700,-0.6694336,0.5732422,-0.88671875,
712,-0.68066406,0.58496094,-0.96484375,
723,-0.7290039,0.39746094,-1.0102539,
734,-0.76660156,0.34814453,-1.0839844,
736,-0.7504883,0.33496094,-1.1938477,
745,-0.70751953,0.104003906,-1.2851562,
759,-0.7011719,-0.19726562,-1.3613281,
769,-0.5527344,-0.44726562,-1.4316406,
780,-0.41845703,-0.64501953,-1.5532227,
794,-0.49609375,-0.87890625,-1.7143555,
804,-0.58154297,-1.09375,-1.875,
816,-0.69384766,-1.1889648,-2.0341797,
817,-0.8173828,-1.1787109,-2.1992188,
825,-0.83740234,-1.2148438,-2.4355469,
838,-0.89453125,-1.3100586,-2.7285156,
847,-1.0537109,-1.234375,-2.975586,
860,-1.2294922,-1.2226562,-3.347168,
870,-1.5478516,-1.1655273,-3.7041016,
895,-2.0488281,-1.2612305,-3.9482422,
