time,heading,pitch,roll,yaw,
30,350.77618,8.5513,-80.20233,350.77618,
44,350.8495,8.493685,-80.02782,350.8495,
51,350.78876,8.468607,-79.96785,350.78876,
57,350.72202,8.4449215,-79.906296,350.72202,
61,350.65533,8.423262,-79.84596,350.65533,
63,350.5769,8.4028225,-79.785675,350.5769,
73,350.50546,8.388251,-79.72456,350.50546,
84,350.43872,8.375799,-79.668434,350.43872,
96,350.39108,8.362996,-79.61691,350.39108,
129,350.38687,8.350412,-79.57158,350.38687,
130,350.3857,8.338068,-79.533844,350.3857,
151,350.4056,8.32712,-79.501205,350.4056,
163,350.43777,8.3222475,-79.471825,350.43777,
164,350.45642,8.319572,-79.45228,350.45642,
165,350.4604,8.31875,-79.4408,350.4604,
198,350.47607,8.324181,-79.43557,350.47607,
200,350.5134,8.32813,-79.43347,350.5134,
201,350.59528,8.332769,-79.43535,350.59528,
231,350.65707,8.338952,-79.44062,350.65707,
233,350.71512,8.345691,-79.44833,350.71512,
242,350.76974,8.354861,-79.458244,350.76974,
244,350.8216,8.366533,-79.469284,350.8216,
245,350.85913,8.380038,-79.48117,350.85913,
265,350.8982,8.391736,-79.4947,350.8982,
267,350.9481,8.401741,-79.508835,350.9481,
277,351.0796,8.410895,-79.52415,351.0796,
279,351.11737,8.419732,-79.539215,351.11737,
280,351.15134,8.426128,-79.55474,351.15134,
310,351.19525,8.4295,-79.57121,351.19525,
311,351.29376,8.433125,-79.58604,351.29376,
313,351.32538,8.448247,-79.59732,351.32538,
344,351.35208,8.461776,-79.60779,351.35208,
355,351.36212,8.471167,-79.618866,351.36212,
357,351.39386,8.483511,-79.62721,351.39386,
358,351.37622,8.501231,-79.62874,351.37622,
388,351.37366,8.519361,-79.62655,351.37366,
390,351.37274,8.527856,-79.6274,351.37274,
391,351.51425,8.532585,-79.62824,351.51425,
401,351.54025,8.526236,-79.63368,351.54025,
403,351.57382,8.509879,-79.63957,351.57382,
423,351.60403,8.489137,-79.64661,351.60403,
424,351.66214,8.468536,-79.65254,351.66214,
425,351.69223,8.44814,-79.657135,351.69223,
434,351.7231,8.428365,-79.66102,351.7231,
445,351.7505,8.408441,-79.664215,351.7505,
457,351.767,8.387262,-79.66853,351.767,
