time,x,y,z,
19,-0.95214844,-0.05517578,-0.24707031,
22,-0.9526367,-0.05419922,-0.24511719,
40,-0.9633789,-0.04296875,-0.26171875,
50,-0.96728516,-0.044433594,-0.26904297,
59,-0.9589844,-0.045410156,-0.27392578,
70,-0.95751953,-0.049316406,-0.28320312,
81,-0.9550781,-0.061523438,-0.28759766,
92,-0.95214844,-0.060058594,-0.2890625,
104,-0.9501953,-0.05810547,-0.28857422,
116,-0.9458008,-0.057128906,-0.28125,
138,-0.9453125,-0.055664062,-0.28076172,
140,-0.9453125,-0.053710938,-0.2788086,
141,-0.9423828,-0.048828125,-0.2783203,
151,-0.9428711,-0.048339844,-0.28466797,
160,-0.9477539,-0.049804688,-0.28955078,
172,-0.9526367,-0.05078125,-0.28955078,
183,-0.95166016,-0.0625,-0.28955078,
195,-0.94970703,-0.06982422,-0.28710938,
206,-0.9501953,-0.076660156,-0.28759766,
209,-0.9448242,-0.076660156,-0.28320312,
217,-0.9399414,-0.072753906,-0.28027344,
228,-0.93896484,-0.068359375,-0.27978516,
240,-0.93847656,-0.06298828,-0.28808594,
250,-0.93408203,-0.05517578,-0.29736328,
262,-0.93066406,-0.05908203,-0.30859375,
273,-0.9316406,-0.0703125,-0.31347656,
285,-0.9375,-0.091308594,-0.3227539,
286,-0.94189453,-0.103515625,-0.33496094,
295,-0.93847656,-0.09472656,-0.33251953,
308,-0.9301758,-0.084472656,-0.3305664,
318,-0.91845703,-0.06982422,-0.32958984,
329,-0.91015625,-0.07128906,-0.32617188,
340,-0.91552734,-0.092285156,-0.31689453,
352,-0.9350586,-0.11279297,-0.32128906,
363,-0.94970703,-0.103515625,-0.32666016,
375,-0.94677734,-0.063964844,-0.32177734,
376,-0.9658203,-0.06689453,-0.3076172,
386,-0.9941406,-0.104003906,-0.29541016,
397,-0.99853516,-0.13183594,-0.2861328,
408,-0.9863281,-0.115722656,-0.2758789,
432,-0.96875,-0.09423828,-0.25341797,
433,-0.95947266,-0.087402344,-0.23486328,
442,-0.9609375,-0.07519531,-0.21972656,
453,-0.9628906,-0.05517578,-0.21142578,
455,-0.95751953,-0.03466797,-0.2055664,
465,-0.9506836,-0.026855469,-0.20166016,
476,-0.9511719,-0.036132812,-0.2084961,
499,-0.9536133,-0.053222656,-0.21923828,
500,-0.94921875,-0.061523438,-0.2265625,
511,-0.9453125,-0.075683594,-0.24609375,
541,-0.95751953,-0.08935547,-0.3095703,
542,-0.95458984,-0.087890625,-0.32128906,
552,-0.9472656,-0.08300781,-0.328125,
556,-0.94873047,-0.088378906,-0.31640625,
568,-0.9555664,-0.091796875,-0.2993164,
577,-0.95166016,-0.07763672,-0.2788086,
588,-0.9472656,-0.06347656,-0.26367188,
602,-0.94677734,-0.05419922,-0.25683594,
612,-0.94433594,-0.040039062,-0.2529297,
613,-0.94140625,-0.030761719,-0.26123047,
622,-0.9370117,-0.029296875,-0.2680664,
634,-0.9379883,-0.037597656,-0.2841797,
657,-0.9511719,-0.041503906,-0.30126953,
658,-0.96191406,-0.05126953,-0.3095703,
668,-0.96875,-0.063964844,-0.31591797,
690,-0.9682617,-0.056640625,-0.31347656,
692,-0.95996094,-0.056152344,-0.30419922,
693,-0.94921875,-0.06591797,-0.29833984,
703,-0.94384766,-0.064453125,-0.2939453,
725,-0.94677734,-0.05419922,-0.2939453,
728,-0.94384766,-0.041992188,-0.30029297,
737,-0.9404297,-0.036132812,-0.30273438,
751,-0.9453125,-0.029296875,-0.30126953,
758,-0.9472656,-0.037109375,-0.30322266,
769,-0.94091797,-0.044921875,-0.30322266,
770,-0.9379883,-0.046875,-0.30517578,
780,-0.94628906,-0.049316406,-0.3095703,
792,-0.9511719,-0.04736328,-0.31445312,
813,-0.9472656,-0.040527344,-0.31396484,
815,-0.94677734,-0.03466797,-0.3095703,
827,-0.9448242,-0.028320312,-0.3154297,
837,-0.93896484,-0.037597656,-0.3173828,
849,-0.93603516,-0.046875,-0.31298828,
861,-0.9399414,-0.036132812,-0.31591797,
863,-0.93652344,-0.033203125,-0.32226562,
894,-0.93847656,-0.036621094,-0.32714844,
897,-0.93359375,-0.023925781,-0.3256836,
899,-0.9321289,-0.016601562,-0.33154297,
906,-0.9370117,-0.020507812,-0.3408203,
915,-0.93847656,-0.029296875,-0.3466797,
930,-0.9345703,-0.030273438,-0.34765625,
938,-0.9321289,-0.046875,-0.35595703,
951,-0.9326172,-0.060058594,-0.359375,
961,-0.9345703,-0.06201172,-0.36328125,
972,-0.9326172,-0.05029297,-0.36523438,
983,-0.9326172,-0.033691406,-0.36035156,
996,-0.9296875,-0.020996094,-0.3544922,
1006,-0.92089844,-0.025878906,-0.35058594,
1017,-0.9213867,-0.03466797,-0.35009766,
1042,-0.92333984,-0.038085938,-0.34960938,
1043,-0.9321289,-0.041015625,-0.3623047,
1052,-0.9355469,-0.049804688,-0.3779297,
1062,-0.93603516,-0.044921875,-0.3881836,
1079,-0.93603516,-0.033203125,-0.38867188,
1084,-0.93408203,-0.03173828,-0.38134766,
1096,-0.9277344,-0.030273438,-0.36767578,
1098,-0.9223633,-0.027832031,-0.35302734,
1109,-0.91796875,-0.030273438,-0.33984375,
1119,-0.90966797,-0.03515625,-0.32958984,
1130,-0.91015625,-0.03857422,-0.328125,
1141,-0.9140625,-0.03564453,-0.32861328,
1156,-0.9160156,-0.03515625,-0.33740234,
1163,-0.91845703,-0.03857422,-0.35302734,
1175,-0.92626953,-0.03955078,-0.36816406,
1177,-0.93115234,-0.040527344,-0.3798828,
1185,-0.9370117,-0.03857422,-0.38916016,
1198,-0.9370117,-0.03564453,-0.38671875,
1210,-0.9370117,-0.036132812,-0.37451172,
1219,-0.9321289,-0.041015625,-0.3642578,
1242,-0.92871094,-0.03955078,-0.3540039,
1244,-0.93359375,-0.029785156,-0.34375,
1254,-0.9404297,-0.030273438,-0.33691406,
1289,-0.9379883,-0.025390625,-0.3334961,
1292,-0.93847656,-0.021484375,-0.33154297,
1295,-0.94140625,-0.022460938,-0.33154297,
1299,-0.9404297,-0.024902344,-0.3334961,
1302,-0.9345703,-0.029296875,-0.3334961,
1311,-0.9291992,-0.03515625,-0.33789062,
1320,-0.9291992,-0.038085938,-0.3359375,
1344,-0.92285156,-0.034179688,-0.3251953,
1346,-0.9296875,-0.03564453,-0.3232422,
1355,-0.9477539,-0.032714844,-0.33203125,
1365,-0.95410156,-0.022949219,-0.33496094,
1377,-0.9511719,-0.0234375,-0.34277344,
1389,-0.9482422,-0.026855469,-0.34179688,
1399,-0.9423828,-0.030761719,-0.34375,
1435,-0.93310547,-0.03515625,-0.34375,
1447,-0.9277344,-0.038085938,-0.3408203,
1449,-0.92529297,-0.036132812,-0.33642578,
1474,-0.91796875,-0.041992188,-0.32666016,
1475,-0.9169922,-0.044433594,-0.3232422,
1480,-0.9213867,-0.053222656,-0.32617188,
1482,-0.92626953,-0.060546875,-0.33251953,
1492,-0.93652344,-0.060058594,-0.3388672,
1502,-0.9477539,-0.047851562,-0.3515625,
1504,-0.9458008,-0.03125,-0.359375,
1512,-0.9370117,-0.030761719,-0.35986328,
1524,-0.93847656,-0.03955078,-0.36035156,
1546,-0.93847656,-0.045898438,-0.35498047,
1547,-0.9296875,-0.044921875,-0.35107422,
1557,-0.9213867,-0.04248047,-0.33984375,
1569,-0.92626953,-0.037109375,-0.3334961,
1584,-0.89746094,-0.0078125,-0.3149414,
1601,-0.88916016,-0.019042969,-0.27783203,
1602,-0.8901367,-0.06591797,-0.23339844,
1615,-0.90478516,-0.03955078,-0.20703125,
1623,-0.92089844,0.030273438,-0.18554688,
1636,-0.9301758,0.07421875,-0.14013672,
1646,-0.94628906,0.05078125,-0.068847656,
1656,-0.94677734,-0.008300781,-0.0107421875,
1658,-0.97021484,-0.0053710938,0.021484375,
1668,-0.9980469,0.015136719,0.041015625,
1690,-1.0146484,0.04638672,0.083984375,
1691,-1.0112305,0.07861328,0.14404297,
1701,-1.0083008,0.083496094,0.19921875,
1716,-1.0405273,0.078125,0.28320312,
1727,-1.0708008,0.095703125,0.4038086,
1737,-1.0561523,0.16308594,0.5498047,
1749,-0.99853516,0.25048828,0.7006836,
1760,-0.9355469,0.3149414,0.80078125,
1762,-0.9169922,0.328125,0.7944336,
1771,-0.9038086,0.32666016,0.6201172,
1781,-0.9838867,0.24121094,0.2578125,
1792,-1.3105469,0.020507812,-0.17822266,
1803,-1.2709961,-0.12695312,-0.57666016,
1815,-1.4545898,-0.064941406,-0.6386719,
1829,-1.7724609,-0.041992188,-0.6152344,
1831,-1.7910156,-0.16845703,-0.7607422,
1839,-1.6977539,-0.23535156,-0.93408203,
1851,-1.4648438,-0.2993164,-1.1015625,
1861,-1.2133789,-0.24072266,-1.1635742,
1872,-1.0634766,-0.24658203,-1.1923828,
1883,-0.97265625,-0.19238281,-1.1479492,
1907,-0.8339844,-0.09472656,-1.1386719,
1910,-0.7167969,-0.04638672,-1.0024414,
1912,-0.68408203,-0.15039062,-0.89208984,
1918,-0.6904297,-0.18701172,-0.8413086,
1930,-0.6430664,-0.1977539,-0.81933594,
1951,-0.63183594,-0.1772461,-0.7290039,
1953,-0.6191406,-0.1303711,-0.6640625,
1984,-0.5966797,-0.15771484,-0.65966797,
1989,-0.58691406,-0.19042969,-0.63427734,
1995,-0.578125,-0.16992188,-0.5991211,
1996,-0.5419922,-0.14892578,-0.5805664,
1997,-0.5161133,-0.16552734,-0.5957031,
2007,-0.53271484,-0.12646484,-0.5810547,
2017,-0.5830078,-0.09765625,-0.55029297,
2029,-0.64990234,-0.08496094,-0.52246094,
2047,-0.6972656,-0.09033203,-0.50878906,
2051,-0.7246094,-0.107421875,-0.50878906,
2063,-0.73339844,-0.11376953,-0.48339844,
2065,-0.734375,-0.10498047,-0.4506836,
2073,-0.74316406,-0.10644531,-0.4350586,
2084,-0.76123047,-0.084472656,-0.39648438,
2096,-0.7631836,-0.041503906,-0.3071289,
2108,-0.7480469,0.0087890625,-0.1953125,
2119,-0.7504883,0.026367188,-0.07421875,
2130,-0.76416016,0.043945312,-0.020019531,
2152,-0.78125,0.09667969,-0.068359375,
2154,-0.83251953,0.17578125,-0.15234375,
2156,-0.87939453,0.26708984,-0.044921875,
2165,-0.8364258,0.25146484,0.020996094,
2174,-0.7993164,0.18896484,0.07763672,
2186,-0.78027344,0.20410156,0.2265625,
2197,-0.7573242,0.2109375,0.4580078,
2209,-0.72753906,0.114746094,0.60302734,
2221,-0.6958008,0.01953125,0.6191406,
2231,-0.69628906,0.06689453,0.59228516,
2233,-0.6982422,0.14990234,0.52734375,
2242,-0.6958008,0.15234375,0.46240234,
2253,-0.77441406,0.11376953,0.39013672,
2267,-0.9213867,-0.0053710938,0.4267578,
2278,-1.2895508,-0.2084961,0.32177734,
2290,-1.487793,0.1381836,0.21044922,
2299,-1.199707,0.5942383,0.27148438,
2311,-1.1137695,0.5395508,0.30664062,
2314,-1.2539062,0.8129883,0.45996094,
2322,-1.300293,0.7626953,0.609375,
2333,-1.3012695,0.15136719,0.10058594,
2344,-1.0830078,-0.36132812,-0.38671875,
2356,-0.9111328,-0.6767578,-0.65283203,
2367,-0.7324219,-0.46923828,-0.73583984,
2378,-0.5834961,-0.28125,-0.54541016,
2390,-0.5566406,-0.4243164,-0.39257812,
2392,-0.67089844,-0.7885742,-0.5449219,
2400,-0.90527344,-0.79589844,-0.7758789,
2412,-1.1035156,-0.36035156,-0.88378906,
2422,-1.0893555,9.765625E-4,-0.8989258,
2434,-0.9926758,0.09082031,-0.8100586,
2447,-0.8964844,0.06640625,-0.7104492,
2457,-0.8652344,-0.0107421875,-0.6147461,
2470,-0.8881836,-0.13378906,-0.5161133,
2472,-0.92333984,-0.2475586,-0.47460938,
2491,-0.9501953,-0.23291016,-0.43115234,
2494,-0.96875,-0.16699219,-0.46044922,
2502,-0.9736328,-0.14697266,-0.48632812,
2514,-0.9716797,-0.095703125,-0.45507812,
2526,-0.96533203,-0.056640625,-0.40771484,
2554,-0.9589844,-0.11035156,-0.39697266,
2555,-0.95214844,-0.17871094,-0.40722656,
2556,-0.9536133,-0.2006836,-0.39453125,
2560,-0.9667969,-0.21728516,-0.38134766,
2571,-0.96240234,-0.23242188,-0.37402344,
2591,-0.953125,-0.21923828,-0.33251953,
2596,-0.93847656,-0.18359375,-0.29589844,
2613,-0.9433594,-0.16699219,-0.27490234,
2615,-0.95751953,-0.12451172,-0.24121094,
2624,-0.96972656,-0.110839844,-0.19091797,
2636,-0.9814453,-0.15332031,-0.15527344,
2637,-0.98779297,-0.18701172,-0.12890625,
2660,-0.9707031,-0.1850586,-0.10986328,
2662,-0.94677734,-0.15625,-0.115722656,
2672,-0.92871094,-0.107910156,-0.103515625,
2682,-0.9482422,-0.09814453,-0.087402344,
2694,-0.95947266,-0.07324219,-0.036132812,
2729,-0.953125,-0.072753906,0.028808594,
2730,-0.95947266,-0.06298828,0.095214844,
2733,-0.98046875,-0.048339844,0.15527344,
2740,-1.0053711,-0.043945312,0.15966797,
2742,-1.0141602,-0.060058594,0.11816406,
2762,-1.0078125,-0.11035156,0.060058594,
2764,-0.9941406,-0.13183594,-0.0048828125,
2772,-0.98291016,-0.12402344,-0.07714844,
2782,-0.9794922,-0.13378906,-0.13134766,
2794,-0.9941406,-0.1538086,-0.17578125,
2796,-1.0239258,-0.13769531,-0.24267578,
2805,-1.0180664,-0.080566406,-0.2446289,
2828,-0.9868164,-0.111816406,-0.21972656,
2830,-0.9760742,-0.13720703,-0.1928711,
2839,-0.9785156,-0.1430664,-0.15722656,
2850,-0.9975586,-0.16552734,-0.12548828,
2873,-1.0161133,-0.1694336,-0.091308594,
2875,-1.0014648,-0.123046875,-0.029785156,
2877,-0.99072266,-0.10205078,0.025390625,
2887,-1.0107422,-0.10546875,0.05126953,
2897,-1.0366211,-0.096191406,0.07080078,
2909,-1.0253906,-0.0625,0.11230469,
2917,-1.0146484,0.0068359375,0.114746094,
2928,-1.0078125,0.060058594,0.103515625,
2939,-0.9790039,0.08251953,0.10839844,
2950,-0.96875,0.10644531,0.110839844,
2952,-0.98095703,0.15185547,0.1328125,
2962,-0.9970703,0.17871094,0.17138672,
2975,-1.0400391,0.23339844,0.1640625,
2986,-1.1318359,0.3076172,0.16015625,
2997,-1.3110352,0.37646484,0.10644531,
3011,-1.487793,0.5209961,0.021972656,
3019,-1.5024414,0.58984375,-0.0029296875,
3030,-1.4750977,0.32470703,-0.123535156,
3062,-1.7431641,-0.19873047,-0.0546875,
3063,-1.7382812,-0.33496094,-0.22949219,
3098,-1.6181641,-0.62939453,-0.58203125,
3100,-1.4106445,-0.6020508,-0.9941406,
3110,-1.3344727,-0.41748047,-1.2270508,
3112,-1.2617188,-0.4013672,-1.2929688,
3113,-1.0917969,-0.6015625,-1.3833008,
3121,-0.9008789,-0.69970703,-1.5102539,
3123,-0.65722656,-0.59521484,-1.6669922,
3159,-0.6484375,-0.36914062,-1.5302734,
3162,-0.69677734,-0.24414062,-1.2905273,
3165,-0.62841797,-0.3803711,-1.1557617,
3179,-0.49365234,-0.58691406,-1.1201172,
3181,-0.37060547,-0.6376953,-1.0932617,
3189,-0.31396484,-0.5214844,-1.0141602,
3214,-0.28759766,-0.39111328,-0.96191406,
3215,-0.26367188,-0.36621094,-0.9580078,
3222,-0.2368164,-0.39160156,-0.984375,
3224,-0.21533203,-0.39941406,-0.98876953,
3234,-0.20361328,-0.3774414,-0.9633789,
3244,-0.18896484,-0.37158203,-0.9663086,
3256,-0.17480469,-0.39111328,-0.97753906,
3267,-0.17480469,-0.40185547,-0.96435547,
3279,-0.17626953,-0.40625,-0.9453125,
3280,-0.1743164,-0.41357422,-0.9501953,
3290,-0.17578125,-0.38671875,-0.95996094,
3301,-0.18310547,-0.36083984,-0.9589844,
3312,-0.20117188,-0.41259766,-0.9667969,
3323,-0.24169922,-0.41845703,-0.9584961,
3347,-0.28466797,-0.36621094,-0.94677734,
3349,-0.32177734,-0.33447266,-0.94384766,
3361,-0.37353516,-0.36572266,-0.93847656,
3365,-0.4248047,-0.4008789,-0.91259766,
3369,-0.4716797,-0.3623047,-0.8588867,
3380,-0.53027344,-0.2915039,-0.78564453,
3390,-0.6040039,-0.19140625,-0.6381836,
3403,-0.72558594,-0.13134766,-0.46972656,
3413,-0.86621094,-0.10058594,-0.3154297,
3424,-0.9345703,-0.10449219,-0.18701172,
3438,-0.953125,-0.10546875,-0.18017578,
3441,-0.92333984,-0.024902344,-0.16210938,
3447,-0.85009766,0.09326172,-0.09082031,
3459,-0.75390625,0.16113281,0.0390625,
3470,-0.6894531,0.21044922,0.30615234,
3481,-0.61328125,0.23779297,0.6113281,
3492,-0.5708008,0.15039062,0.8095703,
3503,-0.61279297,0.07763672,0.7192383,
3514,-0.6254883,0.015136719,0.44970703,
3526,-0.6196289,-0.0859375,0.18359375,
3529,-0.6074219,-0.2055664,-0.008300781,
3538,-0.59472656,-0.32861328,-0.18359375,
3562,-0.7163086,-0.25585938,-0.5756836,
3572,-1.359375,0.11767578,-0.43603516,
3582,-2.1791992,0.19824219,-0.04736328,
3603,-1.7436523,0.064453125,0.18945312,
3610,-1.0908203,0.6923828,-0.49804688,
3616,-1.40625,1.6489258,-0.096191406,
3630,-1.2978516,1.2729492,-0.036621094,
3632,-1.0722656,0.36376953,-0.3725586,
3637,-0.8701172,-0.5439453,-0.28466797,
3648,-1.0351562,-1.2836914,-0.69433594,
3659,-1.1401367,-1.3237305,-1.1757812,
3670,-0.85009766,-0.75341797,-1.1469727,
3682,-0.67333984,-0.6118164,-1.1772461,
3683,-0.7602539,-0.42822266,-1.1567383,
3693,-0.9082031,-0.22167969,-1.1464844,
3705,-1.0107422,-0.11328125,-1.0810547,
3716,-0.99658203,-0.09716797,-0.9667969,
3728,-0.95947266,-0.110839844,-0.8544922,
3740,-0.9501953,-0.20898438,-0.7519531,
3763,-0.9897461,-0.30322266,-0.6665039,
3766,-1.0112305,-0.26220703,-0.5449219,
3768,-0.9941406,-0.22021484,-0.4321289,
3779,-0.97216797,-0.2163086,-0.37402344,
3788,-0.96435547,-0.1796875,-0.3466797,
3798,-0.97509766,-0.13134766,-0.29736328,
3808,-0.9863281,-0.10644531,-0.23925781,
3818,-0.9770508,-0.09033203,-0.171875,
3830,-0.953125,-0.06982422,-0.10107422,
3841,-0.921875,-0.087890625,-0.0126953125,
3846,-0.9111328,-0.14013672,0.040039062,
3853,-0.91796875,-0.18115234,0.064453125,
3863,-0.9135742,-0.1743164,0.095214844,
3875,-0.9160156,-0.12841797,0.1328125,
3886,-0.91748047,-0.061523438,0.20361328,
3910,-0.9433594,-0.025878906,0.2783203,
3914,-0.98876953,-0.016113281,0.3256836,
3920,-1.012207,-0.04736328,0.3100586,
3932,-1.0371094,-0.08154297,0.20214844,
3935,-1.0478516,-0.0859375,0.061035156,
3942,-1.0136719,-0.057617188,-0.03515625,
3977,-0.9790039,-0.056640625,-0.09765625,
3980,-0.9633789,-0.08496094,-0.12207031,
3983,-0.9604492,-0.13085938,-0.12841797,
4011,-0.9716797,-0.16357422,-0.12646484,
4015,-0.98535156,-0.16015625,-0.1274414,
4018,-0.99853516,-0.12548828,-0.119628906,
4022,-1.0327148,-0.08105469,-0.13378906,
4029,-1.0415039,-0.015625,-0.13330078,
4031,-1.0029297,-0.04638672,-0.11425781,
4042,-0.9785156,-0.12548828,-0.09472656,
4062,-0.96777344,-0.17529297,-0.08496094,
4065,-0.97753906,-0.18261719,-0.08886719,
4076,-0.97509766,-0.1743164,-0.091308594,
4087,-0.9746094,-0.15429688,-0.095214844,
4089,-0.98535156,-0.1586914,-0.103515625,
4099,-1.0024414,-0.17480469,-0.09277344,
4110,-1.0166016,-0.18701172,-0.055664062,
4121,-1.034668,-0.16748047,-0.018554688,
4133,-1.0439453,-0.080078125,0.017089844,
4144,-1.0166016,-0.020996094,0.06298828,
