time,x,y,z,
19,-1.0146484,-0.056640625,-0.23535156,
32,-1.0073242,-0.057128906,-0.23535156,
33,-1.0053711,-0.06689453,-0.23828125,
50,-0.99658203,-0.078125,-0.24267578,
55,-0.9946289,-0.072753906,-0.24121094,
67,-0.9980469,-0.056152344,-0.24121094,
89,-0.99658203,-0.05126953,-0.24023438,
90,-1.0004883,-0.059570312,-0.23095703,
92,-1.0039062,-0.06689453,-0.2265625,
101,-1.0078125,-0.061523438,-0.23095703,
111,-1.0112305,-0.06591797,-0.23925781,
124,-1.0039062,-0.07470703,-0.24267578,
134,-0.9916992,-0.075683594,-0.24902344,
146,-0.9824219,-0.068847656,-0.25146484,
157,-0.97753906,-0.05810547,-0.2524414,
168,-0.9760742,-0.05126953,-0.2524414,
169,-0.9770508,-0.05078125,-0.2524414,
179,-0.984375,-0.0546875,-0.25439453,
191,-0.99609375,-0.064453125,-0.25927734,
202,-1.0004883,-0.075683594,-0.26611328,
213,-1.0004883,-0.08154297,-0.27246094,
225,-0.99853516,-0.08935547,-0.27783203,
236,-0.9921875,-0.08496094,-0.27441406,
247,-0.9897461,-0.079589844,-0.26611328,
249,-0.99121094,-0.07763672,-0.25878906,
258,-0.99853516,-0.07519531,-0.2475586,
270,-0.99609375,-0.072753906,-0.23632812,
281,-0.98828125,-0.07080078,-0.22753906,
292,-0.9873047,-0.0703125,-0.22460938,
304,-0.99316406,-0.06689453,-0.21728516,
316,-0.9980469,-0.06298828,-0.22167969,
318,-0.9946289,-0.06591797,-0.2211914,
337,-0.9897461,-0.07128906,-0.21533203,
339,-0.96972656,-0.09082031,-0.21044922,
348,-0.9501953,-0.12011719,-0.20751953,
360,-0.9477539,-0.10253906,-0.19580078,
382,-0.9580078,-0.06347656,-0.18701172,
383,-0.9819336,-0.05029297,-0.22070312,
394,-1.0185547,-0.06542969,-0.26123047,
395,-1.027832,-0.07714844,-0.30371094,
404,-1.0415039,-0.10888672,-0.3486328,
428,-1.034668,-0.14892578,-0.37158203,
429,-1.0058594,-0.1328125,-0.37158203,
438,-0.9790039,-0.14257812,-0.35595703,
449,-0.9604492,-0.14208984,-0.33691406,
461,-0.95410156,-0.114746094,-0.32421875,
473,-0.9638672,-0.092285156,-0.3125,
474,-0.9765625,-0.08300781,-0.29736328,
483,-0.9951172,-0.092285156,-0.28710938,
495,-0.99609375,-0.08105469,-0.26904297,
508,-0.97314453,-0.047851562,-0.23339844,
