time,heading,pitch,roll,yaw,
19,346.71185,178.80667,-76.045685,346.71185,
22,346.71417,178.82133,-76.04734,346.71417,
40,346.70886,178.83325,-76.02117,346.70886,
50,346.68445,178.8437,-75.99042,346.68445,
59,346.6495,178.855,-75.97284,346.6495,
71,346.60715,178.86574,-75.95076,346.60715,
82,346.56503,178.87444,-75.928085,346.56503,
93,346.53262,178.881,-75.90615,346.53262,
105,346.5095,178.88576,-75.885765,346.5095,
117,346.50092,178.88301,-75.86635,346.50092,
139,346.50885,178.87572,-75.84668,346.50885,
141,346.5169,178.86824,-75.82654,346.5169,
151,346.5371,178.85791,-75.804886,346.5371,
152,346.5629,178.84625,-75.78163,346.5629,
161,346.58975,178.83525,-75.75782,346.58975,
172,346.61758,178.8247,-75.736664,346.61758,
184,346.6465,178.81197,-75.71707,346.6465,
195,346.67822,178.79802,-75.69667,346.67822,
208,346.712,178.78354,-75.67547,346.712,
209,346.75183,178.76695,-75.65373,346.75183,
217,346.7945,178.75014,-75.6317,346.7945,
229,346.8369,178.73285,-75.60858,346.8369,
240,346.87372,178.71727,-75.58285,346.87372,
251,346.909,178.70189,-75.55576,346.909,
262,346.93893,178.68796,-75.52452,346.93893,
274,346.96402,178.6755,-75.48782,346.96402,
285,346.98755,178.6655,-75.46314,346.98755,
287,347.0208,178.65915,-75.44512,347.0208,
296,347.07797,178.64813,-75.43612,347.07797,
308,347.14493,178.63513,-75.43612,347.14493,
319,347.2191,178.62076,-75.43612,347.2191,
330,347.30615,178.60252,-75.39959,347.30615,
341,347.41174,178.58179,-75.36988,347.41174,
353,347.5584,178.5488,-75.3438,347.5584,
364,347.7404,178.51059,-75.32879,347.7404,
375,347.9145,178.48601,-75.3348,347.9145,
377,348.02356,178.4776,-75.36836,348.02356,
387,348.05988,178.48293,-75.40306,348.05988,
398,348.0592,178.49681,-75.44035,348.0592,
409,348.0539,178.51395,-75.48093,348.0539,
433,348.02786,178.53789,-75.52187,348.02786,
434,347.98447,178.56616,-75.5575,347.98447,
442,347.9251,178.59756,-75.58529,347.9251,
454,347.86026,178.62914,-75.6033,347.86026,
456,347.79257,178.66101,-75.605606,347.79257,
465,347.71384,178.69542,-75.5971,347.71384,
477,347.6305,178.72987,-75.57279,347.6305,
500,347.559,178.76167,-75.53515,347.559,
501,347.51868,178.78703,-75.487175,347.51868,
512,347.51016,178.80768,-75.4327,347.51016,
541,347.57568,178.83888,-75.32545,347.57568,
549,347.64166,178.85045,-75.28043,347.64166,
553,347.70364,178.86273,-75.24201,347.70364,
557,347.74393,178.88013,-75.20965,347.74393,
572,347.76886,178.9014,-75.18214,347.76886,
578,347.78195,178.92685,-75.15595,347.78195,
590,347.7747,178.95815,-75.12744,347.7747,
603,347.75058,178.99178,-75.09401,347.75058,
612,347.71313,179.02893,-75.05274,347.71313,
614,347.6597,179.06747,-75.00368,347.6597,
623,347.5916,179.10857,-74.94506,347.5916,
635,347.51163,179.15158,-74.87967,347.51163,
657,347.4189,179.19716,-74.811134,347.4189,
659,347.31326,179.24489,-74.743034,347.31326,
672,347.20367,179.29204,-74.677124,347.20367,
691,347.09232,179.33772,-74.61403,347.09232,
692,346.9685,179.38501,-74.552574,346.9685,
702,346.8311,179.43512,-74.4898,346.8311,
703,346.6958,179.48274,-74.42739,346.6958,
725,346.5603,179.53206,-74.3668,346.5603,
729,346.42215,179.5844,-74.30468,346.42215,
738,346.2838,179.63751,-74.24186,346.2838,
753,346.1474,179.69148,-74.17739,346.1474,
759,346.02097,179.74602,-74.111755,346.02097,
770,345.9224,179.79758,-74.04502,345.9224,
771,345.863,179.84225,-73.9782,345.863,
791,345.83215,179.88248,-73.91218,345.83215,
792,345.82358,179.91698,-73.8489,345.82358,
814,345.82632,179.94527,-73.78876,345.82632,
