time,heading,pitch,roll,yaw,
19,3.06541,176.13661,-75.487946,3.06541,
22,2.9977994,176.15697,-75.48193,2.9977994,
32,2.921186,176.17874,-75.47388,2.921186,
40,2.8329601,176.20322,-75.466835,2.8329601,
50,2.7551575,176.22395,-75.456184,2.7551575,
67,2.7100384,176.23792,-75.4444,2.7100384,
68,2.7107074,176.23843,-75.43095,2.7107074,
90,2.7182891,176.23895,-75.41789,2.7182891,
91,2.7379863,176.23752,-75.40495,2.7379863,
101,2.7804408,176.23102,-75.39374,2.7804408,
102,2.8388615,176.22177,-75.3845,2.8388615,
123,2.8871903,176.21394,-75.371765,2.8871903,
125,2.9307551,176.20593,-75.35371,2.9307551,
135,2.9720905,176.19797,-75.3333,2.9720905,
151,3.012321,176.1905,-75.31028,3.012321,
157,3.0581243,176.17754,-75.28605,3.0581243,
169,3.0950425,176.16628,-75.26157,3.0950425,
170,3.119078,176.15723,-75.23772,3.119078,
180,3.1281116,176.1497,-75.21293,3.1281116,
191,3.1393118,176.14037,-75.1882,3.1393118,
203,3.1404924,176.132,-75.16575,3.1404924,
214,3.1388187,176.12323,-75.14493,3.1388187,
225,3.1345456,176.11542,-75.127945,3.1345456,
236,3.136389,176.10701,-75.11372,3.136389,
248,3.1305342,176.10078,-75.10303,3.1305342,
250,3.1184587,176.09578,-75.09101,3.1184587,
259,3.0970342,176.09375,-75.08874,3.0970342,
270,3.0704045,176.09212,-75.08772,3.0704045,
281,3.036675,176.09407,-75.080315,3.036675,
292,2.998067,176.10173,-75.070045,2.998067,
315,2.9628685,176.1088,-75.05667,2.9628685,
316,2.920224,176.11737,-75.0398,2.920224,
318,2.8623056,176.12898,-75.02001,2.8623056,
338,2.794922,176.14243,-75.01304,2.794922,
339,2.7130919,176.15323,-75.00269,2.7130919,
349,2.6271114,176.17076,-74.95924,2.6271114,
360,2.60749,176.17561,-74.90212,2.60749,
382,2.6465576,176.1692,-74.833336,2.6465576,
384,2.6855636,176.1551,-74.75807,2.6855636,
395,2.6890135,176.14781,-74.686066,2.6890135,
396,2.6745148,176.15182,-74.62365,2.6745148,
405,2.6657698,176.15457,-74.56923,2.6657698,
429,2.6865463,176.16003,-74.52892,2.6865463,
430,2.7647083,176.15619,-74.49755,2.7647083,
439,2.8349361,176.15788,-74.47801,2.8349361,
450,2.9045877,176.15964,-74.46987,2.9045877,
462,2.9650707,176.16373,-74.47516,2.9650707,
473,2.984334,176.17824,-74.48703,2.984334,
475,2.9565287,176.20396,-74.50626,2.9565287,
484,2.86578,176.24438,-74.531105,2.86578,
496,2.7340946,176.28488,-74.56507,2.7340946,
508,2.5626638,176.32979,-74.60025,2.5626638,
520,2.337264,176.38992,-74.628,2.337264,
546,2.083727,176.45494,-74.64192,2.083727,
548,1.7716264,176.53105,-74.64616,1.7716264,
552,1.4109796,176.62282,-74.64261,1.4109796,
572,1.0823442,176.71413,-74.650024,1.0823442,
575,0.80862623,176.79903,-74.6585,0.80862623,
577,0.5622817,176.88434,-74.65768,0.5622817,
587,0.37482944,176.9598,-74.654724,0.37482944,
598,0.23899221,177.02602,-74.65612,0.23899221,
621,0.09007677,177.09741,-74.66072,0.09007677,
623,359.95837,177.16418,-74.67078,359.95837,
630,359.8674,177.22253,-74.6805,359.8674,
642,359.7814,177.27959,-74.68996,359.7814,
643,359.68036,177.34042,-74.699394,359.68036,
653,359.56293,177.40521,-74.70176,359.56293,
664,359.44504,177.47278,-74.699585,359.44504,
676,359.3451,177.53818,-74.69507,359.3451,
687,359.2885,177.59349,-74.691795,359.2885,
698,359.2356,177.6455,-74.6839,359.2356,
712,359.15692,177.70494,-74.66281,359.15692,
713,359.0435,177.77235,-74.63447,359.0435,
721,358.95087,177.83705,-74.60561,358.95087,
735,358.89127,177.8964,-74.576614,358.89127,
748,358.84027,177.94699,-74.55389,358.84027,
758,358.65485,178.01886,-74.54576,358.65485,
765,358.4767,178.09726,-74.53906,358.4767,
777,358.37082,178.162,-74.53343,358.37082,
